"method","mask_type","requested_budget","effective_budget","n"
"m0_naive","random_uniform","0.1","0.1","20"
"m1_additive","random_uniform","0.1","0.1","20"
"m2_bayesian_additive","random_uniform","0.1","0.1","20"
"pe_rasch","random_uniform","0.1","0.1","20"
"m0_naive","random_uniform","0.2","0.2","20"
"m1_additive","random_uniform","0.2","0.2","20"
"m2_bayesian_additive","random_uniform","0.2","0.2","20"
"pe_rasch","random_uniform","0.2","0.2","20"
"m0_naive","random_uniform","0.3","0.3","20"
"m1_additive","random_uniform","0.3","0.3","20"
"m2_bayesian_additive","random_uniform","0.3","0.3","20"
"pe_rasch","random_uniform","0.3","0.3","20"
"m0_naive","random_uniform","0.6","0.6","20"
"m1_additive","random_uniform","0.6","0.6","20"
"m2_bayesian_additive","random_uniform","0.6","0.6","20"
"pe_rasch","random_uniform","0.6","0.6","20"
"m0_naive","two_way_balanced","0.1","0.1","20"
"m1_additive","two_way_balanced","0.1","0.1","20"
"m2_bayesian_additive","two_way_balanced","0.1","0.1","20"
"pe_rasch","two_way_balanced","0.1","0.1","20"
"m0_naive","two_way_balanced","0.2","0.2","20"
"m1_additive","two_way_balanced","0.2","0.2","20"
"m2_bayesian_additive","two_way_balanced","0.2","0.2","20"
"pe_rasch","two_way_balanced","0.2","0.2","20"
"m0_naive","two_way_balanced","0.3","0.3","20"
"m1_additive","two_way_balanced","0.3","0.3","20"
"m2_bayesian_additive","two_way_balanced","0.3","0.3","20"
"pe_rasch","two_way_balanced","0.3","0.3","20"
"m0_naive","two_way_balanced","0.6","0.6","20"
"m1_additive","two_way_balanced","0.6","0.6","20"
"m2_bayesian_additive","two_way_balanced","0.6","0.6","20"
"pe_rasch","two_way_balanced","0.6","0.6","20"
