"method","mask_type","requested_budget_round","effective_budget_round","n","w1_mean","w1_se","prompt_mae_mean","prompt_mae_se","prompt_rmse_mean","mean_abs_error_mean","sd_abs_error_mean","q25_abs_error_mean","q50_abs_error_mean","q75_abs_error_mean","min_abs_error_mean","max_abs_error_mean","test_log_loss_mean","test_brier_mean","train_log_loss_mean","train_brier_mean","max_rhat_mean","max_rhat_max","min_ess_mean","min_ess_min","converged_rate","connected_rate","cover_avg_rate","cover_sd_rate","cover_min_rate","cover_q25_rate","cover_q50_rate","cover_q75_rate","cover_max_rate","avg_ci95_width_mean","sd_ci95_width_mean","min_ci95_width_mean","q25_ci95_width_mean","q50_ci95_width_mean","q75_ci95_width_mean","max_ci95_width_mean","w1_ci95_low","w1_ci95_high","prompt_mae_ci95_low","prompt_mae_ci95_high"
"m0_naive","random_uniform","0.1","0.1","20","0.08938665101066806","0.002930188237516495","0.1151507735547906","0.0028238652890654093","0.14646278580777053","0.01637697618257213","0.11324233054267548","0.05910488677129548","0.02256658546132232","0.08472055722055728","0.3013203463203463","0.19999999999999996","0.9484352344405593","0.23922236724637105","0.5632927274423105","0.19237316921941147","","","","","","","","","","","","","","","","","","","","","0.08364348206513574","0.09512981995620039","0.1096159975882224","0.1206855495213588"
"m0_naive","random_uniform","0.2","0.2","20","0.05408593507126003","0.0017013801036102815","0.07780177975476185","0.001699698769215534","0.09735408782194073","0.01186596252636305","0.06528106576572035","0.04658206811659498","0.017527950842848534","0.048097724466347455","0.17869739780343494","0.10667886460804413","0.6522221725690518","0.22657972416460156","0.5984660631585118","0.20551677146413713","","","","","","","","","","","","","","","","","","","","","0.05075123006818388","0.05742064007433618","0.0744703701670994","0.0811331893424243"
"m0_naive","random_uniform","0.3","0.3","20","0.03941685244117292","0.001847638034378956","0.059322795105748186","0.0015107366629130967","0.07439851499296563","0.008985517961290535","0.04619257988559519","0.03277782685372821","0.018205031389278776","0.03323445974523563","0.12179642546090771","0.06385643033048997","0.6399944857573843","0.22234992621086755","0.6075837172592089","0.20926616784243918","","","","","","","","","","","","","","","","","","","","","0.035795481893790164","0.043038222988555676","0.05636175124643852","0.062283838965057854"
"m0_naive","random_uniform","0.6","0.6","20","0.014725425819108202","0.0008277312129337585","0.03027906828011166","0.0008898425952308029","0.03811363191072048","0.004502571900970842","0.015063059158546882","0.009814194117657476","0.010392801898785442","0.012881972807082476","0.04054200292329323","0.015984227167966814","0.6287591594256715","0.21792855900063296","0.6141713297937172","0.2118788974016756","","","","","","","","","","","","","","","","","","","","","0.013103072641758036","0.016347778996458368","0.028534976793459284","0.03202315976676403"
"m0_naive","two_way_balanced","0.1","0.1","20","0.08524000000000002","0.002822451342175338","0.10866","0.002924059902907168","0.1361844868759337","0.007779999999999993","0.1058293623753648","0.06000000000000005","0.0","0.09000000000000008","0.24499999999999997","0.16499999999999998","0.8133823792809208","0.2359411111111111","0.5640789667475952","0.19241","","","","","","","","","","","","","","","","","","","","","0.07970799536933636","0.09077200463066369","0.10292884259030195","0.11439115740969806"
"m0_naive","two_way_balanced","0.2","0.2","20","0.05125000000000002","0.001692265687737814","0.07457","0.0014757174882961703","0.09183563414010378","0.008489999999999975","0.06262216994838402","0.03750000000000003","0.007499999999999995","0.04850000000000004","0.15499999999999997","0.10499999999999995","0.6506941098856863","0.22594750000000002","0.5924503345903985","0.20278749999999998","","","","","","","","","","","","","","","","","","","","","0.047933159252033904","0.05456684074796613","0.0716775937229395","0.0774624062770605"
"m0_naive","two_way_balanced","0.3","0.3","20","0.034426666666666696","0.0011296576099816596","0.056066666666666674","0.0011591688896014601","0.06901560739650467","0.004359999999999975","0.041401333165759155","0.02566666666666672","0.014999999999999996","0.031666666666666676","0.09833333333333331","0.06333333333333332","0.639135411335283","0.2219415873015873","0.6040060261509539","0.20758222222222225","","","","","","","","","","","","","","","","","","","","","0.032212537751102645","0.03664079558223075","0.05379469564304781","0.058338637690285536"
"m0_naive","two_way_balanced","0.6","0.6","20","0.014596666666666671","0.0006654282356814342","0.029656666666666665","0.0007031304272045254","0.03757045999551","0.002096666666666652","0.015174311222019976","0.00933333333333331","0.009999999999999964","0.015000000000000013","0.041666666666666644","0.018333333333333313","0.6303624021904908","0.2186838888888889","0.6129305690994806","0.21129527777777776","","","","","","","","","","","","","","","","","","","","","0.01329242732473106","0.01590090600860228","0.028278531029345796","0.031034802303987533"
"m1_additive","random_uniform","0.1","0.1","20","0.03206987979392373","0.00175978576292336","0.05671324191464074","0.0018955257413985614","0.071146764047148","0.013037909256618107","0.03511841358152044","0.015883935394640496","0.014959604659691117","0.03637575576562403","0.09771503356117199","0.041087635077843195","0.4149864926740082","0.12754896182198958","0.31573562859212495","0.08635790927672637","","","","","1.0","","","","","","","","","","","","","","","","0.028620699698593943","0.03551905988925351","0.052998011461499565","0.06042847236778192"
"m1_additive","random_uniform","0.2","0.2","20","0.01897133242582433","0.0010538363347599147","0.04097194945587821","0.0010648363860042095","0.05133306482959554","0.007307509259075922","0.019731376079417256","0.01173236366758849","0.012533610816761197","0.021298202066358667","0.061882309310825376","0.01569321364754528","0.3453971037445681","0.10078823882756689","0.2930615378836506","0.0803963363072918","","","","","1.0","","","","","","","","","","","","","","","","0.0169058132096949","0.021036851641953763","0.03888487013930996","0.04305902877244646"
