"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","n_obs","n_test","n_total","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","500","4500","5000","0.5654855075229686","0.194","0.909646143445399","0.23693333333333336","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6879999999999998","0.14518109732471432","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","1","500","4500","5000","0.5640703522541786","0.19080000000000003","0.6835366586393272","0.23746666666666674","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7","0.13997084244475305","0.4","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","2","500","4500","5000","0.5651370015854682","0.1948","0.9812664143199951","0.23773333333333338","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6840000000000002","0.1475791036587995","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","3","500","4500","5000","0.5613693837932714","0.18980000000000002","0.6838529848349036","0.23766666666666666","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.694","0.15173822786601396","0.4","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","4","500","4500","5000","0.559413995980605","0.19179999999999997","0.9928084638367511","0.23579999999999998","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6939999999999997","0.14485742462638135","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","5","500","4500","5000","0.5762180055231846","0.19739999999999996","0.7553899571440551","0.22926666666666667","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6900000000000002","0.12975644374703535","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","6","500","4500","5000","0.5861000005507752","0.20060000000000003","0.6651091918868101","0.2314","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6820000000000002","0.1288726629867876","0.4","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","7","500","4500","5000","0.5905202183627641","0.202","0.6533142971466263","0.22742222222222225","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.688","0.11364103886486483","0.5","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","8","500","4500","5000","0.5883092383211092","0.2028","0.7573010812836688","0.23066666666666666","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6800000000000002","0.12289036095775183","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","9","500","4500","5000","0.5272154296840256","0.17880000000000001","1.0867870540150097","0.25022222222222223","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.696","0.18290178026604825","0.3","0.6","0.7","0.8","1.0"
