"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","reason","n_obs","n_test","n_total","P","J","n_params","ridge_lambda","intercept_ridge","max_iter","tol","iterations","final_loss","gradient_norm","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule","w1","mean_abs_error","prompt_mae","prompt_rmse","q25_abs_error","q50_abs_error","q75_abs_error"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","53","49.897525946068065","0.0051128211460808575","0.09975190332206305","0.03174455665846174","1.675480879702621","0.16016827320239","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6831728656934257","0.12534276566023453","0.43723236986318703","0.5467639487238306","0.695217862974918","0.8013806425670369","0.9179721096170427","9.330956849734985","1.1990408665951691e-16","10.431426311242555","0.0","19.545277524141184","observed_true_unobserved_fitted_probability_imputation","0.07855047409909377","0.006027134306574311","0.1001224849462442","0.12221894939605325","0.11323605127616942","0.004782137025081901","0.09138064256703693"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","1","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","52","42.885451352096595","0.017494169573566642","0.08569702909498196","0.026743243307649055","1.6654696735064451","0.13883531316104178","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6923961080500668","0.10486751386323445","0.5478970105343114","0.5895725750912638","0.702875597645957","0.7698021916286922","0.9471036416793649","11.23743305581841","1.5987211554602254e-16","12.602970423175988","-1.7763568394002506e-16","25.8381519687046","observed_true_unobserved_fitted_probability_imputation","0.05805199368119864","0.0031961080500667594","0.08329373366647044","0.10034473946433922","0.07042742490873621","0.0028755976459570176","0.05980219162869227"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","2","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","95","49.19650174698874","0.0031628703189403285","0.09829806911902828","0.03356973964919136","1.645858407662512","0.1449844050169752","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6838756368983545","0.11146642908566667","0.4903913663414501","0.6061104669299823","0.6582910866404067","0.7773566334709853","0.9308126007414915","12.776170481415281","-5.684341886080802e-16","16.344792735837313","-1.1368683772161603e-15","28.753021739499168","observed_true_unobserved_fitted_probability_imputation","0.06817525568540192","0.005324363101645524","0.09377575173989836","0.10867161409984147","0.05388953307001776","0.04170891335959326","0.0673566334709853"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","3","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","70","53.23658934077918","0.0031208263367985176","0.10642703080036725","0.033090281006117335","1.3128533416807666","0.13273256182302268","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.68968578544978","0.10114893720825124","0.49884835059306526","0.6089002800542471","0.7032087882913991","0.7488182991222364","0.954749312310933","9.00666851898317","1.0658141036401502e-16","9.276019139245793","-1.0835776720341528e-15","20.58145047152073","observed_true_unobserved_fitted_probability_imputation","0.052437300489880705","0.00048578544977995186","0.07017441293438874","0.08646332010291843","0.05109971994575291","0.003208788291399145","0.038818299122236444"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","4","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","78","46.43678004489259","0.003025143911030354","0.09279431571636736","0.030896961924448893","1.8935771290205186","0.15608180936751825","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6807015553888836","0.13784726826428773","0.13252052899504643","0.6121548030168212","0.6850698554933689","0.809231769700212","0.8847654840863405","11.000581460565945","7.105427357601002e-17","14.675885573787296","3.552713678800501e-17","26.34153563040429","observed_true_unobserved_fitted_probability_imputation","0.07557200178017051","0.008498444611116485","0.09452384710334566","0.12635505677281975","0.047845196983178795","0.014930144506631104","0.09923176970021208"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","5","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","774","23.25879195733587","0.001380818911856333","0.04634768864320255","0.014912796262789425","2.068927861977662","0.1512644183999688","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6907252589008928","0.12096878525185704","0.3824481748747335","0.6044547634582123","0.6928773244144889","0.7328517081376813","0.9689151850171052","10.768846288601795","-1.1723955140041654e-15","27.57763361554861","-1.6697754290362353e-15","36.60241448113606","observed_true_unobserved_fitted_probability_imputation","0.058271725433387135","0.001525258900892723","0.0814862908513726","0.111031979369303","0.05554523654178778","0.007122675585511051","0.022851708137681337"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","6","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","237","43.459310324767856","0.007528234835238893","0.086805672650339","0.02850853677405936","1.9085301918542739","0.14962145210567238","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6792533241670706","0.11178052954825009","0.3954366153349945","0.5941254868152493","0.6858018371097113","0.7675353529287253","0.9306270293749209","11.859566124536402","-3.552713678800501e-17","16.86982499238873","-1.4210854715202004e-16","31.62383434180638","observed_true_unobserved_fitted_probability_imputation","0.061492077250503686","0.009946675832929408","0.08101019933039735","0.10252728456139236","0.06587451318475068","0.014198162890288635","0.05753535292872536"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","7","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","139","35.10068333447764","0.0025136277696799544","0.07010759821777987","0.023457065656298553","1.6881764604471428","0.1445691023963703","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6854978364013761","0.11080279177728485","0.2535006200181028","0.6108534127197977","0.6983130561038549","0.7806142663854826","0.8221239874615918","14.864361890686855","-7.105427357601002e-16","13.909191486033833","-1.4210854715202004e-16","29.178964179791894","observed_true_unobserved_fitted_probability_imputation","0.05510329776504721","0.0037021635986239643","0.07110032455507843","0.09672651031665179","0.04914658728020238","0.0016869438961450989","0.07061426638548263"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","8","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","117","49.55823703441575","0.016429824922370058","0.09908623217782832","0.028887794963171315","1.3176921494654832","0.1521220478335741","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6716691838371293","0.11755593758693265","0.49826573509520977","0.5767929157662125","0.6664608194441243","0.7796680987599927","0.9124414257785918","7.5421309920140045","-1.9539925233402755e-16","7.767286610224772","3.1974423109204507e-16","16.602412880415283","observed_true_unobserved_fitted_probability_imputation","0.07248571554007842","0.017530816162870777","0.09424234033309466","0.11165529251387343","0.08320708423378753","0.03353918055587568","0.06966809875999269"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","9","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","466","19.841457107676945","0.011437972720954927","0.039538528634028514","0.013573604810145901","2.5618636129938706","0.1910405668390645","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6712952261471193","0.18354395792052944","0.11092344270723815","0.600000319711612","0.7074024171595558","0.7990031222246547","0.9699075359484891","17.609047956824217","3.1974423109204507e-16","24.357478018604407","3.1974423109204507e-16","34.12915984565525","observed_true_unobserved_fitted_probability_imputation","0.10461552511904076","0.017904773852880695","0.12373995519671169","0.1720470622691595","0.05999968028838798","0.0074024171595558075","0.08900312222465478"
