budget,mask_type,method,n,prompt_mae,prompt_mae_ci95_low,prompt_mae_ci95_high,w1,w1_ci95_low,w1_ci95_high,prompt_rmse,mean_abs_error,median_abs_error,test_brier,test_log_loss,converged_rate,max_rhat_max,min_ess_min
0.1,random_uniform,m0_naive,20,0.11515077355479053,0.10961599758822232,0.12068554952135874,0.08938665101066802,0.0836434820651357,0.09512981995620035,0.14646278580777047,0.01637697618257208,0.022566585461322283,0.239222367246371,0.9484352344405593,,,
0.1,random_uniform,m1_additive,20,0.05671324191464069,0.05299801146149951,0.060428472367781864,0.032069879793923686,0.028620699698593897,0.035519059889253475,0.07114676404714794,0.013037909256618055,0.014959604659691062,0.12754896182198955,0.4149864926740082,1.0,,
0.1,random_uniform,pe_rasch,20,0.0900568470142998,0.08429967959134993,0.09581401443724968,0.06536347920981908,0.05977314285859875,0.07095381556103941,0.12091040189771514,0.01447172931992824,0.014973496225549388,0.1555331760636171,1.7832031309096557,0.95,,
0.1,random_uniform,m2_bayesian_additive,20,0.029845311995602884,0.02845572837511536,0.03123489561609041,0.019064877629033163,0.016705143405854196,0.02142461185221213,0.03735330196649617,0.009202683523797727,0.01223087572266881,0.0944864872088534,0.3157647654170622,1.0,1.01,486.0
0.2,random_uniform,m0_naive,20,0.0778017797547618,0.07447037016709934,0.08113318934242425,0.054085935071259986,0.050751230068183835,0.057420640074336136,0.09735408782194069,0.011865962526362999,0.017527950842848493,0.22657972416460154,0.6522221725690518,,,
0.2,random_uniform,m1_additive,20,0.040971949455878155,0.038884870139309906,0.043059028772446405,0.01897133242582428,0.016905813209694844,0.021036851641953715,0.0513330648295955,0.0073075092590758756,0.01253361081676115,0.10078823882756685,0.3453971037445681,1.0,,
0.2,random_uniform,pe_rasch,20,0.04984168945622018,0.04632415614007172,0.05335922277236864,0.029456831811877998,0.0262305036744014,0.0326831599493546,0.06582978451352531,0.0061864101405234,0.012858611291282216,0.10066376423531216,0.5153456555690533,1.0,,
0.2,random_uniform,m2_bayesian_additive,20,0.026346959312585426,0.025445994709743396,0.027247923915427456,0.016662370029202206,0.014661267627097654,0.018663472431306758,0.032619941614092145,0.005951423590483959,0.01207149781595087,0.08428983095220252,0.27743531200772786,1.0,1.01,481.0
0.3,random_uniform,m0_naive,20,0.05932279510574815,0.056361751246438475,0.062283838965057826,0.039416852441172864,0.03579548189379011,0.04303822298855562,0.07439851499296558,0.008985517961290485,0.01820503138927873,0.22234992621086752,0.6399944857573843,,,
0.3,random_uniform,m1_additive,20,0.03333320656038551,0.03196399998428346,0.034702413136487566,0.0153237589726939,0.013545616219470487,0.01710190172591731,0.04158729668876213,0.00490559646969368,0.01132839514151728,0.09241968522973822,0.31814279523319494,1.0,,
0.3,random_uniform,pe_rasch,20,0.03743718239331959,0.03563485127020055,0.03923951351643863,0.020802329626643384,0.018375665100430826,0.023228994152855943,0.04703505576352407,0.004809328229384504,0.011856068768151465,0.09091812898292381,0.35881833926827317,1.0,,
0.3,random_uniform,m2_bayesian_additive,20,0.023396254566914604,0.02265678526445174,0.024135723869377467,0.01293683572848334,0.011644960036293015,0.014228711420673666,0.029612112516765356,0.0046220492027752354,0.01096784572248297,0.08241486543040598,0.26780778536439726,1.0,1.02,395.0
0.6,random_uniform,m0_naive,20,0.0302790682801116,0.02853497679345923,0.032023159766763974,0.014725425819108157,0.013103072641757989,0.016347778996458326,0.03811363191072044,0.004502571900970795,0.01039280189878538,0.21792855900063296,0.6287591594256715,,,
