method,mask_type,requested_budget_round,effective_budget_round,prompt_mae_diff_vs_m2_bayesian_additive,w1_diff_vs_m2_bayesian_additive,test_log_loss_diff_vs_m2_bayesian_additive,test_brier_diff_vs_m2_bayesian_additive,prompt_rmse_diff_vs_m2_bayesian_additive,mean_abs_error_diff_vs_m2_bayesian_additive
m0_naive,random_uniform,0.1,0.1,0.08530546155918765,0.07032177338163485,0.6326704690234971,0.14473588003751764,0.10910948384127431,0.007174292658774353
m1_additive,random_uniform,0.1,0.1,0.02686792991903781,0.01300500216489052,0.09922172725694596,0.033062474613136134,0.03379346208065177,0.0038352257328203286
pe_rasch,random_uniform,0.1,0.1,0.06021153501869693,0.0462986015807859,1.4674383654925935,0.06104668885476372,0.08355709993121896,0.005269045796130514
m2_bayesian_additive,random_uniform,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,random_uniform,0.2,0.2,0.05145482044217638,0.03742356504205778,0.37478686056132393,0.14228989321239902,0.06473414620784854,0.00591453893587904
m1_additive,random_uniform,0.2,0.2,0.014624990143292726,0.0023089623966220745,0.06796179173684025,0.01649840787536433,0.018713123215503356,0.001356085668591915
pe_rasch,random_uniform,0.2,0.2,0.02349473014363475,0.012794461782675796,0.23791034356132545,0.016373933283109633,0.03320984289943316,0.0002349865500394401
m2_bayesian_additive,random_uniform,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,random_uniform,0.3,0.3,0.03592654053883354,0.026480016712689524,0.372186700392987,0.13993506078046153,0.04478640247620023,0.00436346875851525
m1_additive,random_uniform,0.3,0.3,0.00993695199347091,0.0023869232442105598,0.05033500986879772,0.01000481979933223,0.011975184171996774,0.00028354726691844485
pe_rasch,random_uniform,0.3,0.3,0.014040927826404984,0.007865493898160044,0.09101055390387593,0.00850326355251783,0.017422943246758714,0.00018727902660927
m2_bayesian_additive,random_uniform,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,random_uniform,0.6,0.6,0.01448460594952205,0.006455476678298995,0.37336686435356636,0.13823132080329012,0.018202292453697543,0.0018045932788225399
m1_additive,random_uniform,0.6,0.6,0.001929988556182385,-0.0002262923589058198,0.02837450789128687,0.0035525188323175757,0.0022263792077456194,8.131817661373134e-05
pe_rasch,random_uniform,0.6,0.6,0.0026948471126284454,0.0005277319081103653,0.030630955453849112,0.002301279911603532,0.0031825260345396305,-2.2404319574754935e-05
m2_bayesian_additive,random_uniform,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,two_way_balanced,0.1,0.1,0.0803812859069093,0.06644377171106199,0.5110117528289025,0.14580813763348366,0.10057868601947773,-9.576449742184854e-06
m1_additive,two_way_balanced,0.1,0.1,0.025840589573632538,0.011723749384258495,0.09737192471972625,0.0306995015102506,0.03221491954718043,0.0009368351246034198
pe_rasch,two_way_balanced,0.1,0.1,0.06043972320544725,0.048604836671239326,1.4609343436780615,0.06051500208931602,0.08005174999099315,0.0034571928849751144
m2_bayesian_additive,two_way_balanced,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,two_way_balanced,0.2,0.2,0.04817483598651316,0.036138907841341404,0.37393675168334395,0.1420424980613268,0.05898653333023192,8.787041163659484e-05
m1_additive,two_way_balanced,0.2,0.2,0.014870816976876746,0.005474732339438925,0.06511227209581325,0.015877758913222025,0.01793026107986009,0.00028064706551462473
pe_rasch,two_way_balanced,0.2,0.2,0.024119296066545688,0.016905117632774875,0.20094221142129326,0.01581635535199604,0.03071438062828228,-0.00012584317978764624
m2_bayesian_additive,two_way_balanced,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,two_way_balanced,0.3,0.3,0.032485606764141334,0.020669856985051895,0.3747829640690556,0.14051171973426507,0.0395807270058783,-3.0411030313135022e-05
m1_additive,two_way_balanced,0.3,0.3,0.007828360558558236,-0.00028643636104644496,0.049712150502858925,0.009435866856908642,0.010034208677230745,0.00023775146803806
pe_rasch,two_way_balanced,0.3,0.3,0.011796074340536044,0.005004820594751935,0.069130620983194,0.007001196775328779,0.015501932197004034,0.0003783010913593578
m2_bayesian_additive,two_way_balanced,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
m0_naive,two_way_balanced,0.6,0.6,0.013551178927805677,0.00722370454937986,0.37771724721112065,0.13979902137584763,0.017494879840145347,-1.2159691019785532e-06
m1_additive,two_way_balanced,0.6,0.6,0.0018204411430124,-0.00015631668082987516,0.029092638473520026,0.00373340362450866,0.00246433613297863,-1.7548882339609893e-06
pe_rasch,two_way_balanced,0.6,0.6,0.0025591074566488348,0.0007653132716593699,0.03130447286401687,0.002480163314314618,0.003464283970526785,5.18826572307817e-05
m2_bayesian_additive,two_way_balanced,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
