method,mask_type,effective_budget_round,n,w1_mean,w1_se,prompt_mae_mean,prompt_mae_se,prompt_rmse_mean,mean_abs_error_mean,sd_abs_error_mean,q25_abs_error_mean,q50_abs_error_mean,q75_abs_error_mean,min_abs_error_mean,max_abs_error_mean,train_log_loss_mean,train_brier_mean,test_log_loss_mean,test_brier_mean,max_rhat_effective_mean,min_ess_effective_mean,max_rhat_mean,min_ess_mean,min_ess_bulk_mean,max_rhat_max,min_ess_min,converged_rate,connected_rate,cover_avg,cover_sd,cover_min,cover_q25,cover_q50,cover_q75,cover_max,avg_ci95_width_mean,sd_ci95_width_mean,min_ci95_width_mean,q25_ci95_width_mean,q50_ci95_width_mean,q75_ci95_width_mean,max_ci95_width_mean,w1_ci95_low,w1_ci95_high,prompt_mae_ci95_low,prompt_mae_ci95_high
m0_naive,random_uniform,0.1,20,0.08938665101066802,0.002930188237516495,0.11515077355479053,0.0028238652890654106,0.14646278580777047,0.01637697618257208,0.11324233054267543,0.05910488677129544,0.022566585461322283,0.08472055722055724,0.3013203463203463,0.1999999999999999,0.5632927274423105,0.19237316921941144,0.9484352344405593,0.239222367246371,,,,,,,,,,,,,,,,,,,,,,,,0.0836434820651357,0.09512981995620035,0.10961599758822232,0.12068554952135874
m1_additive,random_uniform,0.1,20,0.032069879793923686,0.001759785762923362,0.05671324191464069,0.001895525741398561,0.07114676404714794,0.013037909256618055,0.03511841358152039,0.015883935394640454,0.014959604659691062,0.03637575576562398,0.09771503356117196,0.041087635077843146,0.31573562859212495,0.08635790927672633,0.4149864926740082,0.12754896182198955,,,,,,,,1.0,,,,,,,,,,,,,,,,0.028620699698593897,0.035519059889253475,0.05299801146149951,0.060428472367781864
pe_rasch,random_uniform,0.1,20,0.06536347920981908,0.0028522124240920044,0.0900568470142998,0.0029373303178315724,0.12091040189771514,0.01447172931992824,0.08867787806225425,0.03423709810686621,0.014973496225549388,0.06492496654993601,0.32593939307776953,0.13188079781432063,0.0918726454901308,0.02986444908848592,1.7832031309096557,0.1555331760636171,,,,,,,,0.95,,,,,,,,,,,,,,,,0.05977314285859875,0.07095381556103941,0.08429967959134993,0.09581401443724968
m2_bayesian_additive,random_uniform,0.1,20,0.019064877629033163,0.0012039460322341672,0.029845311995602884,0.000708971234942616,0.03735330196649617,0.009202683523797727,0.01885311376463978,0.01965278940317091,0.01223087572266881,0.012594417989347134,0.03642091447285251,0.06872555146289373,0.21164237643497633,0.05985514770861593,0.3157647654170622,0.0944864872088534,1.01,794.7,1.01,794.7,794.7,1.01,486.0,1.0,,0.95,1.0,1.0,1.0,0.95,1.0,0.95,0.05264894603748884,0.05897461948278846,0.17173255539576987,0.07219675574720974,0.0550885687733631,0.07095776437256862,0.14155384320662737,0.016705143405854196,0.02142461185221213,0.02845572837511536,0.03123489561609041
m0_naive,random_uniform,0.2,20,0.054085935071259986,0.0017013801036102798,0.0778017797547618,0.001699698769215534,0.09735408782194069,0.011865962526362999,0.06528106576572032,0.04658206811659493,0.017527950842848493,0.048097724466347413,0.1786973978034349,0.10667886460804407,0.5984660631585118,0.20551677146413713,0.6522221725690518,0.22657972416460154,,,,,,,,,,,,,,,,,,,,,,,,0.050751230068183835,0.057420640074336136,0.07447037016709934,0.08113318934242425
m1_additive,random_uniform,0.2,20,0.01897133242582428,0.0010538363347599152,0.040971949455878155,0.0010648363860042082,0.0513330648295955,0.0073075092590758756,0.0197313760794172,0.011732363667588445,0.01253361081676115,0.021298202066358622,0.061882309310825334,0.01569321364754523,0.2930615378836505,0.08039633630729176,0.3453971037445681,0.10078823882756685,,,,,,,,1.0,,,,,,,,,,,,,,,,0.016905813209694844,0.021036851641953715,0.038884870139309906,0.043059028772446405
pe_rasch,random_uniform,0.2,20,0.029456831811877998,0.001646085784426835,0.04984168945622018,0.0017946598551777865,0.06582978451352531,0.0061864101405234,0.037421104898381484,0.016281882812465055,0.012858611291282216,0.026022408605157966,0.12434642207246241,0.05715009745439899,0.1786053123165786,0.057600708987575744,0.5153456555690533,0.10066376423531216,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0262305036744014,0.0326831599493546,0.04632415614007172,0.05335922277236864
m2_bayesian_additive,random_uniform,0.2,20,0.016662370029202206,0.0010209706133186489,0.026346959312585426,0.0004596758177765453,0.032619941614092145,0.005951423590483959,0.01826017954013136,0.014588529612072266,0.01207149781595087,0.010531385746891444,0.034615059388253586,0.07014683387719356,0.22400823087042848,0.06810716768066553,0.27743531200772786,0.08428983095220252,1.01,746.2,1.01,746.2,746.2,1.01,481.0,1.0,,0.95,0.85,1.0,0.85,0.6,0.95,0.4,0.030022816257758635,0.03455890667419466,0.10626611160058716,0.04175956326115594,0.0321244373162062,0.041329802420922074,0.0861846464717704,0.014661267627097654,0.018663472431306758,0.025445994709743396,0.027247923915427456
m0_naive,random_uniform,0.3,20,0.039416852441172864,0.0018476380343789556,0.05932279510574815,0.0015107366629130987,0.07439851499296558,0.008985517961290485,0.04619257988559515,0.032777826853728174,0.01820503138927873,0.0332344597452356,0.12179642546090767,0.06385643033048996,0.6075837172592089,0.20926616784243915,0.6399944857573843,0.22234992621086752,,,,,,,,,,,,,,,,,,,,,,,,0.03579548189379011,0.04303822298855562,0.056361751246438475,0.062283838965057826
m1_additive,random_uniform,0.3,20,0.0153237589726939,0.0009072156904201082,0.03333320656038551,0.0006985747837255375,0.04158729668876213,0.00490559646969368,0.01522040367772456,0.0070280786820224785,0.01132839514151728,0.014892657417246097,0.04672032612012224,0.01335811836278335,0.2768816362910811,0.07648581663728263,0.31814279523319494,0.09241968522973822,,,,,,,,1.0,,,,,,,,,,,,,,,,0.013545616219470487,0.01710190172591731,0.03196399998428346,0.034702413136487566
