model,subject,mask_design,benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,200.0,two_way_balanced,Avg,0.2822599943748,0.0044430218574479,0.3092957756600289,0.0064221310385859,0.2607999943748,0.0042928880513912,3.909305484723664,0.1544966828593831,0.3026938736271429,0.0041086688234231,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,200.0,two_way_balanced,BayPIRE,0.0275764600103988,0.0040248947371599,0.0336553420159878,0.0050098082346204,0.0211406265979344,0.0057876985445631,0.3710970046877145,0.0116114860249056,0.1109392761532831,0.0045241847095723,1.0,0.997,0.0067494855771055,0.2083370154855726,0.0239668331415956,0.207796665186571,0.0234826906320911,0.998,0.0063245553203367,0.2353574999999998,0.0226447245512061,0.2340624999999998,0.0210424711067349,1.0,0.0,0.0841045506293256,0.0035659530974542,1.0,0.0,0.0853209999999999,0.0034959786819207
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,200.0,two_way_balanced,PE-Rasch,0.1003581939672525,0.0100317584284276,0.1432938894003841,0.0113685206604089,0.0769624647741469,0.0108090119402407,0.5631551192348796,0.0279598637994413,0.1449295888716339,0.0070528676319622,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,400.0,two_way_balanced,Avg,0.1825199972736,0.0103961317299815,0.2297995973324557,0.0136684335840415,0.1607999972736,0.0090400343971813,2.083884637719754,0.1139940173222171,0.260473956600625,0.0065989785920219,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,400.0,two_way_balanced,BayPIRE,0.0273827015765508,0.0027370480189181,0.0339824368203482,0.0025114099853331,0.0167977968841839,0.0049295967778875,0.3298442778922918,0.0126616947725384,0.0997237004649668,0.004021231802078,1.0,0.983,0.0163639169448447,0.1823608186972722,0.023436134048968,0.1820159140765937,0.0231887735662064,1.0,0.0,0.2111529999999999,0.0202718356483954,0.2110499999999999,0.0198440272290345,1.0,0.0,0.0576636657853833,0.0021722791930645,1.0,0.0,0.0588867499999999,0.0018416086152238
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,400.0,two_way_balanced,PE-Rasch,0.1074228468835407,0.0071837852745219,0.1497273994199025,0.0115725096158397,0.0840272257724854,0.0067249589431051,0.69068721988489,0.07486890751117,0.1567184011065649,0.0112656696567981,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,800.0,two_way_balanced,Avg,0.1211999994296,0.0083647739233924,0.1503097550783486,0.0122123441200033,0.1008999994296,0.0075055904017531,0.9539347331899805,0.0953127084904496,0.2297540757156521,0.0043659969170423,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,800.0,two_way_balanced,BayPIRE,0.0248450147534721,0.0015922541645049,0.0308748779138414,0.0020708223334637,0.0148562880475995,0.0032285256375016,0.2986486926350492,0.0037647224088892,0.0915568001595721,0.0014600134320249,1.0,0.912,0.0507280330126581,0.1154630151152702,0.0241794766798053,0.1153230640676983,0.0242431135403042,0.991,0.0099442892601175,0.1555334999999999,0.0180519471941394,0.1555125,0.0183557107750027,1.0,0.0,0.0371315184758267,0.0010493913851623,1.0,0.0,0.0386942499999999,0.0012420161980067
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,800.0,two_way_balanced,PE-Rasch,0.0854068525062868,0.0053060497772711,0.1063915272027556,0.0068462362690388,0.0637268490287518,0.0070346046103141,0.4968731841615919,0.0304690657094525,0.1250860104349583,0.0056755494317308,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,1600.0,two_way_balanced,Avg,0.0808974999748,0.0073359886207195,0.1014072557331818,0.0085740059819761,0.0626224999748,0.0075577264403827,0.6498392592208777,0.0346951343416738,0.2172416294445238,0.0024937290592797,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,1600.0,two_way_balanced,BayPIRE,0.0227968509976379,0.0016962282953452,0.0280256716439041,0.0018626161930037,0.0141032898281719,0.0027081017380383,0.2770180843827868,0.0039665258911451,0.0861175506827252,0.0013483823180589,1.0,0.78,0.1115546702045434,0.0738591591599706,0.0140789899571241,0.0738208971520855,0.0141583911501144,0.982,0.0122927259430572,0.1245667499999999,0.0078229405392445,0.1260249999999999,0.008413324418907,1.0,0.0,0.0239873065677711,0.0006878706351314,1.0,0.0,0.0261329999999999,0.0007502414426184
