experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0291333948802966,0.0033922457655716,0.3817244057547898,0.1141825090108141,0.0191866981097158,1.0,0.9975,0.2515970873560498,1.0,0.0880429417445583
balanced,200.0,Bayes-MAP,0.0685733260602622,0.0037471794383595,0.4913691562383781,0.1592469019568342,0.0448996026581047,1.0,,,,
balanced,200.0,PE-Rasch,0.1207573169137435,0.0168516236470114,0.6127327922718099,0.1591206802400116,0.0970526750735556,1.0,,,,
balanced,200.0,Avg,0.2926999942033,0.013769148930257,4.221980881705394,0.3159515263357143,0.2701999942033,,,,,
balanced,400.0,BayPIRE,0.0284252179682719,0.0035657780877268,0.3234426398870681,0.0961803398636736,0.0198425823545094,1.0,0.971,0.1690707500673682,0.9,0.0567787663838988
balanced,400.0,Bayes-MAP,0.0623985872281776,0.0050767466723751,0.4260116315213639,0.1317648813540488,0.0380871034382457,1.0,,,,
balanced,400.0,PE-Rasch,0.1078757462301147,0.0113649370430083,0.6723033185162993,0.1531377267970101,0.0842231793596801,1.0,,,,
balanced,400.0,Avg,0.1760749976384,0.011684937216632,1.9546396727908637,0.2612578109357292,0.1565749976384,,,,,
balanced,800.0,BayPIRE,0.0257068666641152,0.0021865635996455,0.2947681106670574,0.0892216936606251,0.0167427435402696,1.0,0.906,0.113918991813333,0.95,0.037455866002949
balanced,800.0,Bayes-MAP,0.0519211515718004,0.0039060191372863,0.3671746571523887,0.1090663414271158,0.028364758804677,1.0,,,,
balanced,800.0,PE-Rasch,0.086055500155976,0.0045295582399165,0.4804468024889869,0.1232594666669072,0.0642920478350211,1.0,,,,
balanced,800.0,Avg,0.121772499517,0.0096477085779476,0.9230098128975336,0.2337917795701087,0.101692499517,,,,,
balanced,1600.0,BayPIRE,0.0237257805803303,0.0017658520123143,0.2745009094672873,0.0846737318823006,0.0139399563647583,1.0,0.8035,0.0820137694014182,0.9,0.0239546433453423
balanced,1600.0,Bayes-MAP,0.0401778363998779,0.0028826771584573,0.3216649133237547,0.0942604875789861,0.0202494331484526,1.0,,,,
balanced,1600.0,PE-Rasch,0.0543439242885247,0.0047072202327842,0.3354611846854173,0.0987882486589574,0.0356825053528569,1.0,,,,
balanced,1600.0,Avg,0.083196249979,0.0045268880372087,0.6571668370201816,0.2219281063823809,0.062591249979,,,,,
random,200.0,BayPIRE,0.0320141889225333,0.0076897839009189,0.4108502660319331,0.1267956662086299,0.0242896813338134,1.0,0.995,0.2495423564937983,1.0,0.1076360761083487
random,200.0,Bayes-MAP,0.0620039955418115,0.0075262934773748,0.5014582999606336,0.1633821026680693,0.0395342235749894,1.0,,,,
random,200.0,PE-Rasch,0.1206927517323102,0.0119955216738187,0.6672535281149771,0.1750434502904679,0.0957898778376288,1.0,,,,
random,200.0,Avg,0.2570658281040833,0.020716861988863,4.032150040289368,0.3122759568151245,0.2329367804850357,,,,,
random,400.0,BayPIRE,0.0290956158836249,0.0060061516700845,0.3438301904244333,0.1034821130956524,0.0216259350058786,1.0,0.959,0.1625093252583392,0.95,0.0673946898253871
random,400.0,Bayes-MAP,0.0610763841054362,0.0050459277900665,0.4388221378087194,0.1372741983795536,0.0364868574847111,1.0,,,,
random,400.0,PE-Rasch,0.109125129949204,0.0093793241706067,0.6952354128964642,0.1607200191896648,0.0836401772887784,1.0,,,,
random,400.0,Avg,0.2022447262959294,0.0148065330336499,2.57635688100049,0.2767762480988304,0.1784140120102151,,,,,
random,800.0,BayPIRE,0.026859564106062,0.0032893552086619,0.2997794273232767,0.0905892343353016,0.0175009378739678,1.0,0.8935000000000001,0.1191476002107491,0.9,0.0404507284516118
random,800.0,Bayes-MAP,0.0521343211153887,0.0048894480026424,0.3751441218347127,0.1126827143161082,0.0306586978128843,1.0,,,,
random,800.0,PE-Rasch,0.0865904719113021,0.0058011070619376,0.4990313975185249,0.1259684299668328,0.0654166056405014,1.0,,,,
random,800.0,Avg,0.1292224295180743,0.0096592002612792,1.1444285454425296,0.2388351456890676,0.1076780938537386,,,,,
random,1600.0,BayPIRE,0.023104352864263,0.0012334827952253,0.2732338643627873,0.0843657139854097,0.0146722805395539,1.0,0.771,0.0716740678067384,1.0,0.0245117261392922
random,1600.0,Bayes-MAP,0.040328233451931,0.0033209166877309,0.3228804383663927,0.0946469961588042,0.0191712243025733,1.0,,,,
random,1600.0,PE-Rasch,0.0559231380862838,0.0034101945338644,0.3336703566301435,0.0994853810978199,0.0360143374450563,1.0,,,,
random,1600.0,Avg,0.0837279215170276,0.0066741798835709,0.6747870706623696,0.2221529179913261,0.0629627996161872,,,,,
