benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_95,mean_interval_width_95,median_interval_width_95,cover_avg_95,avg_interval_width_95
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,100,200,10000,0.22133332890033333,0.27979714325965604,0.19813332890033336,3.2916270612435996,0.2881439877521542,0.41000960056502,0.1421666666666667,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.10567740631560975,0.142181062050266,0.08201195831220406,0.7360205655744859,0.19217280753277688,0.027096798218664966,0.0016063635871398807,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.05148215793351892,0.06423598787652401,0.03032550562941816,0.5072991713203108,0.16538671360942642,0.33601353647592075,0.09221544230519094,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,86.88724788890012,0.0037310058981568192,-1.0202937503667449,0.2904149643901041,0.5597558704893585,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.027054068854092384,0.03281492938205496,0.020719488052905303,0.4448590748836366,0.14077436542040356,0.22852643603387976,0.058109793449113045,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1649.0,0.0,1000.0,1000.0,4.0,0.97,-1.911,0.387,2.733,1.0,0.2212666984354363,0.22242012814913142,1.0,0.11385468745236677
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,100,200,10000,0.2456166613656667,0.3059107014700061,0.22488332803233335,3.9680152569095575,0.30439050055147393,0.3178869173371583,0.1108333333333334,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.15471082985287157,0.2032226525251194,0.12671082985287158,0.786427130489425,0.20525170193138118,0.031141122345393128,0.002493363995972016,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.075834313276214,0.08875627396078895,0.061642095588998615,0.5301025342181794,0.17702600906521937,0.33008392434668665,0.09429376220010145,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,83.02182903685868,0.0015740508948727538,-1.2541564978549697,0.33569744168330046,0.4804617292623464,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.051447796513940124,0.05992325946283081,0.05004293540830961,0.4557046553751558,0.14653455067833535,0.2899349035443879,0.0812401017198661,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1193.0,0.0,1000.0,1000.0,4.0,0.97,-1.921,0.459,2.05,1.0,0.27425871595832363,0.2704690528293881,1.0,0.11255897402622644
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,100,200,10000,0.256899995085,0.3208358816004948,0.234299995085,3.912466669031817,0.3135309484972789,0.37150419038021637,0.1306666666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.11311040507255171,0.14913464344659288,0.08664199384341131,0.5973396580707008,0.1603694136694113,0.024883066095218585,0.00129134960962799,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
