benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.25706582810408335,0.020716861988863015,0.3175282406006671,0.026727495570091773,0.23293678048503574,0.020154466290469776,4.032150040289368,0.41684132951676145,0.3122759568151245,0.017434541399712334,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.03201418892253331,0.007689783900918914,0.03888397509488278,0.008580097539185308,0.024289681333813422,0.01060922722652711,0.41085026603193314,0.018120208926956337,0.12679566620862998,0.007676679977076232,1.0,0.9949999999999999,0.015727950313140976,1.0,0.0,0.24954235649379833,0.03572226627987098,0.24981102277688144,0.03598459035215943,0.10763607610834873,0.003357778641231523
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.0620039955418115,0.0075262934773748305,0.07590925308333396,0.007923613985515358,0.03953422357498948,0.011041834792634042,0.5014582999606336,0.011102488436168486,0.16338210266806932,0.005472403596861751,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.12069275173231027,0.011995521673818732,0.16472008351106948,0.0161721400865145,0.09578987783762888,0.01194492399064651,0.6672535281149771,0.05226548385900855,0.17504345029046792,0.01220084622807634,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.20224472629592943,0.014806533033649903,0.25444645285320294,0.02021133030536786,0.17841401201021517,0.014417895458619672,2.57635688100049,0.36336665467190843,0.2767762480988304,0.011034915699140863,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.02909561588362497,0.006006151670084582,0.03571307995338735,0.006815314506711195,0.02162593500587867,0.007871005805584889,0.3438301904244333,0.012240521511803036,0.10348211309565247,0.004738116452569506,1.0,0.959,0.05495452665613634,0.95,0.22360679774997894,0.16250932525833925,0.022776590968109293,0.16246633122192317,0.022996380477236768,0.0673946898253871,0.002914606343638359
mmlu:abstract_algebra,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.061076384105436296,0.005045927790066543,0.07541162792211448,0.005722504755932285,0.036486857484711165,0.006510424281817574,0.4388221378087194,0.007958904414760418,0.1372741983795536,0.0039721811805620245,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.10912512994920401,0.009379324170606742,0.1548650875548473,0.012611615647521454,0.08364017728877848,0.009769248496699858,0.6952354128964642,0.05351071679910149,0.16072001918966483,0.00817442662687428,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.12922242951807433,0.009659200261279218,0.16480947117213546,0.010308407617522154,0.10767809385373868,0.009612457573199685,1.1444285454425296,0.14337385099689348,0.2388351456890676,0.003870282357326543,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.026859564106062033,0.0032893552086619045,0.03295956747021804,0.003983080535116419,0.01750093787396789,0.004823176056520654,0.2997794273232767,0.005152668037322364,0.09058923433530161,0.001793170659961176,1.0,0.8935000000000001,0.06019923062980998,0.9,0.3077935056255462,0.1191476002107491,0.031824352944269385,0.1188071937250172,0.03171794257846453,0.04045072845161189,0.002047060790797981
mmlu:abstract_algebra,meta_llama_llama_3_8b,800.0,random_uniform,Bayes-MAP,0.05213432111538872,0.004889448002642483,0.06513489824048642,0.005777650396822105,0.030658697812884363,0.006015686792213579,0.37514412183471274,0.0060488204316044404,0.11268271431610825,0.0028191194394593033,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,800.0,random_uniform,PE-Rasch,0.08659047191130217,0.005801107061937677,0.11122010957143687,0.008745712007547755,0.06541660564050143,0.006294300785092728,0.49903139751852493,0.03160998042429977,0.12596842996683288,0.0045370547348411675,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,1600.0,random_uniform,Avg,0.0837279215170276,0.006674179883570967,0.10552912129834495,0.008361166026428115,0.06296279961618725,0.007096939042558113,0.6747870706623696,0.0400526920387278,0.2221529179913261,0.0025954293224447547,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,1600.0,random_uniform,BayPIRE,0.023104352864263017,0.0012334827952253011,0.02859368071602953,0.001541695794527066,0.014672280539553953,0.0015042173273006434,0.2732338643627873,0.0033953850560731764,0.0843657139854097,0.0011886823339313072,1.0,0.771,0.07524696182011531,1.0,0.0,0.07167406780673846,0.010167520348333523,0.07179956522041583,0.010207160308907691,0.024511726139292235,0.0008814092103489634
mmlu:abstract_algebra,meta_llama_llama_3_8b,1600.0,random_uniform,Bayes-MAP,0.04032823345193108,0.0033209166877309335,0.050249745052371377,0.0038310119995272635,0.019171224302573335,0.0027757345316662737,0.3228804383663927,0.0033308738081936316,0.09464699615880427,0.0013754822659460977,1.0,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b,1600.0,random_uniform,PE-Rasch,0.05592313808628383,0.0034101945338644054,0.07204020188640695,0.0042755963801289435,0.0360143374450563,0.00343635863005787,0.33367035663014355,0.015652472375031035,0.09948538109781999,0.0026397358375303518,1.0,,,,,,,,,,
