experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0256919936866485,0.0050605717650342,0.3338547811429661,0.0924843268293844,0.0194734442928586,1.0,0.999,0.2347580123176728,1.0,0.0906068085461772
balanced,200.0,Bayes-MAP,0.0719381451084645,0.0044571256835703,0.5059842378653986,0.1645860806146181,0.0524368413004454,1.0,,,,
balanced,200.0,PE-Rasch,0.1208643827671163,0.0143951539022755,0.4574632899195339,0.1267332173084867,0.1005028861666412,1.0,,,,
balanced,200.0,Avg,0.2900055502404816,0.0107045517703968,4.256857165578497,0.3288881536194737,0.2718055502404816,,,,,
balanced,400.0,BayPIRE,0.0218200918900727,0.0024600051832387,0.2414164447805056,0.065921880322152,0.0174636098443141,1.0,0.9715,0.1206699741332414,0.95,0.0507545947543568
balanced,400.0,Bayes-MAP,0.0645943491319482,0.0055500623764747,0.4231841888526877,0.1287320708373706,0.0442492492318632,1.0,,,,
balanced,400.0,PE-Rasch,0.0822104111075669,0.0085093505497503,0.4172383983906724,0.104636379714534,0.062256200763686,1.0,,,,
balanced,400.0,Avg,0.1923055534595556,0.0146080370458647,1.9748997396433576,0.2768831091453435,0.1733944423484445,,,,,
balanced,800.0,BayPIRE,0.0205556715662137,0.000892692423808,0.2001932113910731,0.0570771534787572,0.01526942048865,1.0,0.8925000000000001,0.0846533159160298,1.0,0.0314979820075358
balanced,800.0,Bayes-MAP,0.0513768389639498,0.00362969549965,0.3372444305516963,0.0938434135018781,0.0307996005830628,1.0,,,,
balanced,800.0,PE-Rasch,0.0658607201362642,0.0045699028618827,0.3431813872830039,0.0853748459597626,0.0467895643824362,1.0,,,,
balanced,800.0,Avg,0.1358583329523333,0.0079376501412476,0.926829389984482,0.250094364877874,0.1172666662856666,,,,,
balanced,1600.0,BayPIRE,0.0189239474261226,0.0008821963512794,0.1773314733570988,0.0534167857495701,0.0136049502958474,1.0,0.8074999999999999,0.063579710960747,1.0,0.0200531364437341
balanced,1600.0,Bayes-MAP,0.0342068114236898,0.0024639903214543,0.2667842017769207,0.069721002922479,0.0171088283321772,1.0,,,,
balanced,1600.0,PE-Rasch,0.0458104295290766,0.0034625769056198,0.2367439551228336,0.0683553931724756,0.0307378660486798,1.0,,,,
balanced,1600.0,Avg,0.0849599536992962,0.0060067821688864,0.6699415206788583,0.2337644596866806,0.0672793981437407,,,,,
random,200.0,BayPIRE,0.0351159974260277,0.0185059953919235,0.3949741923584093,0.1206407989443633,0.0303828993937442,1.0,0.9765,0.2316428344033806,0.95,0.112555109287884
random,200.0,Bayes-MAP,0.0696064386236903,0.0135336585879697,0.5251426529152574,0.1728168814964353,0.0520832459657426,1.0,,,,
random,200.0,PE-Rasch,0.1344968845766709,0.0222938367982432,0.5737180700566631,0.1665062687953894,0.1142636611138043,1.0,,,,
random,200.0,Avg,0.2723053255965345,0.0207848062984318,4.333619381934634,0.3359181801753496,0.2519560663372752,,,,,
random,400.0,BayPIRE,0.02315537954474,0.0039404435251779,0.2762971020604496,0.0783658818035767,0.0188414152065878,1.0,0.975,0.133581443510652,0.95,0.0663145049000746
random,400.0,Bayes-MAP,0.0604219793356874,0.0056445165974694,0.4419709810202279,0.1375093467608973,0.0405111427059369,1.0,,,,
random,400.0,PE-Rasch,0.0915199013257773,0.0101350554988432,0.4598124564372995,0.1187376618401487,0.0715518734445661,1.0,,,,
random,400.0,Avg,0.2028416284939739,0.0183496851633209,2.505616571660961,0.2877512852811329,0.1824706893405348,,,,,
random,800.0,BayPIRE,0.0203988111312347,0.0011769302479883,0.2100799046104511,0.0600188553694803,0.0155122164742608,1.0,0.8995,0.0889597112891513,1.0,0.0364875409013971
random,800.0,Bayes-MAP,0.0505027550844326,0.0041325689921022,0.3491849093875501,0.0992448051634083,0.0303865704368616,1.0,,,,
random,800.0,PE-Rasch,0.0683823339448936,0.0071001628123662,0.3578429900734644,0.0891853572108803,0.0503428582915147,1.0,,,,
random,800.0,Avg,0.1383152748731826,0.0121772005462827,1.1396126584456137,0.2535103703516252,0.11867120227911,,,,,
random,1600.0,BayPIRE,0.0195155551728632,0.0016096733165732,0.1786943517295486,0.0536893996825346,0.013533816597168,1.0,0.8225,0.0659447608557577,0.9,0.0212318821900113
random,1600.0,Bayes-MAP,0.0367466675480946,0.0031937741682094,0.2731924407962889,0.0723261984257494,0.0188325528737862,1.0,,,,
random,1600.0,PE-Rasch,0.0483023636902049,0.0035002522319714,0.2448285812840568,0.0694785053980449,0.031672111449501,1.0,,,,
random,1600.0,Avg,0.0883641100347692,0.0063487498366738,0.7043301218834483,0.2350914741210223,0.0700033956993123,,,,,
