benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:anatomy,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.27230532559653453,0.020784806298431806,0.3361322169633352,0.024857677492413126,0.25195606633727524,0.020466456233734394,4.333619381934634,0.46574641726671334,0.33591818017534963,0.017247662009032445,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.03511599742602772,0.01850599539192354,0.040825350860784364,0.018229306636614064,0.03038289939374426,0.021542404254697178,0.39497419235840936,0.025437455984376113,0.12064079894436333,0.011035114558201059,1.0,0.9765,0.07808733302493667,0.95,0.22360679774997896,0.2316428344033806,0.04471038379666832,0.23164060818242221,0.04480926295166386,0.11255510928788401,0.00408473478128393
mmlu:anatomy,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.06960643862369031,0.013533658587969706,0.08485258357178684,0.014757461822045521,0.05208324596574265,0.017634159962179947,0.5251426529152574,0.01281160221308436,0.17281688149643534,0.006616890713728766,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.13449688457667097,0.022293836798243274,0.17814263823781834,0.026132859081741615,0.11426366111380433,0.02349928340875218,0.5737180700566631,0.05988806934926873,0.16650626879538943,0.016353587822144293,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.20284162849397394,0.018349685163320965,0.25413330000252493,0.019275780956460802,0.18247068934053484,0.01762841148152307,2.505616571660961,0.3650229202963602,0.2877512852811329,0.010327075832680133,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.02315537954474007,0.003940443525177939,0.028342143598846375,0.004589101584470762,0.018841415206587886,0.0049703307614160945,0.2762971020604496,0.013320021415789777,0.07836588180357679,0.005288078393273422,1.0,0.975,0.039269648116043734,0.95,0.22360679774997896,0.13358144351065207,0.014968168671182922,0.13362107535142478,0.01510067207535848,0.0663145049000746,0.0027444386975293044
mmlu:anatomy,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.0604219793356874,0.005644516597469445,0.07436177643122091,0.00548429954558401,0.040511142705936976,0.005745438119242125,0.44197098102022797,0.006975262684520201,0.13750934676089732,0.003584842742318648,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.09151990132577736,0.010135055498843224,0.1313035369290482,0.015313587544700573,0.07155187344456614,0.011284229321320002,0.4598124564372995,0.0387003289874889,0.11873766184014874,0.009603575409915766,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.13831527487318263,0.012177200546282727,0.17469682338473896,0.015335289141358767,0.11867120227911006,0.012607636507119442,1.1396126584456137,0.17833657205099163,0.25351037035162527,0.005769289962797275,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.020398811131234783,0.0011769302479883276,0.02514121683094823,0.0014130704966608773,0.015512216474260826,0.0016215519691074468,0.21007990461045112,0.008523497827376967,0.060018855369480394,0.0032936573236900376,1.0,0.8995,0.06692297221826234,1.0,0.0,0.08895971128915135,0.014487898118787366,0.08916744125133066,0.01467625076617499,0.03648754090139715,0.001524705638968645
mmlu:anatomy,meta_llama_llama_3_8b,800.0,random_uniform,Bayes-MAP,0.05050275508443268,0.004132568992102203,0.0626494703056352,0.00464787822704234,0.030386570436861687,0.004124538913521492,0.34918490938755015,0.006513275263299206,0.0992448051634083,0.0032275607717097052,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,800.0,random_uniform,PE-Rasch,0.06838233394489367,0.007100162812366204,0.09319680535522198,0.010626312592202569,0.05034285829151477,0.0067800359101837385,0.35784299007346443,0.030622079050874513,0.08918535721088039,0.006629867137854692,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,1600.0,random_uniform,Avg,0.08836411003476922,0.006348749836673859,0.11194961731067601,0.007454690325129767,0.07000339569931234,0.005992845314231636,0.7043301218834483,0.03620392665167437,0.23509147412102238,0.002070397763000161,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,1600.0,random_uniform,BayPIRE,0.019515555172863255,0.0016096733165732978,0.02391517920508516,0.001843508300221119,0.013533816597168041,0.001833175176710698,0.17869435172954864,0.0035027014399277045,0.05368939968253463,0.0011109973108148594,1.0,0.8225,0.0532002176489414,0.9,0.3077935056255462,0.0659447608557577,0.009459973007336543,0.06607379714598868,0.009533920502706263,0.021231882190011327,0.0008187236391657345
mmlu:anatomy,meta_llama_llama_3_8b,1600.0,random_uniform,Bayes-MAP,0.03674666754809465,0.003193774168209467,0.046336585480819155,0.0034377547197543155,0.018832552873786275,0.0024827675833078177,0.2731924407962889,0.003310785439278788,0.07232619842574946,0.0014941322444777237,1.0,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,1600.0,random_uniform,PE-Rasch,0.04830236369020497,0.0035002522319714795,0.06176644654332801,0.004621858712208499,0.03167211144950105,0.002912999055688358,0.2448285812840568,0.013901629154928785,0.06947850539804494,0.0027122638193156044,1.0,,,,,,,,,,
