benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_95,mean_interval_width_95,median_interval_width_95,cover_avg_95,avg_interval_width_95
mmlu:astronomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,152,200,15200,0.28927631075657895,0.33552179432454016,0.27572367917763163,4.446225881167057,0.3454333288746667,0.3396421235743732,0.12250000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,152,200,15200,0.1236778266775696,0.16252958545821414,0.10856227727511542,0.4228304081016223,0.11985693345366011,0.022769343702200233,0.0006838917422976107,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,152,200,15200,0.0749429805629212,0.08917633153736022,0.061390348983973816,0.5260040770633633,0.17239306376311433,0.38861513604376313,0.10863407684378093,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,98.86908728264787,0.0015483512618170226,0.5790684980504028,0.3835935434942814,0.4284954696077946,253.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,152,200,15200,0.018452210254515006,0.022385051227137714,0.009363944936435893,0.34003892521619283,0.09230399034508677,0.24367315938941594,0.05206499846568065,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1247.0,0.0,1000.0,1000.0,4.0,0.97,1.135,0.44,2.794,1.0,0.26249929331840044,0.26244110722924874,1.0,0.09299811253602996
mmlu:astronomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,152,200,15200,0.30677630996710525,0.34926031641625443,0.2955920994407894,4.939710393273112,0.35523332827866666,0.2841903499295776,0.10250000000000005,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,152,200,15200,0.1440920955900039,0.1801343678192362,0.132167703283981,0.4504315638755619,0.13095050319770055,0.020402737685477398,0.0005314807704595233,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07501938342861088,0.09079580232766568,0.06249992682122723,0.5320409135249514,0.17626954667606018,0.36516102828316366,0.09999021180809904,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,94.47757001376999,0.0004347557977446528,0.7202266162620392,0.4050101201938919,0.4201185749025208,253.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,152,200,15200,0.022703002081755273,0.026578148711599178,0.018457260311097946,0.33984912885804736,0.09268239135900293,0.21565658775622099,0.042909207220602624,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1276.0,0.0,1000.0,1000.0,4.0,0.97,1.464,0.497,2.98,1.0,0.2740016970530785,0.2723406003241034,1.0,0.09427613636086918
mmlu:astronomy,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,152,200,15200,0.3213815730263157,0.36877625491888905,0.30914473092105266,5.241018312567571,0.36946666127733335,0.2772588782239782,0.10000000000000005,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,152,200,15200,0.1649116694908365,0.20632890160251074,0.15241875825174833,0.556381911495956,0.16315316912726216,0.022771176652655996,0.000778943434637778,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
