benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:astronomy,meta_llama_llama_3_8b,200.0,two_way_balanced,Avg,0.2949407841299342,0.01638920285840315,0.3386510452002366,0.01810485482764979,0.28195394202467106,0.01624646092169908,4.616580847560317,0.3848465129167684,0.34799166199933335,0.012561422337725758,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,two_way_balanced,BayPIRE,0.021947190773458712,0.00739114801473233,0.026227261517586725,0.007307502744378217,0.013909666349436547,0.011266801432428813,0.3604235169295733,0.020859723436431395,0.10094530037093763,0.008390351880425905,1.0,1.0,0.0,1.0,0.0,0.2776095129564208,0.03878494224978584,0.2764337487805893,0.038107965654591305,0.09662431711501399,0.00307720135426233
mmlu:astronomy,meta_llama_llama_3_8b,200.0,two_way_balanced,Bayes-MAP,0.0751348029724786,0.005831606540241338,0.09044433360102713,0.004947167657287806,0.06170023061000244,0.00597239543874803,0.534111004268894,0.004980543028425784,0.17665917858014796,0.002555438607442112,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,two_way_balanced,PE-Rasch,0.13628721662778992,0.014118785608101946,0.17176664223008073,0.016298164907820586,0.1228783199564,0.014238352926249325,0.4778631564502388,0.03956577457376311,0.13548614899375003,0.012140116218714348,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,two_way_balanced,Avg,0.1969013141926316,0.012173605007423855,0.23036847681431896,0.015185113754884344,0.18448684050842107,0.012848182920379845,1.772719989657101,0.26220010760489687,0.28607516766074326,0.007499842075094523,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,two_way_balanced,BayPIRE,0.016608271126463774,0.002302820836849569,0.020379532927086483,0.002593295823964544,0.012307959752668603,0.003974905462895738,0.24960996974686767,0.009781689367205948,0.06769268987216501,0.003464154037647843,1.0,0.994,0.011424811411549603,1.0,0.0,0.12631950002931477,0.02018486708932559,0.12626056805844338,0.020133580483422682,0.05306958768702241,0.0023399958914288904
mmlu:astronomy,meta_llama_llama_3_8b,400.0,two_way_balanced,Bayes-MAP,0.0674738194939466,0.004545719550653588,0.08133985447220239,0.005540907455945494,0.05468947147649457,0.005012983603295718,0.44841971641632333,0.005700547830055499,0.13826295239901487,0.003083184252159506,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,two_way_balanced,PE-Rasch,0.07899833382307052,0.011661057302517142,0.11744821106441224,0.016682851307813856,0.06573809151839097,0.011454062188368332,0.40211109113952564,0.035752299244514264,0.1003918183752088,0.010305112731921823,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,800.0,two_way_balanced,Avg,0.13045723659105263,0.00993824495286377,0.1661956667935547,0.009461652910164433,0.11833881553842104,0.009998561823637222,0.8851007588924051,0.08443371067179463,0.26068663174493056,0.003454002182864039,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,800.0,two_way_balanced,BayPIRE,0.014156989436096354,0.0012694934864322324,0.017640957478559,0.0016379631477469769,0.009297296244688011,0.0023892973584865754,0.20316475833169795,0.005867502931444399,0.05675952582837611,0.0016145375761769222,1.0,0.9574999999999999,0.03354101966249685,1.0,0.0,0.08188213009601511,0.013679192064199505,0.08190566861803068,0.013741917500943179,0.03205833240510021,0.0009208603581035906
