experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0219471907734587,0.0073911480147323,0.3604235169295733,0.1009453003709376,0.0139096663494365,1.0,1.0,0.2776095129564208,1.0,0.0966243171150139
balanced,200.0,Bayes-MAP,0.0751348029724786,0.0058316065402413,0.534111004268894,0.1766591785801479,0.0617002306100024,1.0,,,,
balanced,200.0,PE-Rasch,0.1362872166277899,0.0141187856081019,0.4778631564502388,0.13548614899375,0.1228783199564,1.0,,,,
balanced,200.0,Avg,0.2949407841299342,0.0163892028584031,4.616580847560317,0.3479916619993333,0.281953942024671,,,,,
balanced,400.0,BayPIRE,0.0166082711264637,0.0023028208368495,0.2496099697468676,0.067692689872165,0.0123079597526686,1.0,0.994,0.1263195000293147,1.0,0.0530695876870224
balanced,400.0,Bayes-MAP,0.0674738194939466,0.0045457195506535,0.4484197164163233,0.1382629523990148,0.0546894714764945,1.0,,,,
balanced,400.0,PE-Rasch,0.0789983338230705,0.0116610573025171,0.4021110911395256,0.1003918183752088,0.0657380915183909,1.0,,,,
balanced,400.0,Avg,0.1969013141926316,0.0121736050074238,1.772719989657101,0.2860751676607432,0.184486840508421,,,,,
balanced,800.0,BayPIRE,0.0141569894360963,0.0012694934864322,0.2031647583316979,0.0567595258283761,0.009297296244688,1.0,0.9575,0.0818821300960151,1.0,0.0320583324051002
balanced,800.0,Bayes-MAP,0.0519270259141485,0.0035874358901754,0.3553410335291034,0.0994451497111727,0.0393842136384237,1.0,,,,
balanced,800.0,PE-Rasch,0.063169572485348,0.0039673264821012,0.3385678970603045,0.0827448453840385,0.0509907648739468,1.0,,,,
balanced,800.0,Avg,0.1304572365910526,0.0099382449528637,0.8851007588924051,0.2606866317449305,0.118338815538421,,,,,
balanced,1600.0,BayPIRE,0.0135047443611111,0.0007217048340953,0.1796721571874953,0.0523065974227477,0.0080724834539949,0.95,0.8724999999999999,0.0560536161027085,1.0,0.0204351248720752
balanced,1600.0,Bayes-MAP,0.0372698857580275,0.0025718432513443,0.2801519714035796,0.0727854948484619,0.0250960255563882,1.0,,,,
balanced,1600.0,PE-Rasch,0.0461138205501599,0.0036141923409214,0.2436077723110091,0.0666990619656559,0.0348498037617562,1.0,,,,
balanced,1600.0,Avg,0.091824013153421,0.0049516137561989,0.6945093617418154,0.2461281020184559,0.0797582236797368,,,,,
random,200.0,BayPIRE,0.0265520939239152,0.0160185736403662,0.4101937996760686,0.1267191176744826,0.0230262945613974,1.0,0.9945,0.2284891396879698,0.95,0.1154190432133812
random,200.0,Bayes-MAP,0.068098800952984,0.0093535159722205,0.5489500762449956,0.1834481629862664,0.0576252293324342,1.0,,,,
random,200.0,PE-Rasch,0.1310697088845523,0.0158256568289497,0.5581630207750169,0.1645816420848399,0.1187704129602292,1.0,,,,
random,200.0,Avg,0.2687347445012296,0.0175910862901179,4.317451131870177,0.3429565710839767,0.2573478146766682,,,,,
random,400.0,BayPIRE,0.0192616103868338,0.0070758665515951,0.2849870475782574,0.0814450301364426,0.016299393081301,1.0,0.9845,0.1305657745587465,0.9,0.0681482584263306
random,400.0,Bayes-MAP,0.0643481209502701,0.0046171423238609,0.46563802211055,0.146660344725256,0.0524585405063661,1.0,,,,
random,400.0,PE-Rasch,0.0894677844154722,0.0093463512214859,0.4399068142417103,0.1158958979632145,0.0774016232113413,1.0,,,,
random,400.0,Avg,0.2130372325641431,0.0141013063179851,2.627864734929948,0.3048109205533902,0.2010873641430905,,,,,
random,800.0,BayPIRE,0.0151897597913404,0.0025714493148371,0.2133791738129823,0.0593496651273029,0.0114624162388278,1.0,0.962,0.0819213072100399,0.9,0.0373943503184562
random,800.0,Bayes-MAP,0.0531913251880784,0.0056167040474948,0.3687876921427337,0.1055000446610121,0.0411416766392672,1.0,,,,
random,800.0,PE-Rasch,0.0645278669525329,0.0097924529676006,0.3535234139656998,0.0868563716903516,0.0526626537214059,1.0,,,,
random,800.0,Avg,0.1431349990368494,0.0118195538429745,1.1040965355491692,0.2664603292691737,0.1308959529951718,,,,,
random,1600.0,BayPIRE,0.0142175100923433,0.0011788937254134,0.1838408164524419,0.0530543883458395,0.0087917416457606,0.95,0.8695,0.057708253961647,0.9,0.021763001823246
random,1600.0,Bayes-MAP,0.0378513956018304,0.0027500624341795,0.287548179589926,0.0757577977773085,0.0261212397321685,1.0,,,,
random,1600.0,PE-Rasch,0.0473815852140454,0.0052318158859575,0.2560970367487857,0.0689241551767868,0.0358462235612714,1.0,,,,
random,1600.0,Avg,0.0931118769404406,0.0060196358072399,0.6999485968622438,0.2467663650430951,0.081155533648295,,,,,
