benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:astronomy,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.26873474450122964,0.017591086290117942,0.33149921376336033,0.01952065494047661,0.25734781467666823,0.01777216913246911,4.317451131870177,0.3359438175905518,0.3429565710839767,0.012914137926019344,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.026552093923915256,0.016018573640366216,0.030324004157131917,0.01557808435523378,0.023026294561397452,0.01834033745524006,0.4101937996760686,0.020028469147156138,0.12671911767448268,0.00899932888644321,1.0,0.9945,0.02459674775249768,0.95,0.22360679774997896,0.22848913968796988,0.031319648022935305,0.22824333692445262,0.031216730122497774,0.11541904321338123,0.004254739951759788
mmlu:astronomy,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.06809880095298401,0.009353515972220564,0.08148700624306739,0.00945588777586248,0.05762522933243427,0.011489578809390897,0.5489500762449956,0.009569194161539963,0.18344816298626648,0.004792569526850582,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.1310697088845523,0.01582565682894971,0.16746254946847838,0.019861660718308832,0.11877041296022925,0.016533249540763094,0.5581630207750169,0.04614814137398754,0.1645816420848399,0.012534239822689733,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.21303723256414311,0.014101306317985144,0.26693543745572745,0.014994781535713948,0.2010873641430905,0.014565980340969809,2.6278647349299478,0.2945737487317793,0.3048109205533902,0.00809149097988298,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.019261610386833897,0.007075866551595151,0.02298677535684054,0.007241154210474443,0.01629939308130101,0.008537914660726627,0.2849870475782574,0.012444035412943024,0.08144503013644264,0.00541688947322901,1.0,0.9845,0.042977962529160155,0.9,0.3077935056255463,0.13056577455874652,0.01370333554182563,0.13041974792372213,0.013496113531121063,0.06814825842633061,0.002941415662926997
mmlu:astronomy,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.06434812095027014,0.004617142323860917,0.07820384052552196,0.005475975951538512,0.052458540506366155,0.006181833597506967,0.46563802211055005,0.007692465686387075,0.14666034472525602,0.0042071352528963105,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.08946778441547223,0.009346351221485952,0.12886435027544718,0.010892922506776072,0.07740162321134136,0.009571560915723643,0.43990681424171035,0.03548679645077601,0.11589589796321458,0.009266116898931684,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.14313499903684945,0.011819553842974558,0.18177810387067836,0.012852673362539951,0.13089595299517182,0.01156551258871212,1.1040965355491692,0.19482950488958192,0.26646032926917373,0.005201631665577522,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.015189759791340468,0.002571449314837104,0.018652034816103124,0.0029766368187600038,0.011462416238827834,0.0038245345579170534,0.21337917381298238,0.008087897247737659,0.05934966512730298,0.0024659297503017673,1.0,0.962,0.031556132109056244,0.9,0.3077935056255462,0.08192130721003996,0.015027981547786609,0.08200241037640539,0.01507928091979837,0.03739435031845622,0.0016303024736663019
mmlu:astronomy,meta_llama_llama_3_8b,800.0,random_uniform,Bayes-MAP,0.05319132518807842,0.005616704047494829,0.06548114042905123,0.005596598689382175,0.04114167663926723,0.005491946276700195,0.3687876921427337,0.007341161398692831,0.10550004466101219,0.0038874228163577225,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,800.0,random_uniform,PE-Rasch,0.06452786695253297,0.009792452967600625,0.09184782347296105,0.011252448393421124,0.0526626537214059,0.009940590096346583,0.35352341396569986,0.03113560627826978,0.08685637169035162,0.006879715551155151,1.0,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,1600.0,random_uniform,Avg,0.09311187694044062,0.0060196358072399725,0.11645720029012918,0.008346810654239829,0.08115553364829506,0.005909954692844679,0.6999485968622438,0.023002704271061998,0.24676636504309513,0.002542510904350181,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b,1600.0,random_uniform,BayPIRE,0.014217510092343354,0.0011788937254134393,0.017455191570973347,0.0013544671872680498,0.008791741645760609,0.002001285852072683,0.18384081645244196,0.0036803559767613248,0.05305438834583953,0.001029019276320847,0.95,0.8695,0.07584436973864726,0.9,0.3077935056255462,0.05770825396164701,0.0136250631515016,0.05775446703501737,0.0136352966049714,0.021763001823246093,0.0010739334633221736
mmlu:astronomy,meta_llama_llama_3_8b,1600.0,random_uniform,Bayes-MAP,0.03785139560183048,0.0027500624341795657,0.047338481987841165,0.0032823857189809244,0.026121239732168545,0.0030544986942059415,0.287548179589926,0.0032470026990713123,0.07575779777730857,0.001521679772687713,1.0,,,,,,,,,,
