experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0310792690420604,0.0049657304736078,0.3527043672590642,0.1020182817144065,0.0243838385740552,1.0,0.99,0.2170076676931175,0.95,0.0863026328698809
balanced,200.0,Bayes-MAP,0.0744781264478082,0.0055470431917754,0.5184167389561959,0.1681884525484936,0.0484559282374126,1.0,,,,
balanced,200.0,PE-Rasch,0.1160855717032639,0.0151632692528822,0.5344788399068686,0.1418645795466435,0.0902606807180701,1.0,,,,
balanced,200.0,Avg,0.2827299949971,0.0176048165478551,4.737327057568445,0.3611300972657143,0.2603899949971,,,,,
balanced,400.0,BayPIRE,0.0271954318948295,0.0023140952123246,0.2901014260428973,0.0843782703460264,0.0196064080041216,1.0,0.9515,0.1528536530158146,1.0,0.0548508544628377
balanced,400.0,Bayes-MAP,0.0675340713180709,0.0061770694752948,0.4371143730759201,0.1331236247677574,0.0424896045132101,1.0,,,,
balanced,400.0,PE-Rasch,0.1012682546578271,0.0141322730294161,0.5650008417644041,0.1346692168525001,0.0763271307224425,1.0,,,,
balanced,400.0,Avg,0.2036249984496,0.01354127675201,1.9573778736581888,0.3033802068946875,0.1817749984496,,,,,
balanced,800.0,BayPIRE,0.02525872954854,0.0011893805137297,0.2557171340080507,0.0767821225678332,0.0156911559367056,1.0,0.9095,0.1153097887248474,1.0,0.0351877596719741
balanced,800.0,Bayes-MAP,0.0519033879360632,0.0043385608083918,0.358530128567618,0.1025593639703516,0.0285271263857012,1.0,,,,
balanced,800.0,PE-Rasch,0.0796285910470645,0.0070533175278107,0.4315775539250253,0.1093373733399877,0.0584195018257204,1.0,,,,
balanced,800.0,Avg,0.133252499885,0.0093379034197626,0.8342838737607823,0.2710798232613043,0.111517499885,,,,,
balanced,1600.0,BayPIRE,0.0233921997729654,0.0009256841958911,0.2395707545866075,0.0732074085844556,0.015202907676038,1.0,0.768,0.0726676808689567,0.9,0.0220487647605937
balanced,1600.0,Bayes-MAP,0.0381662297038854,0.0032519488269402,0.3014989000632475,0.0843976781771298,0.0171712864910811,1.0,,,,
balanced,1600.0,PE-Rasch,0.0502537339837364,0.0041971150988029,0.296638422541427,0.0864222162296954,0.0316737970579879,1.0,,,,
balanced,1600.0,Avg,0.0882925,0.0081019048280083,0.7087115429965579,0.2555883556547619,0.067035,,,,,
random,200.0,BayPIRE,0.0330276887268794,0.0079057502885798,0.4000741339774098,0.1224101179717066,0.0270393027318047,1.0,0.9915,0.2314288255049633,1.0,0.1116618561430084
random,200.0,Bayes-MAP,0.0707530619749078,0.0088835390749479,0.5362810002565794,0.1769712262462743,0.0459703662308468,1.0,,,,
random,200.0,PE-Rasch,0.1235055664110697,0.014762013851873,0.6273197154293633,0.1696943361011162,0.0968005086470925,1.0,,,,
random,200.0,Avg,0.2841867808436857,0.0198930300025204,4.671412897359709,0.3644808670906477,0.2593834475103524,,,,,
random,400.0,BayPIRE,0.0275361799291772,0.0021159403701579,0.3112834854490057,0.0921895236213639,0.019537858770409,1.0,0.973,0.1661816754876205,1.0,0.0674405860603806
random,400.0,Bayes-MAP,0.0636173022053313,0.00391956882432,0.4527867630022758,0.1406195084492698,0.0393827008107942,1.0,,,,
random,400.0,PE-Rasch,0.0993595743175545,0.0128185093851594,0.5763598844040596,0.1395611703186804,0.0766111012396411,1.0,,,,
random,400.0,Avg,0.2145276942497966,0.0148096316507975,2.637385757535672,0.3169662659527431,0.1918206704402728,,,,,
random,800.0,BayPIRE,0.0252110987362757,0.0015156126859029,0.2602285562720789,0.0779403644167669,0.0177781580272075,1.0,0.8785000000000001,0.1058111510157099,1.0,0.0389143888539361
random,800.0,Bayes-MAP,0.0531033379121176,0.0050323407714504,0.367942550073331,0.1066573291082167,0.0297241611785372,1.0,,,,
random,800.0,PE-Rasch,0.082268263038389,0.0078727646848956,0.4445854116544945,0.1128716556104128,0.0604794525903285,1.0,,,,
random,800.0,Avg,0.1420666345832768,0.0109001433167977,1.1213844341297403,0.277495755157786,0.1193252423643846,,,,,
random,1600.0,BayPIRE,0.023874019648631,0.0015853506882475,0.2384055129641438,0.0731410629173271,0.013752600369688,1.0,0.8140000000000001,0.0852474306295533,0.95,0.0233644763997146
random,1600.0,Bayes-MAP,0.0409660008785613,0.0029865184727531,0.3062239274629083,0.0861439201428741,0.0196412952220311,1.0,,,,
random,1600.0,PE-Rasch,0.0547060887289811,0.003589878114399,0.3036656459803249,0.0889780271965593,0.0349964669847273,1.0,,,,
random,1600.0,Avg,0.0933590517380439,0.0049147971256708,0.7247731546806307,0.2577337753399757,0.0717746854520812,,,,,
