benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_95_mean,cover_prompt_95_std,cover_avg_95_mean,cover_avg_95_std,mean_interval_width_95_mean,mean_interval_width_95_std,median_interval_width_95_mean,median_interval_width_95_std,avg_interval_width_95_mean,avg_interval_width_95_std
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,Avg,0.2950952772477547,0.013217926369812191,0.3259046983075421,0.016660839577047504,0.28478961687039617,0.013084822036261195,4.230671944673542,0.3795830196194449,0.31854704895349817,0.01108062278681076,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,BayPIRE,0.03766992074015591,0.01819914602949784,0.044522107870362364,0.020267535049699557,0.029496078261337023,0.017998833200084337,0.54523443421855,0.014592954975541436,0.18156846787461534,0.006951611485042039,1.0,1.0,0.0,1.0,0.0,0.4231077838675755,0.08121808375553384,0.4086316656383312,0.06804280729925202,0.11490020756371702,0.0026779243139039145
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,Bayes-MAP,0.07559223075972184,0.004312664689839224,0.08719174347825517,0.00499318366114941,0.06522278172468954,0.0040986526475988,0.5484261654359075,0.0050368123710489675,0.1837523948293282,0.0025488360083479322,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,PE-Rasch,0.17668126872015338,0.014311341999911128,0.20924315693914783,0.01817541844958884,0.1663454196635496,0.01416985422689515,0.5802806544431618,0.037282063374406926,0.17511118906480777,0.013227443936491346,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,Avg,0.18287358243847168,0.01174617683592531,0.2266072508971663,0.011688920220733867,0.1735981107403585,0.011475740967917515,1.990456254084298,0.19950706569549218,0.26354286238153257,0.005431677361675867,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,BayPIRE,0.014432585564717548,0.0027003368346868784,0.017768140997422296,0.0031066952311841283,0.010214623084571129,0.004002681114291058,0.28069006199791163,0.012652487688923911,0.07456414585672912,0.004614130011048705,1.0,1.0,0.0,1.0,0.0,0.15678028537907668,0.027000103925124246,0.15624884373593073,0.02659564063087269,0.05791722001547513,0.002109423697458553
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,Bayes-MAP,0.07064518514520125,0.004624710091659198,0.08601228602290878,0.005040115425818138,0.06107915408434086,0.004540668349605863,0.48459180944544045,0.005379243069616164,0.1567423402786181,0.0027091686584758017,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,PE-Rasch,0.08538614325197819,0.014976549574745035,0.12017100587043542,0.01775570176873837,0.07457897873567654,0.01535400810815628,0.37708386707646613,0.025301270805556213,0.09831319108864264,0.00882606023174055,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,Avg,0.13443278243698115,0.009768142555678254,0.16412602961463926,0.011396828488268134,0.12341391451245283,0.009669339578248977,0.9765714633413956,0.10609748261908174,0.2392022430600389,0.003989876925097661,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,BayPIRE,0.012167868622732928,0.0012732549327603682,0.015124942170893335,0.0013819745458497183,0.008994207831387319,0.001923394202133978,0.19999497880819858,0.006793592072543341,0.05311769231221499,0.002133752355281558,1.0,0.9800000000000001,0.017471781760734575,1.0,0.0,0.0791603725394096,0.010371956006388173,0.07908115890646884,0.010321746098509799,0.031860155946624655,0.0013541092463514501
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,Bayes-MAP,0.0598639380741377,0.005080538299537885,0.07439345918587734,0.005638657115825588,0.04851981688340336,0.005165282699938953,0.3937839799518506,0.004733116811328432,0.11755797612271172,0.0022562503368200467,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,PE-Rasch,0.06202055514107169,0.006368696739888604,0.09213240587210866,0.010273950824643545,0.051013134104735326,0.006634274574288468,0.3227460835681758,0.017546107482127073,0.07806844353900083,0.004684621719245445,1.0,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,Avg,0.08806297166522642,0.007564560978478849,0.11119965011553608,0.008158681735077541,0.07801768864635848,0.00809314521691885,0.6665512000260714,0.025235471201819543,0.22446569086630525,0.0020070751496867436,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,BayPIRE,0.011923233883148228,0.0014737365959406527,0.014773189078353672,0.0016207268028621327,0.008747562157854157,0.0021797423807184573,0.1687300729191436,0.004500027933276845,0.04657448489056554,0.0014149435261982194,0.55,0.9115,0.05392733902888999,0.85,0.36634754853252327,0.053644072029027864,0.008722588096553484,0.05365510914582864,0.00871290875332771,0.020038113691670207,0.000994157019336225
