experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0376699207401559,0.0181991460294978,0.54523443421855,0.1815684678746153,0.029496078261337,1.0,1.0,0.4231077838675755,1.0,0.114900207563717
balanced,200.0,Bayes-MAP,0.0755922307597218,0.0043126646898392,0.5484261654359075,0.1837523948293282,0.0652227817246895,1.0,,,,
balanced,200.0,PE-Rasch,0.1766812687201533,0.0143113419999111,0.5802806544431618,0.1751111890648077,0.1663454196635496,1.0,,,,
balanced,200.0,Avg,0.2950952772477547,0.0132179263698121,4.230671944673542,0.3185470489534981,0.2847896168703961,,,,,
balanced,400.0,BayPIRE,0.0144325855647175,0.0027003368346868,0.2806900619979116,0.0745641458567291,0.0102146230845711,1.0,1.0,0.1567802853790766,1.0,0.0579172200154751
balanced,400.0,Bayes-MAP,0.0706451851452012,0.0046247100916591,0.4845918094454404,0.1567423402786181,0.0610791540843408,1.0,,,,
balanced,400.0,PE-Rasch,0.0853861432519781,0.014976549574745,0.3770838670764661,0.0983131910886426,0.0745789787356765,1.0,,,,
balanced,400.0,Avg,0.1828735824384716,0.0117461768359253,1.990456254084298,0.2635428623815325,0.1735981107403585,,,,,
balanced,800.0,BayPIRE,0.0121678686227329,0.0012732549327603,0.1999949788081985,0.0531176923122149,0.0089942078313873,1.0,0.98,0.0791603725394096,1.0,0.0318601559466246
balanced,800.0,Bayes-MAP,0.0598639380741377,0.0050805382995378,0.3937839799518506,0.1175579761227117,0.0485198168834033,1.0,,,,
balanced,800.0,PE-Rasch,0.0620205551410716,0.0063686967398886,0.3227460835681758,0.0780684435390008,0.0510131341047353,1.0,,,,
balanced,800.0,Avg,0.1344327824369811,0.0097681425556782,0.9765714633413956,0.2392022430600389,0.1234139145124528,,,,,
balanced,1600.0,BayPIRE,0.0119232338831482,0.0014737365959406,0.1687300729191436,0.0465744848905655,0.0087475621578541,0.55,0.9115,0.0536440720290278,0.85,0.0200381136916702
balanced,1600.0,Bayes-MAP,0.0398267255543785,0.0027911296990003,0.303900743428153,0.0813479707763759,0.0297603548343164,1.0,,,,
balanced,1600.0,PE-Rasch,0.0440895177935537,0.0035686542760383,0.2422612950960684,0.0611194036006668,0.034498540470965,1.0,,,,
balanced,1600.0,Avg,0.0880629716652264,0.0075645609784788,0.6665512000260714,0.2244656908663052,0.0780176886463584,,,,,
random,200.0,BayPIRE,0.0266651525178079,0.0143370558836891,0.4543505211022742,0.1438821021175919,0.0227852204974978,1.0,1.0,0.2563234806620035,0.95,0.1190727369225244
random,200.0,Bayes-MAP,0.0624496281454301,0.0079578964291186,0.5523863016596365,0.1848444323221794,0.051870233957652,1.0,,,,
random,200.0,PE-Rasch,0.161993437403257,0.0165578438397367,0.6074373357042613,0.1898322491188815,0.1516747967598045,1.0,,,,
random,200.0,Avg,0.2585925151185956,0.0209859862850455,4.001948823139914,0.3164353011781629,0.2479352824141931,,,,,
random,400.0,BayPIRE,0.0178324247553135,0.0056640556771827,0.3365564021728807,0.0993017850890085,0.0151169334627349,1.0,0.9995,0.1541662022812232,1.0,0.0763297668807431
random,400.0,Bayes-MAP,0.0652948842932025,0.004200708270701,0.4967918933422768,0.1611675160080624,0.0549443993259267,1.0,,,,
random,400.0,PE-Rasch,0.1154858707127673,0.0101174255584701,0.4915166940757105,0.1384341367048445,0.1049665438392805,1.0,,,,
random,400.0,Avg,0.2084242599999847,0.0106609542162471,2.564721156537211,0.2813306206793161,0.1984514814734798,,,,,
random,800.0,BayPIRE,0.0135409684773431,0.0025681230378885,0.2295268215129081,0.0630924333133421,0.0108575885771065,1.0,0.9795,0.0861538699540194,1.0,0.0419462948019104
random,800.0,Bayes-MAP,0.0547535154433102,0.0037271589159503,0.4085484786621648,0.1237932119361477,0.0442109458855221,1.0,,,,
random,800.0,PE-Rasch,0.0711302520515878,0.007110814579906,0.3659955692437108,0.0915982963618546,0.0609645289728157,1.0,,,,
random,800.0,Avg,0.1335864223111384,0.010859950294601,1.0736321833928293,0.2408267139242205,0.1235292141382532,,,,,
random,1600.0,BayPIRE,0.0116952002808703,0.0009622466843922,0.1743529108416061,0.0483315514964975,0.0086645782754626,0.95,0.922,0.0538428205503695,1.0,0.0230342176901023
random,1600.0,Bayes-MAP,0.0421183631502829,0.003626909181583,0.3177327227607024,0.0875731155866697,0.0315820049050445,1.0,,,,
random,1600.0,PE-Rasch,0.0458415358767655,0.0031488247052711,0.2461241807205524,0.0632908987061994,0.0356433954545949,1.0,,,,
random,1600.0,Avg,0.0924954926423246,0.0057270679055192,0.6874683044152103,0.2252748174813746,0.0820779777053817,,,,,
