benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_95,mean_interval_width_95,median_interval_width_95,cover_avg_95,avg_interval_width_95
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,265,200,26500,0.238442447861132,0.30453207778553315,0.22847641012528297,3.792793148837349,0.30456252000456274,0.35812286429801077,0.12333333333333338,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,265,200,26500,0.15330983680876945,0.19489068180749272,0.14390109006388674,0.6004857058537219,0.18657750372094928,0.022865310417687305,0.000777855204533982,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,265,200,26500,0.06398138898263402,0.07427168322130262,0.05560116067308372,0.5525584688988885,0.1856407332002005,0.35729740221537637,0.10131987854004543,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,90.15321542868831,0.012546903608074478,1.031635998768247,0.331303181357134,0.3169519348366053,366.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,265,200,26500,0.02748916018101372,0.031025704848469837,0.027053320526487873,0.45490776030348695,0.14542624578805236,0.21625447844329984,0.046992280708864055,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1573.0,0.0,1000.0,1000.0,4.0,0.97,2.04,0.404,2.816,1.0,0.22824037666937513,0.22823405249422685,1.0,0.11073634005900879
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,265,200,26500,0.2551559699771069,0.32325431440163943,0.2410521963922012,3.9328156461629753,0.31643208207494716,0.34334267078594316,0.11983333333333338,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,265,200,26500,0.17347854659933007,0.21649073786453757,0.1607095768309956,0.6362434625682694,0.19740108305083112,0.020992684903817223,0.0006281980619100743,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,265,200,26500,0.061702128568735935,0.0798940828942028,0.04787654586627642,0.5532866532584272,0.18533302726879022,0.35475005271771776,0.09883247527986218,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,90.80237691075584,0.0016392243624052082,0.8952971572782604,0.352731186737058,0.32208613923566465,366.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,265,200,26500,0.015054748128603457,0.019507014395195407,0.006333283865422205,0.4484054994406275,0.14120524520500125,0.20198875089573712,0.0410288270636367,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1486.0,0.0,1000.0,1000.0,4.0,0.97,1.821,0.458,3.031,1.0,0.2520175709933063,0.251330981271242,1.0,0.11900895148164614
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,265,200,26500,0.22857389500201253,0.2929431737410917,0.21591729122842762,3.377282532923416,0.2975445906389522,0.36959460285083623,0.12875000000000003,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,265,200,26500,0.18719489874759293,0.22158849453701218,0.17530539164753456,0.7025456643177537,0.2147280679276745,0.025607831817428282,0.0010566734763222813,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,2,random_uniform,Bayes-MAP,100,265,200,26500,0.06084763461409052,0.07419427970507893,0.049665968380347536,0.5622163426026822,0.1894144571483827,0.36473574397086383,0.10359818946661417,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,91.75424784769908,0.007760120763326083,0.9502091993781338,0.3461120362219649,0.3123386696773229,366.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,2,random_uniform,BayPIRE,100,265,200,26500,0.01602256081666637,0.019345020792718742,0.003569702200156428,0.49163276608737766,0.1595538184755028,0.27453119071719945,0.06890565562651838,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1192.0,0.0,1000.0,1000.0,4.0,0.97,1.579,0.468,2.317,1.0,0.29078380613185656,0.29082924948614164,1.0,0.12460449535406126
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,3,random_uniform,Avg,100,265,200,26500,0.23721266379606465,0.3220936871717683,0.22495606002247975,3.9449016100678818,0.3156769250785667,0.3474568144611957,0.11989285714285719,0.007547169811320755,0.78,0.5056603773584906,False,0,7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,3,random_uniform,PE-Rasch,100,265,200,26500,0.16842071928142555,0.21608125481028445,0.1570906232305835,0.6342229378421641,0.19740353660758997,0.022588328261121032,0.0008123459171663265,0.007547169811320755,0.78,0.5056603773584906,False,0,7,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,3,random_uniform,Bayes-MAP,100,265,200,26500,0.05754143087224997,0.07296075312742961,0.04491518190991178,0.5522050420734879,0.18499808965209638,0.3598933646746012,0.10242817940018994,0.007547169811320755,0.78,0.5056603773584906,False,0,7,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,90.6250521202547,0.001643834027790226,0.8982773394113516,0.34026239225925947,0.3127994765475868,366.0,1.0,1.0,,,,,,,,,,,,,,,
