experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0234569288269657,0.0043420620315793,0.3055172917167769,0.0832831457532916,0.0161468394624418,1.0,1.0,0.2427836392685855,1.0,0.0887154899413586
balanced,200.0,Bayes-MAP,0.0656359869454947,0.0044880472865405,0.4634189160246096,0.1489603659892689,0.0477384260114451,1.0,,,,
balanced,200.0,PE-Rasch,0.1112322363985672,0.0144420195063035,0.370883486284486,0.103330125351786,0.0933974038097684,1.0,,,,
balanced,200.0,Avg,0.2827013828440278,0.0110052035781549,3.8384223644193094,0.2905633764054225,0.26523610506625,,,,,
balanced,400.0,BayPIRE,0.0200517303849559,0.0013380419627344,0.2055615867876348,0.0539002722408679,0.0166370685327145,1.0,0.973,0.1103282531517003,1.0,0.0485572331063008
balanced,400.0,Bayes-MAP,0.0561977743721302,0.0043862182817036,0.3845699800581706,0.1161060324483306,0.0385241033807145,1.0,,,,
balanced,400.0,PE-Rasch,0.0605731428206755,0.0094638052321589,0.3035064780124799,0.0766111685824325,0.0417845815469161,1.0,,,,
balanced,400.0,Avg,0.1643472193395833,0.0135272431471373,1.9558934387173008,0.2422080340877857,0.1471111082284722,,,,,
balanced,800.0,BayPIRE,0.0187450309263134,0.0005531908654363,0.1665707452532122,0.0451911806070144,0.0154737514726149,1.0,0.873,0.0699228332323501,1.0,0.0291700273989333
balanced,800.0,Bayes-MAP,0.0451102652874062,0.0029085661651002,0.3008886174944437,0.0825905483690221,0.0268328468874075,1.0,,,,
balanced,800.0,PE-Rasch,0.0514959048626277,0.00448020552759,0.2663578524552288,0.0648366908561276,0.0343887486984848,1.0,,,,
balanced,800.0,Avg,0.1214583326013888,0.0082518555088622,0.9714147123795036,0.2186622238388235,0.1036944437125,,,,,
balanced,1600.0,BayPIRE,0.0175394193127318,0.000735989429505,0.1482162438735,0.0419502608945407,0.013843214306268,1.0,0.7545,0.0510826914295486,0.95,0.0182917581715537
balanced,1600.0,Bayes-MAP,0.0310998280452095,0.002686378730695,0.2338839442816483,0.0592088181533307,0.0144094311122773,1.0,,,,
balanced,1600.0,PE-Rasch,0.0392254420896238,0.0021485592067482,0.2018456424970637,0.0537576229092554,0.0240848546840635,1.0,,,,
balanced,1600.0,Avg,0.0814965277466666,0.0063562474254644,0.6263934022476222,0.20554931638625,0.0644131944133333,,,,,
random,200.0,BayPIRE,0.0288775956696571,0.0118691029895101,0.3458504241948737,0.1019619596905599,0.0256864952865304,1.0,0.993,0.1995523345295779,0.95,0.1048917410196519
random,200.0,Bayes-MAP,0.0583144679170253,0.0097877752135114,0.4756997815637181,0.1529383403046244,0.0421632172123772,1.0,,,,
random,200.0,PE-Rasch,0.1153652364803958,0.0156166279097796,0.4524372016053232,0.1320278161887157,0.0963308860675653,1.0,,,,
random,200.0,Avg,0.2511017405105308,0.0124757443993634,3.879652352493389,0.295023778457381,0.2333145182883086,,,,,
random,400.0,BayPIRE,0.0216230181117652,0.0025806170953515,0.242225654271244,0.0666326219457391,0.0177695090806104,1.0,0.977,0.1251231509286371,1.0,0.0621319553206644
random,400.0,Bayes-MAP,0.0576067657934277,0.005652702119005,0.4048972151605945,0.1249337380633391,0.0404888987032707,1.0,,,,
random,400.0,PE-Rasch,0.0781870492165685,0.0160897925550703,0.3716618852427987,0.096903659969542,0.0598229954210734,1.0,,,,
random,400.0,Avg,0.1979882251082287,0.0107789892330273,2.5101598487788146,0.2571677164631646,0.1797760425685461,,,,,
random,800.0,BayPIRE,0.0192152816501051,0.0013381732424879,0.1751225920185637,0.0474319691127071,0.0153038830499103,1.0,0.905,0.0814846280781206,0.95,0.0348686051275741
random,800.0,Bayes-MAP,0.0458576902096131,0.0027183689234547,0.3136303415421174,0.0880500717390505,0.0282996455581871,1.0,,,,
random,800.0,PE-Rasch,0.0585889359936394,0.0067503977752448,0.2903925810726712,0.0714465024468644,0.042228082373212,1.0,,,,
random,800.0,Avg,0.1313621751166767,0.0092535172095248,1.1683000180847176,0.2232829529700352,0.113746672344595,,,,,
random,1600.0,BayPIRE,0.0173900538704143,0.0009917789593297,0.1509876939541058,0.0426537844211637,0.0129478153778755,0.95,0.7945,0.0577632569229396,1.0,0.0196638402500422
random,1600.0,Bayes-MAP,0.0321712258244917,0.0030671183997756,0.2410869696258304,0.0622316699418643,0.0164330924618328,1.0,,,,
random,1600.0,PE-Rasch,0.038477080070582,0.0031912778507368,0.2082165600022902,0.0544674704724475,0.023668554339215,1.0,,,,
random,1600.0,Avg,0.0853473310987071,0.0083343491708505,0.6700734404044744,0.2070015280224379,0.0676889339882721,,,,,
