benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_95,mean_interval_width_95,median_interval_width_95,cover_avg_95,avg_interval_width_95
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.26489999539400005,0.3316398584333917,0.24409999539400007,4.489465239449699,0.3562755057285715,0.367368010396771,0.13250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1122301485969021,0.14265326134079975,0.08553815614973331,0.46589516970679984,0.12888008428912895,0.023183576309175054,0.0008391035978429481,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07053351092878866,0.08548279408261131,0.047367890654125666,0.5093145139084397,0.1631345363113667,0.3841492695188509,0.10462003361714606,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,99.40017246466616,0.0013576396536910751,-0.2958976805233653,0.36470124975645063,0.5682948441486719,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.030488728151684207,0.03815726699578708,0.02502723288934669,0.32539498680833034,0.09127009266383619,0.21527426088178386,0.04721749233715598,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1811.0,0.0,1000.0,1000.0,4.0,0.97,-0.63,0.39,3.268,0.99,0.20936753973011424,0.20890719754839826,1.0,0.0888704619364114
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.289499994806,0.35592835666802397,0.26409999480600005,5.043729041072283,0.3736224438571429,0.3257791801631743,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.13794608268988384,0.17672215702947155,0.10283090945407428,0.5589999008415681,0.1532399895664867,0.022882177723876792,0.0008675683568135635,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07971362776839938,0.09661827257625422,0.04693910981774597,0.5223853476162827,0.16997605054099404,0.3768490670435233,0.10208714568661734,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,97.92764492792669,0.0019857468478832285,-0.3895200014186995,0.39013757439594127,0.5509141865876707,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.02872936849738271,0.03589249045377254,0.018658864575652308,0.34202212802635296,0.09749784526824444,0.2317970172924012,0.05302645177590763,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1022.0,0.0,1000.0,1000.0,4.0,0.97,-0.792,0.428,3.06,1.0,0.24250224461860526,0.24228182028978337,1.0,0.08792909051202324
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.287499994904,0.35395620513961906,0.26109999490400004,4.977353722104001,0.37214285210000003,0.33271065186877374,0.12000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.11305757149077186,0.1589578752706956,0.08240381564778552,0.5806076590830529,0.14436923029000687,0.02241011569030868,0.0009992979189041306,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07759910048503371,0.09502626896757194,0.045149853601885045,0.5173943299984867,0.16717201814275753,0.3690344544080403,0.09829972213023032,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,97.02881012163054,0.0024549098800118858,-0.3695058665937404,0.38000877392970683,0.5698447271360879,201.0,1.0,1.0,,,,,,,,,,,,,,,
