experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0294437029350042,0.0019631763339724,0.3354166573162788,0.0949281755079236,0.0221291709878669,1.0,0.9975,0.2159111398749865,1.0,0.0868193834659091
balanced,200.0,Bayes-MAP,0.0741644031596163,0.0045586168021829,0.5160766136084151,0.1667549670367112,0.0450810233946283,1.0,,,,
balanced,200.0,PE-Rasch,0.1183288943731245,0.0111262874463312,0.5122344941156093,0.1376276358843013,0.0891793821808556,1.0,,,,
balanced,200.0,Avg,0.2764899950902,0.0190507876082335,4.756881618879672,0.3642091788842857,0.2525399950902,,,,,
balanced,400.0,BayPIRE,0.0295514466486223,0.0024335671611886,0.2740017212672565,0.0792859052052853,0.023279485088328,1.0,0.9265,0.1382887083632722,0.9,0.0534671017896407
balanced,400.0,Bayes-MAP,0.0680155271932412,0.0066460342577807,0.4306900592946479,0.1295618477959639,0.0396928096270096,1.0,,,,
balanced,400.0,PE-Rasch,0.092214267311651,0.0134469042920718,0.5101683872852358,0.1226730423836025,0.0648545374536037,1.0,,,,
balanced,400.0,Avg,0.2045799986992,0.0156063277207287,1.799240424481128,0.3061354154353125,0.1797899986992,,,,,
balanced,800.0,BayPIRE,0.0263546860085799,0.0014626088774261,0.2385255656094475,0.0707027648985661,0.0192904444920621,1.0,0.8779999999999999,0.1035485878818617,0.9,0.0341488247908242
balanced,800.0,Bayes-MAP,0.0503177532566167,0.0043276291635109,0.3475036154771837,0.0972896025214467,0.0259327544493989,1.0,,,,
balanced,800.0,PE-Rasch,0.0742974207729095,0.0057570684647172,0.4014248291783014,0.101332946669331,0.0527243838144003,1.0,,,,
balanced,800.0,Avg,0.134827499885,0.0116959110340154,0.8419718195844288,0.2749541439146739,0.113817499885,,,,,
balanced,1600.0,BayPIRE,0.0241173737255768,0.0016551480227086,0.2186119950736782,0.0665658023935515,0.0143555398618977,1.0,0.8035,0.0837697375638028,0.95,0.0215980380603936
balanced,1600.0,Bayes-MAP,0.0376460396932166,0.0028311541760615,0.287927945163268,0.0786108140521953,0.0156782104151409,1.0,,,,
balanced,1600.0,PE-Rasch,0.0503667804035741,0.003140415675602,0.2757434002396086,0.0805696016812946,0.0308732833872606,1.0,,,,
balanced,1600.0,Avg,0.08967625,0.0063567487707326,0.7152130768387948,0.2588750930059523,0.06666375,,,,,
random,200.0,BayPIRE,0.031691874478417,0.0038464115054055,0.3834924891661743,0.1158616687304735,0.0252619081428095,1.0,0.9965,0.2306013971549262,1.0,0.1109702403006078
random,200.0,Bayes-MAP,0.0682638515162695,0.0046452534106874,0.5319957778674458,0.1747161948923882,0.0419574260875304,1.0,,,,
random,200.0,PE-Rasch,0.1165096496542989,0.0142235209089797,0.5769190903690481,0.1596202568087047,0.0887327970980307,1.0,,,,
random,200.0,Avg,0.2809771381477429,0.0155532102666508,4.6271768610959665,0.3661778176999141,0.2546507095763143,,,,,
random,400.0,BayPIRE,0.0290710766553555,0.0021180557807854,0.2884027328725479,0.0840825689201277,0.0233447897141503,1.0,0.9375,0.1402590069853381,1.0,0.0654399773394801
random,400.0,Bayes-MAP,0.0631931423539255,0.0053373660378191,0.4445890214248112,0.1363951553167308,0.0365713069685808,1.0,,,,
random,400.0,PE-Rasch,0.0970576059324878,0.0101564994665227,0.5285181338197594,0.1300940725088628,0.0704757074032442,1.0,,,,
random,400.0,Avg,0.217742322743525,0.0173082102663405,2.655470347698188,0.3219126981149749,0.1924826005213028,,,,,
random,800.0,BayPIRE,0.0272069589291831,0.0015134296336606,0.2418384641907113,0.0712054157230671,0.0200611105501351,1.0,0.8550000000000001,0.1020924482286713,0.95,0.0377257267954372
random,800.0,Bayes-MAP,0.0528276970888974,0.0046889677010565,0.3576392651670858,0.1014313179281496,0.0272630090445914,1.0,,,,
random,800.0,PE-Rasch,0.0762434525558837,0.0075712372621739,0.4013897016512288,0.1022604776926704,0.0526788630557229,1.0,,,,
random,800.0,Avg,0.1417458905921317,0.0094957210008349,1.0936467435639925,0.2801595732525098,0.1172370071716306,,,,,
random,1600.0,BayPIRE,0.0247706911274752,0.0010529123904056,0.2204343170801355,0.0669859469326415,0.0169036808642728,1.0,0.738,0.0724016065503029,0.95,0.0224087456037214
random,1600.0,Bayes-MAP,0.0382260113037996,0.0027821037979295,0.2917966567946704,0.0799732432458122,0.0149143084988712,1.0,,,,
random,1600.0,PE-Rasch,0.0512394280235335,0.0041085280025661,0.2810558197560713,0.0817445675131206,0.0304724846118733,1.0,,,,
random,1600.0,Avg,0.0927078005707897,0.006670022496964,0.7250090717487175,0.2609248842520059,0.0694978064791662,,,,,
