benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_95,mean_interval_width_95,median_interval_width_95,cover_avg_95,avg_interval_width_95
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,100,200,10000,0.2709333289003334,0.33667887149900977,0.2420333289003334,4.359551634668634,0.3594874106639456,0.41297194862905257,0.14350000000000004,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.12001905730824364,0.15046226920899422,0.09087972738385114,0.5922606691546926,0.1668171932461942,0.024349686133989287,0.0012994071342431557,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06609231591065647,0.07895369701032731,0.04106333970612901,0.5373774207633895,0.17721611492113834,0.3496611893357969,0.09217545397287999,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,92.75079448408239,0.0010200384647935927,-0.46245742100750675,0.32551631073138537,0.5958356090906972,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.0330198707786915,0.04092187163667387,0.028991943638953997,0.40091141646625317,0.12291338982117535,0.19424138942570696,0.04392548451902195,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1740.0,0.0,1000.0,1000.0,4.0,0.97,-1.097,0.413,3.377,1.0,0.22199397615874042,0.2224910351724014,1.0,0.11710127317704921
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,100,200,10000,0.2533833293003333,0.32037239031605436,0.22318332930033333,4.002142363079758,0.34837258681723354,0.432323955696441,0.1524166666666667,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.1340973569844416,0.17536665286606945,0.1014094484739565,0.6981728859864001,0.18895054084926047,0.02947476460171423,0.002044257937170869,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06548459758995467,0.08161905825747542,0.032237171410940305,0.5366144401619314,0.17671259435016465,0.36955921587832136,0.10021953735389345,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.03249006325652,0.0005325597268170833,-0.4034857607904646,0.32424704389426506,0.5845901212058795,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.03077047766627683,0.03696091434005757,0.02310200185535937,0.398960083255156,0.12293696358830572,0.22642660970022938,0.054957811131094846,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1644.0,0.0,1000.0,1000.0,4.0,0.97,-0.926,0.4,3.178,1.0,0.22879607703983132,0.22940993734948484,1.0,0.11465970291512034
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,100,200,10000,0.27471666194466665,0.3329700873426221,0.24861666194466667,4.450624224034095,0.3571028016959183,0.388554517365897,0.1361666666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10494302743491804,0.13813641613193212,0.07466296262572683,0.5077919941949116,0.14035449680141954,0.034650966167972745,0.005824389745565794,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.08105655557763025,0.09453768763491621,0.061776183938404866,0.5399311649293158,0.1795926108329457,0.35160915770080126,0.09485729469529494,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,91.99255290033734,0.0074858476766067605,-0.615288156727784,0.3244209841005544,0.5766657400500487,201.0,1.0,1.0,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.03485848801349619,0.04220354650572305,0.030491774822355523,0.3785302112135321,0.11226156308667168,0.19504828149111744,0.04345469671857936,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2187.0,0.0,1000.0,1000.0,4.0,0.97,-1.092,0.369,3.282,1.0,0.20847185644711919,0.20916073294481916,1.0,0.1095722191526014
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,3,random_uniform,Avg,100,100,200,10000,0.294399994974,0.35851731040953483,0.26979999497400003,4.92778053795491,0.3750744848244898,0.39762061201132587,0.13883333333333336,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.12653553102886825,0.16812884508866668,0.09313107137596131,0.5947406773023246,0.1673517414590563,0.027037422241040263,0.0017106247686720394,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.0694184756518246,0.08337972641568471,0.04236134436973196,0.5381089445381555,0.17820166318514624,0.3629601502758906,0.09857705400042327,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,94.32912090748914,0.006069372384776345,-0.5054458431069145,0.32451179304192007,0.5777761188974285,201.0,1.0,1.0,,,,,,,,,,,,,,,
