experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_95_mean,mean_interval_width_95_mean,cover_avg_95_mean,avg_interval_width_95_mean
balanced,200.0,BayPIRE,0.0261751656010163,0.0040101375661381,0.3589657055750455,0.1035310012144065,0.0182965724451462,1.0,0.9965,0.236277287384412,1.0,0.088774223098905
balanced,200.0,Bayes-MAP,0.0743998125668702,0.006301221047876,0.5331787966936521,0.1737549409728707,0.052103438619415,1.0,,,,
balanced,200.0,PE-Rasch,0.1260351073319189,0.0185384292632357,0.5585622700060202,0.1496158182373474,0.1045917088978166,1.0,,,,
balanced,200.0,Avg,0.2568899951343,0.0271213621647816,4.969583015893972,0.3767117296771429,0.2346599951343,,,,,
balanced,400.0,BayPIRE,0.0251891322750497,0.0037627103180479,0.2970410650903162,0.0860755140870143,0.0177905584384006,1.0,0.9575,0.1428840483326754,0.95,0.0550977168932555
balanced,400.0,Bayes-MAP,0.0671989846614453,0.0064663501595598,0.4467363813156901,0.1354915470725185,0.0435705374038755,1.0,,,,
balanced,400.0,PE-Rasch,0.0967628222033419,0.0103480305191812,0.5708773312574636,0.1339314104903239,0.0737418743939485,1.0,,,,
balanced,400.0,Avg,0.1866449989056,0.0186566049292445,1.7735438947819735,0.3128958321555208,0.1624449989056,,,,,
balanced,800.0,BayPIRE,0.0227449091989643,0.0013790131848586,0.2663109008977543,0.0789959902727476,0.014211846211437,1.0,0.9095,0.1069521018018132,1.0,0.0359278436996467
balanced,800.0,Bayes-MAP,0.0540184577271108,0.0055605297399013,0.369919910932128,0.1055989773490064,0.0328051446696198,1.0,,,,
balanced,800.0,PE-Rasch,0.0809419971035956,0.0067916105701763,0.4354139311321162,0.1102603380632649,0.0616145281268944,1.0,,,,
balanced,800.0,Avg,0.1335399999816,0.0122470468995484,0.7840713458210945,0.28152513585,0.1108399999815999,,,,,
balanced,1600.0,BayPIRE,0.0213941373529543,0.0014728333366057,0.2471006446265307,0.0751842728351234,0.0122807138857867,1.0,0.8039999999999999,0.0750435000218625,0.9,0.0222412640078322
balanced,1600.0,Bayes-MAP,0.039377385648572,0.0031582665982499,0.3121824130715936,0.0871045881411005,0.0213050917093155,1.0,,,,
balanced,1600.0,PE-Rasch,0.0513645351202776,0.0044608809337621,0.3071465378843693,0.0896156015805757,0.0344000733509968,1.0,,,,
balanced,1600.0,Avg,0.09250625,0.0070563235684477,0.7316272164567762,0.2676219308035714,0.0732887499999999,,,,,
random,200.0,BayPIRE,0.0330273766433706,0.0104471590626404,0.4110584437604543,0.1263535783040377,0.0275006250014853,1.0,0.9905,0.2370584259338438,0.95,0.1142824568992855
random,200.0,Bayes-MAP,0.0724521169052167,0.0082112845457428,0.5514096251159564,0.1828610464929238,0.0522228258028243,1.0,,,,
random,200.0,PE-Rasch,0.1246001151817692,0.0121504924902021,0.6254687606982603,0.1707308272613022,0.1020074326570316,1.0,,,,
random,200.0,Avg,0.2827160667770714,0.0176874915447219,4.802419342094619,0.3795999857436659,0.2597860667770714,,,,,
random,400.0,BayPIRE,0.0251241968427829,0.0033309980154997,0.3192661724971486,0.0937053390659537,0.0168310506245946,1.0,0.9715,0.1672542895690697,1.0,0.0674455855150767
random,400.0,Bayes-MAP,0.0682092955474808,0.0059402632586885,0.4664340299040426,0.1449842204543947,0.0458273151671924,1.0,,,,
random,400.0,PE-Rasch,0.105193520672187,0.0156886693438278,0.5974265165003425,0.1437456964978044,0.0828844504882681,1.0,,,,
random,400.0,Avg,0.2253507029636053,0.0159237636445827,2.835840188603458,0.3361428419846953,0.2022912585191608,,,,,
random,800.0,BayPIRE,0.0232720434749262,0.0026869328211675,0.2693037588688211,0.0794135603719451,0.0161943723703273,1.0,0.9075,0.1048135533748699,0.85,0.0390692616000408
random,800.0,Bayes-MAP,0.0545421733342942,0.004892798250724,0.3790543202332689,0.1093772800246217,0.0341715472545135,1.0,,,,
random,800.0,PE-Rasch,0.0797406367083887,0.0077915873247078,0.4343058424582662,0.1107355912107714,0.060655188990499,1.0,,,,
random,800.0,Avg,0.1473836488167368,0.0099579431713732,1.0465887113616912,0.2894090649292588,0.1264293508924389,,,,,
random,1600.0,BayPIRE,0.0211688152925484,0.0017835111310874,0.2464459902696407,0.0746498541968188,0.012466552901288,1.0,0.7925,0.0724513656635576,0.9,0.0234373537506735
random,1600.0,Bayes-MAP,0.0407834091616476,0.0034940240522383,0.3152840686372055,0.0880951510561463,0.0215313146643844,1.0,,,,
random,1600.0,PE-Rasch,0.0536164977019855,0.0045046968410448,0.3062167089116451,0.0895936066537708,0.0357540513121737,1.0,,,,
random,1600.0,Avg,0.094898615724288,0.0092665723298285,0.7394521300177908,0.2687078722729681,0.0745539813039529,,,,,
