experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0275764600103988,0.0040248947371599,0.3710970046877145,0.1109392761532831,0.0211406265979344,1.0,0.997,0.2083370154855726,1.0,0.0841045506293256,0.998,0.2353574999999998,1.0,0.0853209999999999
balanced,200.0,Bayes-MAP,0.064395456104638,0.0032316627802608,0.480991732811235,0.1551633119118649,0.041678985036037,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1003581939672525,0.0100317584284276,0.5631551192348796,0.1449295888716339,0.0769624647741469,1.0,,,,,,,,
balanced,200.0,Avg,0.2822599943748,0.0044430218574479,3.909305484723664,0.3026938736271429,0.2607999943748,,,,,,,,,
balanced,400.0,BayPIRE,0.0273827015765508,0.0027370480189181,0.3298442778922918,0.0997237004649668,0.0167977968841839,1.0,0.983,0.1823608186972722,1.0,0.0576636657853833,1.0,0.2111529999999999,1.0,0.0588867499999999
balanced,400.0,Bayes-MAP,0.0641598905952916,0.0033322028131765,0.4296453436826323,0.1341774913012761,0.039605168090602,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1074228468835407,0.0071837852745219,0.69068721988489,0.1567184011065649,0.0840272257724854,1.0,,,,,,,,
balanced,400.0,Avg,0.1825199972736,0.0103961317299815,2.083884637719754,0.260473956600625,0.1607999972736,,,,,,,,,
balanced,800.0,BayPIRE,0.0248450147534721,0.0015922541645049,0.2986486926350492,0.0915568001595721,0.0148562880475995,1.0,0.912,0.1154630151152702,1.0,0.0371315184758267,0.991,0.1555334999999999,1.0,0.0386942499999999
balanced,800.0,Bayes-MAP,0.0514878872975758,0.0033300179629921,0.3675245819817984,0.1103632634503395,0.0276281534488259,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0854068525062868,0.0053060497772711,0.4968731841615919,0.1250860104349583,0.0637268490287518,1.0,,,,,,,,
balanced,800.0,Avg,0.1211999994296,0.0083647739233924,0.9539347331899805,0.2297540757156521,0.1008999994296,,,,,,,,,
balanced,1600.0,BayPIRE,0.0227968509976379,0.0016962282953452,0.2770180843827868,0.0861175506827252,0.0141032898281719,1.0,0.78,0.0738591591599706,1.0,0.0239873065677711,0.982,0.1245667499999999,1.0,0.0261329999999999
balanced,1600.0,Bayes-MAP,0.0389736512858224,0.0027057564473765,0.3218419373619899,0.0953969324609479,0.0185946874316802,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0547141053371317,0.0040996839236344,0.3364847531280769,0.1007238317029638,0.0354930940353033,1.0,,,,,,,,
balanced,1600.0,Avg,0.0808974999748,0.0073359886207195,0.6498392592208777,0.2172416294445238,0.0626224999748,,,,,,,,,
random,200.0,BayPIRE,0.0380005081295324,0.0151440113816186,0.4061653450158816,0.1253991099485981,0.0319220228175401,1.0,0.99,0.2494117524249889,0.8,0.1086119086461108,0.997,0.2747849999999999,0.9,0.1096137499999999
random,200.0,Bayes-MAP,0.0646063829858702,0.0077706227864069,0.4957124547569237,0.1604761453441351,0.0415408175736168,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1304415325391303,0.0215990353152514,0.6923517235104651,0.1819200479344506,0.1057220889942417,1.0,,,,,,,,
random,200.0,Avg,0.2644216614577667,0.0153068773505494,4.127592183473908,0.3169824363314966,0.2408649947911,,,,,,,,,
random,400.0,BayPIRE,0.0281090097875092,0.0062056240395076,0.3450571475479166,0.1044785294934714,0.0188789221080992,1.0,0.965,0.1791475511228343,0.9,0.0674836878666487,0.993,0.2112299999999999,0.9,0.0685474999999999
random,400.0,Bayes-MAP,0.0602043529903014,0.0063254276285011,0.4387724540332815,0.1381925583461109,0.0368434358288563,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1102050223286024,0.0152409470146022,0.6679921875670397,0.1568817002339572,0.088915396242928,1.0,,,,,,,,
random,400.0,Avg,0.2016149750309783,0.0115576922448399,2.5774578585848524,0.2714646453074062,0.1792064036024069,,,,,,,,,
random,800.0,BayPIRE,0.0260099644922212,0.0030165597840476,0.3051578843802256,0.0934093649919903,0.0170156484475276,1.0,0.922,0.1241062192442008,0.9,0.0403966636180777,0.993,0.1627119999999999,1.0,0.04179425
random,800.0,Bayes-MAP,0.053205626363694,0.0031835483829428,0.3767452282426057,0.114213606896105,0.0301499792866005,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0877681259657401,0.006091578380049,0.5095564114258128,0.1285160919656497,0.0670913943738529,1.0,,,,,,,,
random,800.0,Avg,0.1331737481122076,0.010492232551725,1.2019885438342992,0.2369755519333531,0.1107532019916615,,,,,,,,,
random,1600.0,BayPIRE,0.0227116966338511,0.0008828389393296,0.2778816334382434,0.0860259728209982,0.0143383608406829,1.0,0.766,0.0705556477509779,1.0,0.0248635655033236,0.981,0.1227934999999999,1.0,0.0269824999999999
random,1600.0,Bayes-MAP,0.0407809948031013,0.0041257793952674,0.3239967476729192,0.0960137210233709,0.018513946842001,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0551364241948251,0.0062406069833769,0.3402604258354808,0.10081211122975,0.0357752288032732,1.0,,,,,,,,
random,1600.0,Avg,0.0857827025285736,0.0070455883667323,0.6761736599022197,0.2191502907168034,0.0633152905201675,,,,,,,,,
