benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,Avg,0.2644216614577667,0.015306877350549484,0.33125582380558966,0.016494674758872355,0.24086499479110005,0.01549191424984379,4.127592183473908,0.2891527444435534,0.31698243633149664,0.011055270774031812,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,BayPIRE,0.03800050812953246,0.01514401138161865,0.04485422942667795,0.015430846664632045,0.03192202281754015,0.018093039901201712,0.4061653450158816,0.018217318611612056,0.12539910994859818,0.007423445249515258,1.0,0.99,0.02,0.24941175242498895,0.03864348301614341,0.24956177584871103,0.0391455914962348,0.9970000000000001,0.006749485577105536,0.2747849999999999,0.03659202468890365,0.27402499999999985,0.0377536697995485,0.8,0.4216370213557839,0.10861190864611081,0.006629278005527153,0.9,0.31622776601683794,0.10961374999999993,0.006489575642049986
mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,Bayes-MAP,0.06460638298587028,0.00777062278640691,0.0822447437542225,0.011042602200845106,0.04154081757361689,0.011774181397811528,0.4957124547569237,0.009182362343512628,0.1604761453441351,0.004516000234786309,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,PE-Rasch,0.13044153253913035,0.02159903531525147,0.18312605210619934,0.028276395017898106,0.10572208899424176,0.023187666901312316,0.6923517235104651,0.06929506090091969,0.18192004793445063,0.016830700032745255,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,Avg,0.20161497503097836,0.011557692244839964,0.25218493969386796,0.012725097608783544,0.17920640360240697,0.011543451255258933,2.5774578585848524,0.2519504138325483,0.27146464530740627,0.007045504131756693,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,BayPIRE,0.028109009787509204,0.006205624039507623,0.03447310537728755,0.007589487437901749,0.018878922108099244,0.009628023263539153,0.34505714754791666,0.013363553425273919,0.10447852949347143,0.004562088016899333,1.0,0.9650000000000001,0.08303279138054101,0.17914755112283437,0.053219127149861864,0.179517415083624,0.05324937854756423,0.993,0.01888562063228707,0.2112299999999999,0.04706499518986716,0.21051249999999996,0.046486125842377185,0.9,0.31622776601683794,0.06748368786664877,0.00447531505161241,0.9,0.31622776601683794,0.06854749999999998,0.004640124220080521
mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,Bayes-MAP,0.060204352990301455,0.006325427628501194,0.07403201872731237,0.006968995213013978,0.03684343582885632,0.007712821310324433,0.4387724540332815,0.009612358543411243,0.1381925583461109,0.004125223555273734,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,PE-Rasch,0.11020502232860248,0.015240947014602293,0.15265894382584522,0.020377236860850294,0.088915396242928,0.014633422343835583,0.6679921875670397,0.051357133176222834,0.15688170023395726,0.011632298023653714,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,800.0,random_uniform,Avg,0.13317374811220764,0.010492232551725093,0.1705500668414029,0.014795724325875559,0.11075320199166153,0.010841636773561673,1.2019885438342992,0.20773892772582195,0.2369755519333531,0.006071707764849891,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,google_gemma_7b,800.0,random_uniform,BayPIRE,0.026009964492221215,0.0030165597840476352,0.03216007090355959,0.003313536727931977,0.017015648447527672,0.0018090356930340944,0.3051578843802256,0.008272558554302692,0.09340936499199032,0.0029072354117634595,1.0,0.922,0.04289522117905442,0.12410621924420089,0.03274765387123862,0.12448921567290401,0.032634596811141364,0.993,0.010593499054713816,0.1627119999999999,0.02561589203448165,0.16304999999999972,0.024926781670413362,0.9,0.31622776601683794,0.04039666361807777,0.001840218124695111,1.0,0.0,0.04179425,0.0020021776512642816
