benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,google_gemma_7b,200.0,0,two_way_balanced,Avg,100,135,200,13500,0.29307406885259263,0.3575052569613585,0.2810740688525927,5.034825382119312,0.373139092631579,0.3257791801631743,0.11750000000000002,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,0,two_way_balanced,PE-Rasch,100,135,200,13500,0.15380242176342493,0.19418923164898805,0.1394320513930546,0.5658757247179196,0.16300590217772962,0.02201020607603009,0.0006540170039062893,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,0,two_way_balanced,Bayes-MAP,100,135,200,13500,0.0792331095108172,0.09829677035233715,0.06683403641391347,0.5511678510993574,0.1830344917931305,0.38847301482731894,0.10630276201739824,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,100.17978474865411,0.009545232954182421,0.35754075010830166,0.4104998290249979,0.4594599570141866,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,0,two_way_balanced,BayPIRE,100,135,200,13500,0.024431570872788803,0.031159341633152447,0.0084889940526794,0.38767690713843134,0.11123370269425904,0.26168680785602305,0.05843271664091471,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,822.0,0.0,1000.0,1000.0,4.0,0.97,0.733,0.666,2.695,1.0,0.3688027364668672,0.36712409776549965,1.0,0.3823611111111109,0.3851851851851852,1.0,0.09723818201865542,1.0,0.0988944444444444
mmlu:anatomy,google_gemma_7b,200.0,1,two_way_balanced,Avg,100,135,200,13500,0.24540740326962965,0.31039820707251636,0.23207406993629634,4.008600754079605,0.3407894697684211,0.4020253689247683,0.14500000000000002,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,1,two_way_balanced,PE-Rasch,100,135,200,13500,0.10390538860466042,0.14052677476986347,0.08774396938709803,0.4977078427356598,0.13197766077918238,0.023533674951427816,0.000752870399428143,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,1,two_way_balanced,Bayes-MAP,100,135,200,13500,0.06317324482630443,0.0839883952041041,0.04505789213991228,0.5382023558955489,0.17687391247494783,0.39619412236613727,0.11075959937870966,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,100.69270917188148,0.0008054541946961816,0.45845892427623625,0.3455057079845058,0.4816771396734861,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,1,two_way_balanced,BayPIRE,100,135,200,13500,0.019958585187361554,0.024833478965252096,0.015413941424587496,0.3571054644996215,0.10117327511991878,0.21575995038877266,0.04341557199469968,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2105.0,0.0,1000.0,1000.0,4.0,0.97,0.999,0.367,3.166,1.0,0.20732161833864043,0.20730841911088113,1.0,0.22988888888888875,0.22962962962962968,1.0,0.0942773547910507,1.0,0.09430185185185191
mmlu:anatomy,google_gemma_7b,200.0,2,two_way_balanced,Avg,100,135,200,13500,0.2679999952711111,0.33123619482961364,0.2540740693451852,4.49747212835716,0.35458646167368424,0.3604365386911716,0.13000000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,google_gemma_7b,200.0,2,two_way_balanced,PE-Rasch,100,135,200,13500,0.15675919858568718,0.19792536155940443,0.1404456598893823,0.5056485756985546,0.14833156467133474,0.02488817701704974,0.000874297952362173,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
