benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,google_gemma_7b,200.0,0,two_way_balanced,Avg,100,152,200,15200,0.30960525664473676,0.34262485161267475,0.29486841453947366,4.667685831768995,0.3255999951880001,0.23567004799038144,0.08500000000000008,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,two_way_balanced,PE-Rasch,100,152,200,15200,0.13126045929405325,0.16784877434614026,0.11627170991472652,0.48836515168943284,0.13487500994917426,0.0199086090426846,0.0005475087087501065,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07488199140367903,0.08523494690425357,0.05975018818893009,0.504442250801524,0.16551444541697016,0.33307309750583464,0.0912301957905208,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,86.5757553000206,0.0018444500514030568,1.0548203550314654,0.39865633962150515,0.4002359464963675,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,two_way_balanced,BayPIRE,100,152,200,15200,0.019653454208446042,0.02410933220495564,0.013268531216833844,0.35338059398026234,0.10063836294576928,0.19466877432064378,0.03869270608282031,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1216.0,0.0,1000.0,1000.0,4.0,0.97,2.121,0.487,2.97,1.0,0.2448962589688476,0.24427170990172697,1.0,0.2599753289473683,0.2567434210526313,1.0,0.08752192460184516,1.0,0.08796381578947376
mmlu:astronomy,google_gemma_7b,200.0,1,two_way_balanced,Avg,100,152,200,15200,0.3164473621052631,0.3525616026197318,0.3015789410526315,4.717162091324793,0.33253332848266676,0.24953299140158036,0.09000000000000007,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,two_way_balanced,PE-Rasch,100,152,200,15200,0.14801069284502313,0.18567808261105626,0.13366858758186526,0.5467484399210888,0.15026805538757138,0.02074777087526609,0.0005805914328407729,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07789980481429762,0.08959948194842515,0.06303138376166605,0.510994558967863,0.1675595695096022,0.35237044989392324,0.09706517628183697,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,90.95719838014438,0.0021627017427820355,0.8956049313476433,0.41064182132502275,0.40092750870527144,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,two_way_balanced,BayPIRE,100,152,200,15200,0.025618565955992153,0.03219028392022634,0.019245822112623295,0.37988401193886195,0.11106378878275161,0.2366909450054115,0.05199576828025588,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,860.0,0.0,1000.0,1000.0,4.0,0.97,1.656,0.591,2.634,1.0,0.3290958996473433,0.32235873470570475,1.0,0.3419572368421051,0.3355263157894737,1.0,0.08780278759896254,1.0,0.08858552631578942
mmlu:astronomy,google_gemma_7b,200.0,2,two_way_balanced,Avg,100,152,200,15200,0.28605262585526314,0.31532723221447084,0.2757894679605263,4.014555419933177,0.3071333292906667,0.291121821635177,0.10500000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,2,two_way_balanced,PE-Rasch,100,152,200,15200,0.12613855715648292,0.16325637754820752,0.11566823572087062,0.5085698061104782,0.14263161790941872,0.02160747610059737,0.0006407956340438531,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
