benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:astronomy,google_gemma_7b,200.0,two_way_balanced,Avg,0.2952894677236842,0.012345193810153685,0.32485570203741065,0.017058008581807768,0.2814868361447368,0.012463867172781444,4.228669615135895,0.3213886166081239,0.31365999570680003,0.011364594874192852,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,two_way_balanced,BayPIRE,0.021297781132096766,0.004590788343717679,0.026288869222173515,0.0052825376985932955,0.013298217839452208,0.006250630396928523,0.3801158145828643,0.019554239213995368,0.11203493038122395,0.007856150255640262,1.0,1.0,0.0,0.2811023761445661,0.04342934754454667,0.2777959940241119,0.040774341881031496,1.0,0.0,0.2962633223684209,0.04241287936281766,0.29251644736842075,0.04044189430386938,1.0,0.0,0.09368273928846402,0.004257917840563468,1.0,0.0,0.09381809210526318,0.004262419377205422
mmlu:astronomy,google_gemma_7b,200.0,two_way_balanced,Bayes-MAP,0.07097382119019832,0.004197815110669304,0.08243047915114601,0.004138234365457885,0.057018531636363445,0.0035560465265816214,0.5072350893096879,0.004395376202106456,0.16654049859574566,0.0020825088155382314,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,two_way_balanced,PE-Rasch,0.13138440937950246,0.013564893212905419,0.1687349730836431,0.017297445696966254,0.11754968761242637,0.013672150682074573,0.5257423212024969,0.03962346396137484,0.14459717732942634,0.011990240146818591,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,400.0,two_way_balanced,Avg,0.17380262915447367,0.01575464573229189,0.2201025730789731,0.0170762663954915,0.1619078923123684,0.014777935556705361,1.906588624829547,0.22277424956082092,0.25637668767040545,0.007893317541647729,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,400.0,two_way_balanced,BayPIRE,0.016913868854867446,0.0018383299456635322,0.020982644113494826,0.002237124018327048,0.012105017457005133,0.003071819698227321,0.28238728300439575,0.010732925916159574,0.08016513458865752,0.003772458299453085,1.0,0.998,0.004216370213557843,0.1337685388878172,0.02303514954911325,0.13349169354913476,0.02291438352101245,1.0,0.0,0.15580789473684203,0.020275403579804393,0.15464638157894728,0.019695804757246846,1.0,0.0,0.05312381281822296,0.0020352409815202685,1.0,0.0,0.054047861842105235,0.001772379194975558
mmlu:astronomy,google_gemma_7b,400.0,two_way_balanced,Bayes-MAP,0.06191857530285485,0.006304004100331091,0.07600709743341019,0.006991081488504899,0.048572509479148644,0.004971282116629102,0.43379757010425324,0.006748655558458338,0.13532763547039023,0.003054786674538256,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,400.0,two_way_balanced,PE-Rasch,0.08479290235295382,0.013794806802081158,0.12357282538029613,0.016578796783120534,0.07041050226877285,0.013122070540137707,0.4763039137455424,0.034188522670570765,0.11503331246634181,0.008632339737775831,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,800.0,two_way_balanced,Avg,0.1298618414231579,0.009667767517038066,0.15900741795699075,0.00950415779063073,0.11713815721263157,0.009594003706805236,1.0124642597374864,0.07045614471641558,0.23324652734125,0.0032403066500988472,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,800.0,two_way_balanced,BayPIRE,0.01609441892330034,0.0015640514560357052,0.019653157550230088,0.001872147011376167,0.009129823860836547,0.002773147982628723,0.23918193516522618,0.002299257201624881,0.0690718880693725,0.0008650163336857903,1.0,0.978,0.015491933384829678,0.09889479949361402,0.017040208668442514,0.0988829065893839,0.017063640510222557,0.998,0.00421637021355785,0.12481694078947363,0.01431120629629976,0.12369243421052627,0.014493630033991104,1.0,0.0,0.0346301837384238,0.0018110601734525236,1.0,0.0,0.03526019736842102,0.0016276251302897247
mmlu:astronomy,google_gemma_7b,800.0,two_way_balanced,Bayes-MAP,0.05358091426281314,0.0038134491220106603,0.0659296562030658,0.003850153104998777,0.03934174454888729,0.004291544320258961,0.3591518052396492,0.003708393638366624,0.10509770177658684,0.0016301071324275425,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,800.0,two_way_balanced,PE-Rasch,0.07552720387796799,0.006741535077033602,0.1014074580949009,0.010483905107861811,0.06165875578463435,0.0068113645385041366,0.4372919043093919,0.03208294220667236,0.10350924150361704,0.005275570133189316,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,1600.0,two_way_balanced,Avg,0.08763157888473684,0.004695697276809429,0.1086983563590362,0.004164086683670683,0.07434210520052632,0.004883806883283487,0.6750439563364354,0.03313351637435625,0.2197757352511765,0.0012593855236632764,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,1600.0,two_way_balanced,BayPIRE,0.014890517206635456,0.0020532454828901575,0.018385840177366122,0.002078249024514974,0.009130136365452153,0.0031736417202668918,0.221655204414289,0.0038419270922455803,0.06527729500026022,0.0006725930979333763,1.0,0.867,0.0787471339866481,0.06008112621100063,0.011275038416500321,0.060030360539611506,0.011217620474091554,0.9970000000000001,0.0048304589153965,0.09412927631578942,0.007031220747348595,0.09473684210526313,0.007072155919560126,0.9,0.31622776601683794,0.022039265827610753,0.0005882696359438159,0.9,0.31622776601683794,0.023291940789473654,0.0004379959224289592
mmlu:astronomy,google_gemma_7b,1600.0,two_way_balanced,Bayes-MAP,0.038148279364814866,0.002717135370789386,0.04760383039307005,0.0023566450289929496,0.024932951105031294,0.0037181221977466822,0.29585582228882185,0.003276608072281852,0.08245244778941777,0.0015144639913156847,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,1600.0,two_way_balanced,PE-Rasch,0.049358174167100706,0.002563901400167104,0.0630694221594558,0.002316439968546038,0.03704734741979525,0.0031937295586770813,0.2914389624710322,0.013888988848566122,0.0804937613032037,0.002127616934127782,1.0,,,,,,,,,,,,,,,,,,,,
