benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,google_gemma_7b,200.0,0,random_uniform,Avg,100,152,200,15200,0.2613809469506892,0.340112278447442,0.24867568379279448,4.352806859959488,0.3236085212458171,0.2978086654597046,0.1039880952380953,0.013157894736842105,0.84,0.75,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,152,200,15200,0.14767846467978515,0.18725310620470584,0.13265629626623882,0.5509676078484796,0.16278996652777902,0.020273534626161886,0.0007128880431567348,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,152,200,15200,0.05909847175555304,0.07343130767712014,0.04565579591535118,0.5091253294316831,0.1666681642469436,0.32951902869058664,0.0901183882492909,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,85.70891896688724,0.003077515775261724,0.9741964216014183,0.3630719911614779,0.4193966073095631,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,152,200,15200,0.01978357053104527,0.02503135863796609,0.014218773624573557,0.38458348458548197,0.11506729807623388,0.19565951310319896,0.04227019076871846,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1228.0,0.0,1000.0,1000.0,4.0,0.97,1.883,0.526,3.03,1.0,0.27540775966994036,0.27561902732137084,1.0,0.28859703947368404,0.2894736842105263,1.0,0.11400827307047523,1.0,0.1150855263157895
mmlu:astronomy,google_gemma_7b,200.0,1,random_uniform,Avg,100,152,200,15200,0.2651631522578947,0.3276196312785558,0.252536836468421,4.212631133329749,0.3149987335151111,0.33074308512082273,0.11575000000000003,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,152,200,15200,0.10626276488409508,0.14012377649130425,0.0932434733186549,0.5827395589862026,0.16476661766297646,0.019366265785931435,0.0005692213184116124,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,152,200,15200,0.05890602096299708,0.0682928864350967,0.04751007968993569,0.5176286452520571,0.17038593000521468,0.3219878908140164,0.08666368945036186,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,84.83006729939329,0.005114105133824497,1.0843197411527257,0.32362546593410724,0.4494026009122814,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,152,200,15200,0.024523155723148074,0.0288207327330672,0.022500244471791598,0.426921309115547,0.1344735250083022,0.16576254059214457,0.03342842051793699,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1931.0,0.0,1000.0,1000.0,4.0,0.97,2.405,0.409,3.291,1.0,0.19589612448192986,0.19532083828844038,1.0,0.2147746710526314,0.2171052631578947,1.0,0.10604791999777174,1.0,0.10691118421052637
mmlu:astronomy,google_gemma_7b,200.0,2,random_uniform,Avg,100,152,200,15200,0.23616139837521924,0.2854516491020483,0.2251087667962719,3.580535823576376,0.2889253949745186,0.3067297398714478,0.10650000000000004,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,152,200,15200,0.11733646677556141,0.15084811968539472,0.10406292218119657,0.6245900635148995,0.17288684570651858,0.02206808852415544,0.0008208028695075134,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
