experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0247266304457665,0.0077995026494457,0.3116728529224758,0.0862118175205175,0.0178857569141427,1.0,0.997,0.2203261829103802,0.9,0.0849002941509035,0.998,0.2469419999999998,0.9,0.0858292499999999
balanced,200.0,Bayes-MAP,0.0732713013936213,0.0074754739533936,0.4968297334090989,0.1590629502447036,0.0547842652258481,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.114373859458622,0.017529142996264,0.4680833169603994,0.1269014659099568,0.096795220542279,1.0,,,,,,,,
balanced,200.0,Avg,0.2912599948648,0.0279189375044296,4.647520067142863,0.3533877504142858,0.2743999948648,,,,,,,,,
balanced,400.0,BayPIRE,0.0191384509402299,0.0012753616134601,0.2436262118608265,0.0684275961214648,0.0140926973722952,1.0,0.973,0.1183586150379976,1.0,0.0500151398494152,0.995,0.1526087499999999,1.0,0.0514652499999999
balanced,400.0,Bayes-MAP,0.0606973673853487,0.0039797791129684,0.4064469340467362,0.1202050919068159,0.0439624437014339,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0764839910837777,0.0054699891160049,0.4311122958297425,0.1041685634021906,0.0582613852151779,1.0,,,,,,,,
balanced,400.0,Avg,0.1999699984256,0.0123798265453553,1.8698211712970525,0.29386979031,0.1849699984256,,,,,,,,,
balanced,800.0,BayPIRE,0.019203820379802,0.001305049817601,0.2150566090253506,0.0615533025557304,0.0127989666225011,1.0,0.902,0.0876181183079475,1.0,0.0320189379827975,0.989,0.1254344999999999,1.0,0.0335432499999999
balanced,800.0,Bayes-MAP,0.048165051860254,0.0029036753591571,0.3257018923925858,0.0890124752734976,0.0303619098808704,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0679680369314895,0.0055064649694529,0.3665686757763818,0.09057202720136,0.0511949405835613,1.0,,,,,,,,
balanced,800.0,Avg,0.1339249998804,0.0107520087780087,0.818313983194255,0.2652275814197826,0.1151949998803999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0184592975957596,0.0012199216575735,0.196270008218804,0.058387839710781,0.0106438361936304,1.0,0.756,0.0574145629718832,1.0,0.0197947934875351,0.978,0.1019205,1.0,0.021822
balanced,1600.0,Bayes-MAP,0.0348776800721057,0.0025449596467934,0.2657162563989295,0.0704990781610748,0.0181128903583566,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0481573642882335,0.0041493190752915,0.2618508409156805,0.074213642097374,0.0323799490185452,1.0,,,,,,,,
balanced,1600.0,Avg,0.0864075,0.0068200282053831,0.6960682614885083,0.2488078497023809,0.0694974999999999,,,,,,,,,
random,200.0,BayPIRE,0.0248883830740908,0.0082009021138498,0.3479240727559207,0.1022608201870642,0.0193884206136647,1.0,0.998,0.2092362165248015,1.0,0.1091202811552053,1.0,0.2369489999999998,1.0,0.1094099999999999
random,200.0,Bayes-MAP,0.0656601073580468,0.0072213437552211,0.5091047840431693,0.1652078924146865,0.0477079850964636,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1075746566321503,0.0124247092710561,0.4948222908758232,0.1379890618912011,0.088759660755617,1.0,,,,,,,,
random,200.0,Avg,0.2775866618347667,0.0203368873105166,4.438686321478258,0.3519134819670068,0.2596733285014333,,,,,,,,,
random,400.0,BayPIRE,0.0224986055931018,0.0057656758060724,0.2662475199238364,0.0757254109777678,0.0175768455501657,1.0,0.973,0.1331704169389009,0.9,0.0642256746923849,0.993,0.1662637499999998,0.9,0.0648762499999999
random,400.0,Bayes-MAP,0.0618400792796463,0.0051487347210042,0.427351778969734,0.1303506887208108,0.044253361135017,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0883291904918472,0.0141723911129759,0.4845486170424418,0.1182780458900313,0.0714790263750346,1.0,,,,,,,,
random,400.0,Avg,0.2176269092113119,0.0118836333681009,2.8447045660942147,0.313521610793767,0.200484528258931,,,,,,,,,
random,800.0,BayPIRE,0.019832439729449,0.001752436946614,0.2206199764854549,0.0637057228791835,0.0133269862676003,1.0,0.89,0.0907301873346756,0.9,0.0353900620492393,0.991,0.1281639999999999,1.0,0.036633
random,800.0,Bayes-MAP,0.0476990932264011,0.0042674972896632,0.3360944891540337,0.0936582495594613,0.0292403749651873,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0696847841771519,0.0055206312976723,0.374307891234402,0.0935666593434184,0.0523798028470725,1.0,,,,,,,,
random,800.0,Avg,0.1338768911582832,0.0091000707223465,1.0259732006653657,0.2667032124100269,0.116177031018423,,,,,,,,,
random,1600.0,BayPIRE,0.0186863071702777,0.0011361464268612,0.1999973087862995,0.0590529350845426,0.0106314005332156,1.0,0.791,0.0616680286779518,0.9,0.0205293893187342,0.98,0.1044824999999999,0.9,0.0222719999999999
random,1600.0,Bayes-MAP,0.0361709234011264,0.0023489596456575,0.2723866683269079,0.0728696540620174,0.0201908748310295,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0467906571676722,0.0040384698751266,0.2623747459185215,0.0735182550905632,0.0328921943132968,1.0,,,,,,,,
random,1600.0,Avg,0.0886671579215468,0.0053768033683587,0.7011665082749132,0.2504124899338314,0.0716193059100106,,,,,,,,,
