benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,google_gemma_7b,200.0,0,random_uniform,Avg,100,100,200,10000,0.24336666243066674,0.30429645042282927,0.22769999576400007,3.8261569920795413,0.32906394185578236,0.4175122152262785,0.14458333333333337,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.08821046880480395,0.1231491429017647,0.07024609067869286,0.4941161437356769,0.14023463499863612,0.020821140203923765,0.0008434884485566638,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06065505622967732,0.07235170347172262,0.04716891810116172,0.5086810543470248,0.16593748934893526,0.3316617926625057,0.0877499897255265,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,88.11865740109417,0.0014567155619071863,0.7440132517805019,0.28519905954929253,0.5989897714004999,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.027622447847546253,0.034042646909880105,0.02510001144584957,0.36601947929676776,0.11217896215383141,0.16140161860019486,0.03376602710493257,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2357.0,0.0,1000.0,1000.0,4.0,0.97,1.625,0.362,3.507,0.99,0.1917044412868999,0.1922513057353229,1.0,0.22092499999999987,0.21999999999999997,1.0,0.11494410740250283,1.0,0.11613250000000008
mmlu:business_ethics,google_gemma_7b,200.0,1,random_uniform,Avg,100,100,200,10000,0.25659999567200004,0.31913110612879264,0.23299999567200003,3.995005536710051,0.33852822738435373,0.40891329981082,0.14325000000000002,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.11687983288294726,0.15524898476162827,0.09578482495267804,0.5980072806691061,0.1523098944810034,0.045127262908619424,0.0071462348204197656,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06240635309835766,0.07585508665248814,0.04068152498392233,0.5204635004809367,0.1703103670782023,0.37711919166498165,0.10622762726029274,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,95.40197450781002,0.005023798521903288,0.6159811240654864,0.3148884914971278,0.5517643955150728,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.019730270529082737,0.025084537814673687,0.012514912860864078,0.37547516148657784,0.11167461120212412,0.261827922341297,0.06773160273863048,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2096.0,0.0,1000.0,1000.0,4.0,0.97,1.112,0.315,2.78,1.0,0.2074582215811658,0.20706286952442,1.0,0.24114999999999984,0.24,1.0,0.11354998264580507,1.0,0.11410749999999992
mmlu:business_ethics,google_gemma_7b,200.0,2,random_uniform,Avg,100,100,200,10000,0.2713666624376667,0.3362811265838748,0.2563666624376667,4.136241462123256,0.34998945173333335,0.41013067244978063,0.1436666666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10079991526427115,0.13863195524214147,0.08399346955222599,0.41742032300541526,0.1192406245345815,0.0370275710272932,0.005556510436844246,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.06399154575612057,0.0827532737760429,0.04955751685162504,0.49625265060491286,0.15757031020370377,0.3600127909938564,0.09602626303816696,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,94.57294488322871,0.0005428611323538556,0.4055380502352041,0.326546194362684,0.5910456756090046,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.02549472415532169,0.031369142276838013,0.021414394950975465,0.3176344338219188,0.08837658747458,0.20854839485854718,0.048133248033379254,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1965.0,0.0,1000.0,1000.0,4.0,0.97,1.039,0.382,3.206,1.0,0.21335891793558,0.2143857509519131,1.0,0.24194749999999984,0.24,1.0,0.10918006869205088,1.0,0.11031250000000015
mmlu:business_ethics,google_gemma_7b,200.0,3,random_uniform,Avg,100,100,200,10000,0.28984999477900003,0.35193926373694095,0.273849994779,4.760417608944617,0.36123052240476194,0.3785251872124815,0.1316666666666667,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.11702046059930726,0.16066964271200715,0.09979689987373074,0.5715807658330013,0.15560163679706449,0.02693098777621098,0.001698398453911998,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.0643574031834536,0.07893321012424055,0.04621425904363881,0.5145371345740153,0.16749780931931,0.3543676223137875,0.09514977986665177,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,92.78844384972035,0.0005313619781949768,0.6171430896186237,0.340361289899444,0.5717340609513436,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,3,random_uniform,BayPIRE,100,100,200,10000,0.019892833875660525,0.025400358143288705,0.01199001089197548,0.3626613597070156,0.10755596008248074,0.21180035292359675,0.04966526620827117,0.02,0.87,0.85,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1945.0,0.0,1000.0,1000.0,4.0,0.97,1.222,0.394,3.258,1.0,0.21645422178462875,0.21652108326770075,1.0,0.24505999999999978,0.24024999999999958,1.0,0.11369187388545665,1.0,0.1152099999999997
mmlu:business_ethics,google_gemma_7b,200.0,4,random_uniform,Avg,100,100,200,10000,0.306299994589,0.36636941823696967,0.284099994589,5.033551242008639,0.3720199495321995,0.3477474270993855,0.12125000000000004,0.02,0.9,0.85,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,google_gemma_7b,200.0,4,random_uniform,PE-Rasch,100,100,200,10000,0.1243665740223928,0.15665897579716997,0.1042287130539648,0.5167732941672994,0.15034941453562578,0.02263902628325668,0.0011619488214354577,0.02,0.9,0.85,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
