benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,google_gemma_7b,200.0,two_way_balanced,Avg,0.2923056550776603,0.01774957448660384,0.33858479713791506,0.019412157366063294,0.2793622588512452,0.018404662016460453,4.590370906625202,0.4222333544165518,0.348161592324943,0.01293401195916883,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,two_way_balanced,BayPIRE,0.037714961321244876,0.009982350339804779,0.0455300507862134,0.011576692109925058,0.02758592837331535,0.010396828899547395,0.5891183184093498,0.009032448601571475,0.20048748065065208,0.004292787209154626,1.0,1.0,0.0,0.43476382242653394,0.0818417828629026,0.43064346071214593,0.08161204788806367,1.0,0.0,0.44499226415094323,0.07939044920557063,0.4415613207547168,0.07929594457895203,1.0,0.0,0.11946364277613056,0.002617563426793314,1.0,0.0,0.12022349056603762,0.002615150699641592
mmlu:clinical_knowledge,google_gemma_7b,200.0,two_way_balanced,Bayes-MAP,0.07964042988631834,0.006598841542946732,0.09618632952591052,0.005474643376843231,0.06686185412559562,0.007224394377731634,0.5980185168105386,0.0048190386271676966,0.20536550814844717,0.0023182060759107024,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,two_way_balanced,PE-Rasch,0.1813425739740996,0.017523114150176124,0.2207088121073962,0.01991571069897596,0.16825578152126944,0.018415653196939587,0.7007206414746592,0.035710739035005115,0.20952116010056532,0.01216136801230607,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,two_way_balanced,Avg,0.20077830016320752,0.014024625405251045,0.23751886685339074,0.018462122797572738,0.18603867752169811,0.014199082986795921,1.9047290300098605,0.30578735963749515,0.28987811161409965,0.008910994202528406,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,two_way_balanced,BayPIRE,0.02061131131895339,0.0065773571182559075,0.025022003971302387,0.0072727380011247044,0.015046082456010967,0.008985879253245753,0.358600522269523,0.009851779978568287,0.10358672950788943,0.003843842628702455,1.0,0.999,0.0031622776601683716,0.18055342203261987,0.0451855791123177,0.18003090276027586,0.044483764017185366,1.0,0.0,0.19285216981132064,0.04310298666181892,0.1921226415094338,0.04288415868380731,0.9,0.31622776601683794,0.06144007056234023,0.0016108601042652334,0.9,0.31622776601683794,0.06185169811320751,0.0018307121622699555
mmlu:clinical_knowledge,google_gemma_7b,400.0,two_way_balanced,Bayes-MAP,0.0785148165928524,0.0070433700943905156,0.09537575958609187,0.008749387334591255,0.06367743326390869,0.007082955065327743,0.535008004662436,0.004979173906294427,0.17677181920864288,0.0024000014979036425,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,two_way_balanced,PE-Rasch,0.10456833097681995,0.017694555706493,0.1423807435151771,0.021304868387488733,0.08888503742319973,0.018080061373474825,0.5393382385521577,0.04469790595776064,0.13999215984050717,0.012007746350064121,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,800.0,two_way_balanced,Avg,0.1315834902653962,0.011773593384918492,0.16547577688921722,0.013570714438944273,0.11809009403898112,0.012609383140143066,0.9138598310365357,0.16539440918901893,0.26071187962762643,0.004737298099831618,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,800.0,two_way_balanced,BayPIRE,0.017314058682437915,0.002861322212186943,0.020935440001124603,0.003517831708278979,0.013221542522736643,0.003852456539839397,0.2830791489957324,0.009582541446519353,0.08155990040955848,0.0029839135229975827,1.0,0.9789999999999999,0.03665151201974257,0.10526517647881131,0.014087783740341421,0.10528052652269966,0.01397398288822242,0.998,0.0063245553203367545,0.12049566037735841,0.012548027509657977,0.12113679245283013,0.012510674410673496,0.9,0.31622776601683794,0.03558177733612098,0.000894081025588888,0.9,0.31622776601683794,0.036602735849056545,0.0010412558416165528
