experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0377149613212448,0.0099823503398047,0.5891183184093498,0.200487480650652,0.0275859283733153,1.0,1.0,0.4347638224265339,1.0,0.1194636427761305,1.0,0.4449922641509432,1.0,0.1202234905660376
balanced,200.0,Bayes-MAP,0.0796404298863183,0.0065988415429467,0.5980185168105386,0.2053655081484471,0.0668618541255956,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1813425739740996,0.0175231141501761,0.7007206414746592,0.2095211601005653,0.1682557815212694,1.0,,,,,,,,
balanced,200.0,Avg,0.2923056550776603,0.0177495744866038,4.590370906625202,0.348161592324943,0.2793622588512452,,,,,,,,,
balanced,400.0,BayPIRE,0.0206113113189533,0.0065773571182559,0.358600522269523,0.1035867295078894,0.0150460824560109,1.0,0.999,0.1805534220326198,0.9,0.0614400705623402,1.0,0.1928521698113206,0.9,0.0618516981132075
balanced,400.0,Bayes-MAP,0.0785148165928524,0.0070433700943905,0.535008004662436,0.1767718192086428,0.0636774332639086,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1045683309768199,0.017694555706493,0.5393382385521577,0.1399921598405071,0.0888850374231997,1.0,,,,,,,,
balanced,400.0,Avg,0.2007783001632075,0.014024625405251,1.9047290300098605,0.2898781116140996,0.1860386775216981,,,,,,,,,
balanced,800.0,BayPIRE,0.0173140586824379,0.0028613222121869,0.2830791489957324,0.0815599004095584,0.0132215425227366,1.0,0.979,0.1052651764788113,0.9,0.0355817773361209,0.998,0.1204956603773584,0.9,0.0366027358490565
balanced,800.0,Bayes-MAP,0.064138574732838,0.0053356072752739,0.4476779006391856,0.138099024653446,0.0500579343469179,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0876431522106728,0.0067092077938106,0.5040059979982812,0.1186122254535014,0.0740312689825505,1.0,,,,,,,,
balanced,800.0,Avg,0.1315834902653962,0.0117735933849184,0.9138598310365356,0.2607118796276264,0.1180900940389811,,,,,,,,,
balanced,1600.0,BayPIRE,0.0147015021013401,0.0008390063954231,0.243451970724772,0.0726868766184884,0.0103906257457327,1.0,0.947,0.0722584251640919,1.0,0.0234182659682542,0.998,0.0918880188679244,1.0,0.0240630188679244
balanced,1600.0,Bayes-MAP,0.0451401997351136,0.004663704676932,0.3636627639364745,0.1039444458218954,0.0329421370308257,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0569673756005411,0.0048224585214912,0.3430184721408711,0.091997694871733,0.0448462659694855,1.0,,,,,,,,
balanced,1600.0,Avg,0.0910676886510566,0.0086927134297057,0.7094052372055366,0.246320390916506,0.0786488207265283,,,,,,,,,
random,200.0,BayPIRE,0.0280035707066225,0.0109853086889425,0.5192538551976538,0.1712380762151145,0.0227212427447022,1.0,1.0,0.2885304419489341,1.0,0.1244314010645381,1.0,0.2980225471698112,1.0,0.1247114150943395
random,200.0,Bayes-MAP,0.0706409888528057,0.0098406214787504,0.6034386829904836,0.2077092666026812,0.0565668405987838,1.0,,,,,,,,
random,200.0,PE-Rasch,0.184106519059199,0.0178603392991565,0.7407434712951928,0.2284214281018704,0.1699337883155568,1.0,,,,,,,,
random,200.0,Avg,0.2723801613680341,0.0247869742741109,4.374887350582,0.3474920993803428,0.2579069538208642,,,,,,,,,
random,400.0,BayPIRE,0.0192462901010647,0.0038038381118813,0.412363350338438,0.1285382977168801,0.0141698256644733,1.0,1.0,0.1799377095907233,1.0,0.0797708783038131,1.0,0.1918916981132074,1.0,0.0804066981132074
random,400.0,Bayes-MAP,0.0716981420780821,0.0065666300360452,0.5494321744134543,0.1835469566261843,0.0579674204600898,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1383862991824035,0.0176327511037131,0.6635561837773061,0.1809447237515424,0.1247447745393594,1.0,,,,,,,,
random,400.0,Avg,0.2119209422303222,0.0144061322744391,2.5868436861263047,0.3040918887412088,0.199139935941014,,,,,,,,,
random,800.0,BayPIRE,0.0180906425084593,0.0027880765301389,0.3102768553375244,0.0921539176861822,0.0138212794684956,1.0,0.979,0.1144547266652666,1.0,0.0469259049246321,0.996,0.1297211320754716,1.0,0.0473635849056603
random,800.0,Bayes-MAP,0.0629436204825674,0.0036115972138602,0.4646609993803046,0.1462094717624221,0.0485105048713411,1.0,,,,,,,,
random,800.0,PE-Rasch,0.100240507397175,0.008488772521595,0.5496153909210606,0.1358101279752581,0.0864947202385021,1.0,,,,,,,,
random,800.0,Avg,0.1415635302322521,0.0108384037088098,1.009731631744761,0.2642428442663099,0.1267882668164226,,,,,,,,,
random,1600.0,BayPIRE,0.0154004797996857,0.0008342530255727,0.2504096671792568,0.0747416948329742,0.0109151677541112,1.0,0.925,0.0718061578575307,1.0,0.0265632842132212,0.992,0.0917139622641508,1.0,0.0271201886792452
random,1600.0,Bayes-MAP,0.0476360976145912,0.0034898448860758,0.3767290302479894,0.1099059295987162,0.034018890490225,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0562425026900473,0.0047480337289829,0.3448550870956925,0.0924121936672451,0.0419312527897238,1.0,,,,,,,,
random,1600.0,Avg,0.0960431277836023,0.0092061972355934,0.7070902499650092,0.2477673315115561,0.082718835381515,,,,,,,,,
