benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:clinical_knowledge,google_gemma_7b,200.0,0,random_uniform,Avg,100,265,200,26500,0.25829087573408804,0.314374484926005,0.24581288831270437,4.039482699413339,0.3317842033421209,0.3737743236038293,0.13058333333333338,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,265,200,26500,0.17374403987947926,0.20366863370499244,0.15957061245544996,0.6909130815458964,0.2151605228282719,0.022060720568778648,0.0006326506277915931,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,265,200,26500,0.08024165288388209,0.0918520248751035,0.06906644979352769,0.6058621712857417,0.20920210468512518,0.3728048939706177,0.10515701704535646,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,94.46996683421543,0.011951514772215056,0.8174292977007098,0.3565197029488156,0.32118655649222355,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,265,200,26500,0.03868983837837007,0.04385423711564558,0.038644140675169025,0.5123098894630636,0.16929630292686945,0.23171623953046022,0.05000735956425739,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1129.0,0.0,1000.0,1000.0,4.0,0.97,1.525,0.491,2.775,1.0,0.28491096723278103,0.2828953299289769,1.0,0.2935839622641509,0.2924528301886793,1.0,0.11329137277422308,1.0,0.11347735849056606
mmlu:clinical_knowledge,google_gemma_7b,200.0,1,random_uniform,Avg,100,265,200,26500,0.28533395719811316,0.3464349237173504,0.26907357983962255,4.534015036751226,0.3532154358864385,0.3433426707359431,0.11950000000000005,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,265,200,26500,0.20709269097660318,0.24602487699173736,0.19094174758037671,0.8397411851909289,0.2542898513862964,0.023022656970418946,0.0007704659583671011,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,265,200,26500,0.07528351049492475,0.0903154098078698,0.05874569864213375,0.616261668691697,0.21370102799000956,0.37866977054671325,0.1058655272880383,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,96.46093838643432,0.004678313433428024,0.6551828162974729,0.3885794939901587,0.3168593527132437,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,265,200,26500,0.024655560946411654,0.030697258596542504,0.01048331539794971,0.5463433090193549,0.1827697072258491,0.2659063216691582,0.06181228347318461,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,769.0,0.0,1000.0,1000.0,4.0,0.97,1.178,0.631,2.524,1.0,0.36868700978845653,0.3674125377158707,1.0,0.37616226415094334,0.3735849056603774,1.0,0.12597089013053286,1.0,0.1267283018867923
mmlu:clinical_knowledge,google_gemma_7b,200.0,2,random_uniform,Avg,100,265,200,26500,0.22641823541559752,0.2961206116396941,0.21364087692503148,3.3655405017511915,0.3203419972559358,0.45277226331802967,0.1586666666666667,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,265,200,26500,0.17378076546139773,0.20908564518202627,0.16163635748365074,0.6942090075832629,0.21695242009469107,0.027742331675906503,0.0011947286710051763,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
