benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,google_gemma_7b,200.0,random_uniform,Avg,0.2723801613680341,0.024786974274110935,0.33765154860675367,0.021544650125136133,0.25790695382086426,0.024157486147328655,4.374887350582,0.5010829973897699,0.34749209938034287,0.014566068460254126,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,random_uniform,BayPIRE,0.02800357070662255,0.010985308688942534,0.0328036511558244,0.011338586997044021,0.022721242744702212,0.014613716604137362,0.5192538551976538,0.01200382193352664,0.1712380762151145,0.005169994904441208,1.0,1.0,0.0,0.2885304419489341,0.0554180990327715,0.28778422673914184,0.054918166808271336,1.0,0.0,0.2980225471698112,0.054123763049903455,0.29683018867924515,0.05408873500371089,1.0,0.0,0.12443140106453812,0.005959959417435436,1.0,0.0,0.12471141509433958,0.006069254153614907
mmlu:clinical_knowledge,google_gemma_7b,200.0,random_uniform,Bayes-MAP,0.07064098885280577,0.00984062147875043,0.08515985019606502,0.009449911841603636,0.056566840598783884,0.010117458332373307,0.6034386829904836,0.006113856390245042,0.20770926660268127,0.003012889785953125,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,200.0,random_uniform,PE-Rasch,0.18410651905919903,0.01786033929915655,0.22208694178344013,0.019246179138982387,0.1699337883155568,0.01682467657953078,0.7407434712951928,0.04924773927163057,0.22842142810187047,0.012674253626755578,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,random_uniform,Avg,0.21192094223032223,0.0144061322744391,0.2652981845168316,0.019205708429070437,0.19913993594101406,0.014499377750480021,2.5868436861263047,0.3188831759277148,0.30409188874120885,0.010151934513076869,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,random_uniform,BayPIRE,0.01924629010106472,0.0038038381118813023,0.023201870021505398,0.004546424608444092,0.014169825664473362,0.00637778517666297,0.412363350338438,0.015154391221173789,0.12853829771688013,0.005924031484820915,1.0,1.0,0.0,0.17993770959072333,0.02475929882776947,0.17962092763367818,0.024906249710408754,1.0,0.0,0.19189169811320744,0.023702472691693722,0.1915377358490565,0.02406598657815281,1.0,0.0,0.07977087830381316,0.0017707723806102999,1.0,0.0,0.08040669811320744,0.001609193176681461
mmlu:clinical_knowledge,google_gemma_7b,400.0,random_uniform,Bayes-MAP,0.07169814207808214,0.006566630036045255,0.08755437716947967,0.007508600023207305,0.057967420460089826,0.006497918912938449,0.5494321744134543,0.008941828482927823,0.1835469566261843,0.0043656496263210125,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,400.0,random_uniform,PE-Rasch,0.13838629918240355,0.017632751103713117,0.17629721554805095,0.019766913711315597,0.12474477453935946,0.01685587078682923,0.6635561837773061,0.06256626030936532,0.18094472375154247,0.014503509835320904,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,800.0,random_uniform,Avg,0.1415635302322521,0.010838403708809835,0.1754839049871349,0.01504090488766113,0.12678826681642263,0.011415414764927908,1.0097316317447613,0.1487208339241116,0.2642428442663099,0.005341567199976371,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,800.0,random_uniform,BayPIRE,0.01809064250845934,0.0027880765301389475,0.021968566428965847,0.0036845528331784063,0.013821279468495646,0.0047441050008106295,0.3102768553375244,0.00930543571305967,0.09215391768618227,0.003955491816888023,1.0,0.9789999999999999,0.03956710193526377,0.1144547266652666,0.019401330172684507,0.11433736743847411,0.019388052829488044,0.9960000000000001,0.006992058987801012,0.1297211320754716,0.0167901309385739,0.13020754716981126,0.016142878920814063,1.0,0.0,0.0469259049246321,0.002138865562404023,1.0,0.0,0.04736358490566035,0.0019799314121503203
mmlu:clinical_knowledge,google_gemma_7b,800.0,random_uniform,Bayes-MAP,0.06294362048256741,0.0036115972138602466,0.07715561823723824,0.00503203058708578,0.04851050487134118,0.004593026838156207,0.4646609993803046,0.004416747529507399,0.14620947176242213,0.002535800090049044,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,800.0,random_uniform,PE-Rasch,0.10024050739717508,0.008488772521595038,0.13331627191306641,0.011135280255423523,0.08649472023850212,0.008373104400588662,0.5496153909210606,0.03546805728152955,0.13581012797525818,0.006949030018644461,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,1600.0,random_uniform,Avg,0.09604312778360234,0.009206197235593402,0.12007572047536641,0.011339098928704593,0.08271883538151509,0.008458505552526153,0.7070902499650092,0.02802576866200057,0.24776733151155614,0.0029553291871431808,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,1600.0,random_uniform,BayPIRE,0.015400479799685781,0.0008342530255727479,0.01876052082027089,0.0012504226426292835,0.010915167754111284,0.0013412843995955625,0.25040966717925683,0.006919225478484711,0.07474169483297426,0.0018355020492563526,1.0,0.925,0.05016638981097469,0.0718061578575307,0.012394598145910584,0.071880265652257,0.01255771801929666,0.992,0.00632455532033675,0.09171396226415089,0.009393420695331363,0.09189150943396224,0.009509458139881397,1.0,0.0,0.02656328421322126,0.0010310974375394002,1.0,0.0,0.02712018867924526,0.0009955296623263563
mmlu:clinical_knowledge,google_gemma_7b,1600.0,random_uniform,Bayes-MAP,0.047636097614591214,0.0034898448860758028,0.06003313512514267,0.004104363029404106,0.03401889049022503,0.002852120821869884,0.3767290302479894,0.003782789178716245,0.10990592959871626,0.0019215385042262556,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,google_gemma_7b,1600.0,random_uniform,PE-Rasch,0.05624250269004731,0.004748033728982903,0.07302018268115375,0.007528375962161366,0.04193125278972381,0.004955221106798549,0.3448550870956925,0.02689556334329671,0.09241219366724511,0.0030671975383535477,1.0,,,,,,,,,,,,,,,,,,,,
