benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_chemistry,google_gemma_7b,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.25089999559000004,0.32119308199772933,0.23629999559000003,4.2909264561070275,0.3497448937142858,0.38123095380796995,0.1375,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.11494802449888285,0.1539108316452397,0.09165557362042906,0.5319624807958143,0.14107636508922874,0.02894183954682145,0.0015592594124960895,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06491516372661083,0.083183491795581,0.043164528840818187,0.521673162675718,0.16910034705042465,0.39655963789346704,0.1109853450945234,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,100.66190947114829,0.0010208374469858302,-0.3863227913632543,0.3599373770639048,0.5493249039004854,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.023593998335818697,0.02864279775987835,0.014814943009346469,0.3678159658700328,0.1065106129622466,0.271753287179651,0.06717615858949338,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1532.0,0.0,1000.0,1000.0,4.0,0.97,-0.717,0.381,2.713,1.0,0.23565332947354975,0.23488144638023425,1.0,0.26474249999999994,0.26512499999999983,1.0,0.0939789646819974,1.0,0.09550500000000006
mmlu:college_chemistry,google_gemma_7b,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.293899994806,0.3573023860135839,0.272299994806,5.071923960518419,0.37515305607142857,0.32577918016317425,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.14560588768409896,0.18019539672459584,0.1228981982724256,0.5989285271061149,0.1610593797640807,0.02322698143356843,0.0008798181747475268,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.08190256668386439,0.09574928460487056,0.058679747837596954,0.5314709646109473,0.1735503417108176,0.382703876669009,0.10407510348336785,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,99.11995309414222,0.0015104147685502628,-0.29567904920081023,0.39632597889434656,0.5468735901949716,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.028947139488064596,0.03630754835241384,0.02026401911745566,0.3704692442329553,0.10782472605788092,0.24869779594210825,0.05837699110656438,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1180.0,0.0,1000.0,1000.0,4.0,0.97,-0.574,0.471,2.91,1.0,0.2721863232616,0.27012385963557084,1.0,0.2956449999999998,0.29999999999999993,1.0,0.08989564704078318,1.0,0.09141749999999987
mmlu:college_chemistry,google_gemma_7b,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.2590999954920001,0.32705503481787296,0.24129999549200004,4.402413646238453,0.35367346501428576,0.3742994821023705,0.13500000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.11853497211349578,0.16043387368057868,0.09406751181218315,0.5991113472506646,0.1544125831686505,0.026173001885392337,0.0011732257656057387,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
