experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0255050000328846,0.0024599658799486,0.3617549262989378,0.1048309706202197,0.0188250159665423,1.0,0.999,0.2201889338667471,1.0,0.0880899334206847,1.0,0.2480062499999999,1.0,0.0896134999999999
balanced,200.0,Bayes-MAP,0.072276008334564,0.0058024124595629,0.5238428106940842,0.1700099754356905,0.0499493177051484,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1193940132306581,0.0115469146582021,0.567745556368461,0.1493591518471007,0.0960542393333025,1.0,,,,,,,,
balanced,200.0,Avg,0.2737799951784,0.0188500983390189,4.697707730181958,0.3629081585471428,0.2553199951784,,,,,,,,,
balanced,400.0,BayPIRE,0.024668551811377,0.002006421865919,0.3140802431687318,0.0929212241238198,0.0167015505898871,1.0,0.977,0.1555604807431893,1.0,0.0560590275671478,0.999,0.1880857499999999,1.0,0.0571882499999999
balanced,400.0,Bayes-MAP,0.066251210803068,0.0077401602531528,0.4501047723236134,0.1380852054889539,0.0458848296423692,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1059844230275757,0.011855141475139,0.63560636651136,0.147854288835521,0.0845679655073399,1.0,,,,,,,,
balanced,400.0,Avg,0.2004899986943999,0.0161079307882783,1.8034248227070429,0.3048541654264584,0.1830299986944,,,,,,,,,
balanced,800.0,BayPIRE,0.0248711631623016,0.0028496438239275,0.2718780716099334,0.0824309102049969,0.0172415461217767,1.0,0.884,0.1084706366946344,0.7,0.0353320973946645,0.983,0.1485592499999999,0.7,0.0368344999999999
balanced,800.0,Bayes-MAP,0.0526820482506784,0.0046646323894389,0.3706785811991648,0.1071371469669648,0.032396887949889,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0823496538477048,0.0079286272977095,0.4551538848087174,0.1174564142442301,0.0638178205499345,1.0,,,,,,,,
balanced,800.0,Avg,0.1327149998436,0.008490911758589,0.872619991583519,0.2741691574586956,0.1134949998436,,,,,,,,,
balanced,1600.0,BayPIRE,0.021069798245102,0.0007781479295015,0.2511440260683028,0.0776072621034193,0.0125503294703199,1.0,0.768,0.0683130697576458,1.0,0.0219742410908178,0.975,0.1164452499999999,1.0,0.02387275
balanced,1600.0,Bayes-MAP,0.0384650764352518,0.003486797310109,0.3137417067179053,0.0888074183676066,0.0193359273756849,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0511616515140143,0.0048772552301836,0.3122364694465909,0.0925191521295216,0.0331341020045133,1.0,,,,,,,,
balanced,1600.0,Avg,0.08879,0.0084098421176883,0.7159294771578933,0.2594471726190476,0.07119,,,,,,,,,
random,200.0,BayPIRE,0.0279842569079244,0.0038720485572198,0.4129642154320398,0.1272463455754889,0.020170598179337,1.0,0.996,0.2441309909431131,1.0,0.1127421387204173,1.0,0.2705074999999998,1.0,0.11303875
random,200.0,Bayes-MAP,0.0670211007822896,0.0074891707659379,0.5432276755968491,0.1797175649329279,0.0451115152155199,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1229631828787762,0.0198930901620141,0.6490336809227815,0.1749581659600534,0.0993248591425447,1.0,,,,,,,,
random,200.0,Avg,0.2809349952755,0.0133126861731379,4.657185410188767,0.3673891591787302,0.2593449952755,,,,,,,,,
random,400.0,BayPIRE,0.0265285327021916,0.0039613374696364,0.3247889292780891,0.0969595960385593,0.0201397916388274,1.0,0.961,0.1532317306830001,1.0,0.0674626878737108,0.996,0.1871639999999999,1.0,0.0684182499999999
random,400.0,Bayes-MAP,0.0626726885632096,0.0042479163214856,0.4617927322402024,0.1437282097222577,0.0409975729508148,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1051570206217511,0.0088460327908537,0.6052598453879957,0.1472628238953917,0.0840099338267667,1.0,,,,,,,,
random,400.0,Avg,0.2180825048730072,0.0157027169648733,2.7268658285676106,0.3238261147595677,0.1976517905872929,,,,,,,,,
random,800.0,BayPIRE,0.0244673227927562,0.0015697222225399,0.2765320770745929,0.0833216410737038,0.0154944573633294,1.0,0.919,0.1118274982795023,1.0,0.0387444952138284,0.989,0.1492514999999999,1.0,0.03999525
random,800.0,Bayes-MAP,0.0546092649163443,0.0043320065814724,0.3800111208398184,0.1111054019582939,0.0340413378978724,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0843024137568019,0.005180639979176,0.4671234680794007,0.1189785910990306,0.0657474395819961,1.0,,,,,,,,
random,800.0,Avg,0.141699521989382,0.0086509976159797,1.0293065596398607,0.2784198347728198,0.1212468411734659,,,,,,,,,
random,1600.0,BayPIRE,0.0219992567659796,0.0017638091499509,0.2499017499859535,0.077199429507397,0.011990289270102,1.0,0.792,0.0749333510385649,1.0,0.0236399896614029,0.978,0.1217252499999999,1.0,0.0256529999999999
random,1600.0,Bayes-MAP,0.0411510044245453,0.005055013572855,0.3169254633012563,0.0901080839631247,0.0211433905358208,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0583357314593068,0.0043981684864391,0.3209979112720257,0.0958926443009517,0.0395112061894461,1.0,,,,,,,,
random,1600.0,Avg,0.0913944721443831,0.0108380664395933,0.7266582712995262,0.2608112625118157,0.0712300152699135,,,,,,,,,
