benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_chemistry,google_gemma_7b,200.0,random_uniform,Avg,0.28093499527550003,0.013312686173137925,0.34691938782332166,0.012530603357087298,0.25934499527550003,0.013080918486331968,4.657185410188767,0.27258728459050047,0.3673891591787302,0.008915944921426418,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,random_uniform,BayPIRE,0.027984256907924488,0.003872048557219821,0.034663052595983235,0.004480096249233649,0.020170598179337033,0.007162323876531901,0.41296421543203987,0.01962571469863434,0.12724634557548897,0.007481380730493536,1.0,0.9960000000000001,0.006992058987801002,0.24413099094311314,0.04927897579266988,0.24422583865321398,0.04979184709515462,1.0,0.0,0.27050749999999985,0.04545718651165685,0.2690749999999997,0.046298105612792954,1.0,0.0,0.11274213872041734,0.005349614818764855,1.0,0.0,0.11303875,0.004990731444109364
mmlu:college_chemistry,google_gemma_7b,200.0,random_uniform,Bayes-MAP,0.06702110078228965,0.007489170765937969,0.08220021580358251,0.007596420557020221,0.04511151521551994,0.006448817094368203,0.5432276755968491,0.011344114235790393,0.17971756493292798,0.005479191051762545,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,200.0,random_uniform,PE-Rasch,0.12296318287877621,0.019893090162014106,0.163189670597838,0.01977532399165105,0.09932485914254478,0.020356960478188395,0.6490336809227815,0.061386084362797765,0.17495816596005348,0.01520476958331779,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,400.0,random_uniform,Avg,0.21808250487300723,0.01570271696487334,0.27505241068780273,0.01761673662894211,0.19765179058729293,0.01627277937748695,2.7268658285676106,0.39051330054386607,0.3238261147595677,0.010386502491239817,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,400.0,random_uniform,BayPIRE,0.026528532702191694,0.003961337469636488,0.033004059280165546,0.004417641652089002,0.020139791638827474,0.006066238084081876,0.32478892927808917,0.01574877675445581,0.09695959603855939,0.00589950884966183,1.0,0.961,0.03212821536005731,0.15323173068300017,0.02645444089825744,0.15328875409154702,0.02675878124713904,0.9960000000000001,0.006992058987801016,0.1871639999999999,0.02246329618016414,0.188,0.022997584414213783,1.0,0.0,0.06746268787371087,0.004305382758721356,1.0,0.0,0.06841824999999994,0.004415117346181767
mmlu:college_chemistry,google_gemma_7b,400.0,random_uniform,Bayes-MAP,0.0626726885632096,0.0042479163214856255,0.07830811902044499,0.004247754427603194,0.04099757295081482,0.004415325745890516,0.4617927322402024,0.008231200969236028,0.1437282097222577,0.003990878265979131,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,400.0,random_uniform,PE-Rasch,0.10515702062175114,0.008846032790853754,0.14347998853562827,0.00874247178799314,0.08400993382676675,0.009693634225111507,0.6052598453879957,0.055149259646203846,0.14726282389539175,0.009662040588448292,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,800.0,random_uniform,Avg,0.14169952198938207,0.008650997615979712,0.17591893957255125,0.009339789685239344,0.12124684117346596,0.009706089372930085,1.0293065596398607,0.1324376434720859,0.27841983477281984,0.003886190895530941,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,800.0,random_uniform,BayPIRE,0.02446732279275627,0.0015697222225399272,0.030076036144942468,0.0021518046716486206,0.015494457363329467,0.004758913885187907,0.27653207707459293,0.0054808867740837085,0.0833216410737038,0.002231538101070532,1.0,0.9189999999999999,0.050210667303981445,0.11182749827950236,0.022732878115071277,0.11236801332182031,0.023248796419019873,0.9890000000000001,0.013703203194062992,0.14925149999999993,0.017597207133204066,0.149,0.01852925614624973,1.0,0.0,0.038744495213828466,0.0015325676564659496,1.0,0.0,0.03999525000000002,0.0013344232264249204
mmlu:college_chemistry,google_gemma_7b,800.0,random_uniform,Bayes-MAP,0.05460926491634434,0.004332006581472438,0.06717520906188502,0.004892989362080767,0.03404133789787246,0.005634468219739713,0.3800111208398184,0.00766131840896758,0.11110540195829392,0.0034227766702534606,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,800.0,random_uniform,PE-Rasch,0.08430241375680196,0.0051806399791760145,0.107994497798236,0.006798348012488761,0.0657474395819961,0.006430851904104964,0.4671234680794007,0.033787651663926686,0.11897859109903061,0.006896634646615701,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,1600.0,random_uniform,Avg,0.09139447214438318,0.010838066439593364,0.1159655958992454,0.011417590003042537,0.07123001526991352,0.010682213473020992,0.7266582712995262,0.02244547315001371,0.2608112625118157,0.003551378370918647,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,google_gemma_7b,1600.0,random_uniform,BayPIRE,0.0219992567659796,0.0017638091499509706,0.02736369745567142,0.0019951112871150955,0.011990289270102084,0.0025201293939876917,0.24990174998595358,0.002062824205834187,0.07719942950739705,0.0009178018953128464,1.0,0.792,0.10517709932405545,0.07493335103856498,0.016702275456520477,0.07511387313502908,0.01689810130210694,0.978,0.017511900715418277,0.12172524999999994,0.010272077744086417,0.121,0.009944289260117535,1.0,0.0,0.023639989661402988,0.0008593978395700787,1.0,0.0,0.02565299999999997,0.000759169685321466
mmlu:college_chemistry,google_gemma_7b,1600.0,random_uniform,Bayes-MAP,0.04115100442454538,0.005055013572855061,0.051384360491413615,0.005423730317486936,0.02114339053582086,0.005351582738886519,0.3169254633012563,0.0032953724141596037,0.09010808396312477,0.0013114608184795395,1.0,,,,,,,,,,,,,,,,,,,,
