benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_computer_science,google_gemma_7b,200.0,two_way_balanced,Avg,0.2611999951,0.028316661215004396,0.3496240232111442,0.022950128698873182,0.23187999510000004,0.02532832351767308,4.975803442793554,0.5158923264997072,0.37630611742285713,0.01618225950498498,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,two_way_balanced,BayPIRE,0.038017736829677275,0.008777135616909952,0.0474184892998548,0.008958135116713917,0.02448204032394907,0.013771495963217185,0.472885602637166,0.018016731861064842,0.14963427858811812,0.007541489568106176,1.0,0.991,0.01523883926754995,0.31819905418206934,0.0681694425364621,0.3180068291589498,0.06851410571324014,0.9970000000000001,0.00674948557710555,0.3420232499999999,0.0641805486071433,0.3420374999999999,0.06405607488104996,0.9,0.31622776601683794,0.09834191623713359,0.005280599723218794,0.9,0.31622776601683794,0.09933974999999995,0.005122286876700878
mmlu:college_computer_science,google_gemma_7b,200.0,two_way_balanced,Bayes-MAP,0.08035283582312976,0.009188929548571487,0.09858713325330516,0.00847610893907508,0.05229894286560307,0.009118209317269657,0.5754291442915063,0.010326337295344785,0.19379222005055438,0.004963298112304627,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,two_way_balanced,PE-Rasch,0.14938560086908165,0.023520442176912706,0.1872412042842736,0.023811452831497933,0.12265868491874221,0.021731265892745058,0.8304464623327951,0.06998935471623777,0.21231333902153318,0.016993507409389774,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,400.0,two_way_balanced,Avg,0.19481999877120004,0.010137696323223632,0.2485362361274571,0.008546482549036925,0.1666799987712,0.011323996012627735,1.8818248190163467,0.16989650645616625,0.31556249869354164,0.00458857796597974,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,400.0,two_way_balanced,BayPIRE,0.033481588823821615,0.0041579199670220245,0.042416903097550515,0.004774806092825085,0.01927997975580565,0.009474466370798086,0.41410551957036174,0.008756245871195138,0.130073240936001,0.00343143627079225,1.0,0.966,0.03238655413730965,0.21857670236232402,0.04412742213695851,0.218617252364319,0.04395221644671498,0.99,0.01563471919941145,0.24900724999999985,0.03995596799481621,0.24802499999999994,0.03906697418820957,1.0,0.0,0.06385694915117854,0.0021428280779407748,1.0,0.0,0.06508574999999998,0.00265161089664796
mmlu:college_computer_science,google_gemma_7b,400.0,two_way_balanced,Bayes-MAP,0.07642959558468217,0.004237287432333901,0.09481822771746393,0.004723436803293176,0.04969492290499604,0.0038243882459635795,0.5113664798080618,0.0065973038636937195,0.16541670041563813,0.002972584771345387,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,400.0,two_way_balanced,PE-Rasch,0.1408454037360431,0.008502786331192856,0.17948942369502957,0.007144979523913495,0.11507073402738166,0.010426478429864789,0.956166914541883,0.04246890737444777,0.20750135755411359,0.007669532144824561,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,800.0,two_way_balanced,Avg,0.1356199999632,0.008043603369681195,0.17047915234811006,0.00959505527364544,0.10773999996319998,0.009675306454391106,0.80790326414428,0.06592803718071799,0.2827065216947826,0.00390497468202103,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,800.0,two_way_balanced,BayPIRE,0.030249673751208257,0.0017096313371601636,0.038597889228199934,0.0020439530729009794,0.01643572848509739,0.0038609431596389886,0.37308141708872034,0.006292429763358117,0.11798330611239541,0.002216250477723819,1.0,0.89,0.055777335102271675,0.13788903494292673,0.02933127728444896,0.13779648412695894,0.02920750869208646,0.9810000000000001,0.01370320319406299,0.18163749999999992,0.02138277019263666,0.18202499999999983,0.021509833022751793,1.0,0.0,0.04143477220394365,0.0011289273022926285,1.0,0.0,0.04328275,0.0012589962106111887
