experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0380177368296772,0.0087771356169099,0.472885602637166,0.1496342785881181,0.024482040323949,1.0,0.991,0.3181990541820693,0.9,0.0983419162371335,0.997,0.3420232499999999,0.9,0.0993397499999999
balanced,200.0,Bayes-MAP,0.0803528358231297,0.0091889295485714,0.5754291442915063,0.1937922200505543,0.052298942865603,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1493856008690816,0.0235204421769127,0.8304464623327951,0.2123133390215331,0.1226586849187422,1.0,,,,,,,,
balanced,200.0,Avg,0.2611999951,0.0283166612150043,4.975803442793554,0.3763061174228571,0.2318799951,,,,,,,,,
balanced,400.0,BayPIRE,0.0334815888238216,0.004157919967022,0.4141055195703617,0.130073240936001,0.0192799797558056,1.0,0.966,0.218576702362324,1.0,0.0638569491511785,0.99,0.2490072499999998,1.0,0.0650857499999999
balanced,400.0,Bayes-MAP,0.0764295955846821,0.0042372874323339,0.5113664798080618,0.1654167004156381,0.049694922904996,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1408454037360431,0.0085027863311928,0.956166914541883,0.2075013575541135,0.1150707340273816,1.0,,,,,,,,
balanced,400.0,Avg,0.1948199987712,0.0101376963232236,1.881824819016347,0.3155624986935416,0.1666799987712,,,,,,,,,
balanced,800.0,BayPIRE,0.0302496737512082,0.0017096313371601,0.3730814170887203,0.1179833061123954,0.0164357284850973,1.0,0.89,0.1378890349429267,1.0,0.0414347722039436,0.981,0.1816374999999999,1.0,0.04328275
balanced,800.0,Bayes-MAP,0.0636330612400354,0.0043319009679005,0.4447594232508488,0.1385059393113273,0.0347629617932113,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.10171795180314,0.0069683548060589,0.58128038573216,0.1570554776813527,0.0749247052912353,1.0,,,,,,,,
balanced,800.0,Avg,0.1356199999632,0.0080436033696811,0.80790326414428,0.2827065216947826,0.1077399999631999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0278774711006644,0.0004069393573801,0.3522206665931371,0.11207598362796,0.015417704228882,1.0,0.773,0.0876012980942334,1.0,0.0266406904881847,0.959,0.1443564999999999,1.0,0.02902325
balanced,1600.0,Bayes-MAP,0.0485635225668005,0.0036055061914785,0.3964841253086769,0.1221554730437658,0.0225449541355641,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0619285943292762,0.0045945919893805,0.4116130444403789,0.1266743477649206,0.0384967225749235,1.0,,,,,,,,
balanced,1600.0,Avg,0.09098,0.0090515790519297,0.7291283919599488,0.2663872767857143,0.0648099999999999,,,,,,,,,
random,200.0,BayPIRE,0.0411858813226824,0.0166110046115534,0.5017384024851241,0.163550960447618,0.0322028818113009,1.0,0.977,0.2781012506021657,0.9,0.1192574256241258,0.991,0.3059997499999998,0.9,0.1203244999999999
random,200.0,Bayes-MAP,0.0771690093920366,0.0093894215753847,0.5876633508620371,0.199841212841667,0.0485909705716478,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1529919730136286,0.0144087506042273,0.913778246803662,0.2328804279964905,0.1222542517298696,1.0,,,,,,,,
random,200.0,Avg,0.2838983287353334,0.0208949594178438,4.775495930618489,0.3795062055529705,0.2529783287353334,,,,,,,,,
random,400.0,BayPIRE,0.0355059201617126,0.0065308720907532,0.4234583770529504,0.1338307836961615,0.0227017649298219,1.0,0.962,0.2294038278775527,0.9,0.0754900325870334,0.989,0.2606794999999998,0.9,0.0763684999999999
random,400.0,Bayes-MAP,0.0752616880430116,0.0079472610258892,0.5197274260084066,0.1695428922025337,0.046264314147878,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1380478499212644,0.0153784169339407,0.9069075881126136,0.2055676112578945,0.1122769111209463,1.0,,,,,,,,
random,400.0,Avg,0.2204330100878123,0.0229617045031201,2.686817021893805,0.3313430890450951,0.1914141211989233,,,,,,,,,
random,800.0,BayPIRE,0.0302317783234529,0.0034724009499367,0.3785056264590482,0.1195706573676129,0.0192983561807268,1.0,0.917,0.1415812235166433,0.9,0.0457163935813325,0.982,0.1844689999999998,1.0,0.0473344999999999
random,800.0,Bayes-MAP,0.0638660378660639,0.0027757585967258,0.4534673846931765,0.1423675333298043,0.0377295985417716,1.0,,,,,,,,
random,800.0,PE-Rasch,0.1038162522653354,0.0046424005577128,0.6126289586617579,0.1614863095735695,0.0810362773653902,1.0,,,,,,,,
random,800.0,Avg,0.1422968313179876,0.0053798280449814,1.0474094539105545,0.2866464178228899,0.1153278602890166,,,,,,,,,
random,1600.0,BayPIRE,0.0265920873258459,0.0016928836476953,0.3535857159888697,0.1127112204684119,0.0173941205347202,1.0,0.783,0.0872459566325366,0.9,0.0280573259007639,0.961,0.1438969999999999,1.0,0.0301212499999999
random,1600.0,Bayes-MAP,0.0458221158816413,0.0034087846663018,0.3987778216583984,0.1229292684093542,0.024565205553101,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0603295782702284,0.00407409453282,0.4110547907831711,0.1270288516167993,0.0412072996311412,1.0,,,,,,,,
random,1600.0,Avg,0.0917394385336897,0.0068949394427187,0.7309335570700919,0.2670073995566446,0.069099844997524,,,,,,,,,
