benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,google_gemma_7b,200.0,0,random_uniform,Avg,100,100,200,10000,0.2643333292873334,0.3391114145583065,0.23363332928733332,4.307956698858454,0.3676825354723356,0.463101715659537,0.16183333333333338,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.14625459817741457,0.19085131378742232,0.11620644484871794,0.963413815447651,0.23754087019990813,0.043484663612657154,0.004377803066796097,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06631570884164566,0.08144991823894117,0.035961777237188075,0.5824844963591406,0.1974334775244696,0.42213757999745755,0.12247039306620526,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,104.13615321501592,0.0014409877043201637,0.022746262632769076,0.3102961126263275,0.5494275290422432,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.030440925408023616,0.03844696557395364,0.0213906534613813,0.5072850707143242,0.16723855596153045,0.33307571896631916,0.0923992866385722,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1865.0,0.0,1000.0,1000.0,4.0,0.97,-0.005,0.299,2.404,1.0,0.2292223183137043,0.22947294616766933,1.0,0.26732749999999994,0.27,1.0,0.12617742020029094,1.0,0.12661750000000005
mmlu:college_computer_science,google_gemma_7b,200.0,1,random_uniform,Avg,100,100,200,10000,0.30866666155666667,0.3708743354787142,0.28186666155666673,5.192189456111717,0.39153072036848074,0.34653005446042484,0.12083333333333339,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.1598937386629636,0.20011592432864647,0.1318998200703924,0.9175754147148371,0.2416273401835126,0.027521320266553705,0.0020566404125388384,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.0826605830679693,0.09835081020968635,0.055457562683555575,0.5953517437355077,0.20380878236292868,0.3615313966070811,0.09605970836595977,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,95.26613907920469,0.0005141930304162813,-0.14334004959882385,0.38812383974043174,0.559638665288922,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.03945075495714124,0.04889030538768565,0.02851059088602908,0.5136536890870742,0.1698173689097459,0.24328376150535397,0.058760508688607375,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,903.0,0.0,1000.0,1000.0,4.0,0.97,-0.281,0.639,2.922,1.0,0.34784582105725853,0.3514018422735123,1.0,0.36647249999999976,0.37,1.0,0.11940085438728493,1.0,0.12150500000000014
mmlu:college_computer_science,google_gemma_7b,200.0,2,random_uniform,Avg,100,100,200,10000,0.2551833292983334,0.3357046839443992,0.22458332929833333,4.308125666796419,0.36549486539818593,0.43742092670030297,0.15408333333333338,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.12625675613970896,0.1780574600350403,0.09420505491904801,0.8734203870924394,0.218592030150637,0.0328040426798111,0.002320228524384054,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
