benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,google_gemma_7b,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.272499995002,0.3116680863367311,0.248899995002,4.136557948064277,0.3286224448571428,0.3396421235743732,0.12250000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.16150336035847318,0.19956818205155266,0.1354281733423085,1.0925278086164807,0.25617505196238916,0.028132057001939107,0.0012087854915149424,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07409609134587457,0.0917623978100587,0.04531105855201936,0.5953378646100959,0.20369826277921155,0.38707313926583375,0.11157590188599867,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,96.30781036906698,0.0052493417732709215,-0.8087823893732616,0.37751796845970875,0.4890405277960254,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.03908130159902098,0.04849097804082469,0.029342667621394675,0.5583132053477619,0.1865968225984628,0.3734224492281082,0.10747202716632998,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,825.0,0.0,1000.0,1000.0,4.0,0.97,-1.131,0.45,1.688,0.99,0.32648018684975655,0.3238696303975521,1.0,0.35265249999999976,0.35,1.0,0.10542895734548668,1.0,0.10400500000000001
mmlu:college_mathematics,google_gemma_7b,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.29149999451200004,0.3326213996891963,0.267899994512,4.590612527278413,0.3426530565714286,0.30498476504637595,0.11000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.1869174017019066,0.22275574545194968,0.16050798600426391,1.0903282468762707,0.2617749757439694,0.03693887105567864,0.0026686911304218968,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.08038935935740195,0.09534401373381933,0.04932142800762336,0.5855544386104442,0.20010500985584984,0.3944939901835097,0.11488615316725151,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,97.26301800496196,0.006587063319645155,-0.7846616592640069,0.4010429804484432,0.4584308780586893,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.04154823138190676,0.050061583723791776,0.023963315699865102,0.5600089090812359,0.18834578331746937,0.4426333568021566,0.1356700685761395,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,695.0,0.0,1000.0,1000.0,4.0,0.97,-0.951,0.493,1.178,1.0,0.40137778468399304,0.3954080423509748,1.0,0.42705999999999983,0.42000000000000004,1.0,0.11363225617404027,1.0,0.11510249999999994
mmlu:college_mathematics,google_gemma_7b,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.30429999431599997,0.345017384009212,0.27789999431600004,4.828624197922995,0.3513265256857143,0.2911218216351771,0.10500000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.18587650381901252,0.22791262167437784,0.15699387749903587,0.9637529007342333,0.24408531887783794,0.029198287210871775,0.001440397243180121,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
