benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,google_gemma_7b,200.0,0,random_uniform,Avg,100,100,200,10000,0.2820333284163334,0.3510441503872413,0.2572666617496667,4.622518383483209,0.3551190429721089,0.3691129852218429,0.12891666666666668,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.17349520265483714,0.21978162659033712,0.14791575452243244,1.096281788697334,0.2751739071033702,0.03970285063238265,0.0039917109519696506,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.07353808059047688,0.09639374880998691,0.04661990806805254,0.5883282636165328,0.20103082943539452,0.3859603921778559,0.10857603586629443,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,97.49544802479258,0.0013215597048737999,-0.48692229940842174,0.3802894630439942,0.5153144737379338,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.048190210347816204,0.06079006753490948,0.0387954308580153,0.5483312683632627,0.18411698863911843,0.32712870603762506,0.0885242370164183,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,695.0,0.0,1000.0,1000.0,4.0,0.97,-0.791,0.727,2.113,0.99,0.43042541695914394,0.4324196827128751,0.99,0.4507699999999998,0.44999999999999996,1.0,0.12103857215871389,1.0,0.12101250000000002
mmlu:college_mathematics,google_gemma_7b,200.0,1,random_uniform,Avg,100,100,200,10000,0.2542833284193333,0.3236667031392462,0.23028332841933336,4.3230356465464155,0.3362753074628118,0.36640721932635445,0.1286666666666667,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.16291736783022195,0.2135784752947219,0.13608563924225436,1.0371595857785805,0.25738474801607397,0.06429300864885451,0.013335468027968396,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06518423138247538,0.08126960702109083,0.04066057188690824,0.5852586523356251,0.19965482877248972,0.3861048740037677,0.11054376726493496,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,96.17008170722683,0.004564501193131181,-0.6955355438935451,0.36193997240187836,0.501806433276069,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.02921880391178679,0.035499848240403316,0.015772558762495392,0.5389536760918829,0.17906281750992176,0.34762556354035284,0.09875400235091882,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1581.0,0.0,1000.0,1000.0,4.0,0.97,-1.06,0.404,2.006,1.0,0.2950829027213961,0.29530203356941953,1.0,0.3230524999999998,0.32000000000000006,1.0,0.12169807799527543,1.0,0.12120749999999997
mmlu:college_mathematics,google_gemma_7b,200.0,2,random_uniform,Avg,100,100,200,10000,0.262249995181,0.3340646497647791,0.23461666184766672,4.381247342266333,0.34319271103990934,0.37673667161786184,0.1316666666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.15894503539443047,0.20953682141828983,0.1342449726907288,1.042770237035188,0.25645406648729163,0.034940760830315505,0.0026672870838935327,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
