experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.028457929662326,0.0031512606649994,0.36093848879212,0.1052084136196664,0.0193684890715423,1.0,1.0,0.2516761686299833,1.0,0.0875401763488415,1.0,0.2760642156862743,1.0,0.0891235294117646
balanced,200.0,Bayes-MAP,0.0727584975053929,0.004397256549119,0.5037059030951605,0.1633211830839083,0.0479569279773859,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1208388662529195,0.0142753313710078,0.5414441616752761,0.1447874879818721,0.0961205273873755,1.0,,,,,,,,
balanced,200.0,Avg,0.2951078377352941,0.0140221172441555,4.5008227153183045,0.3396899954512,0.2726372495,,,,,,,,,
balanced,400.0,BayPIRE,0.0262793463865127,0.001954630234206,0.3012740696366045,0.0876492768557376,0.0195428227677533,1.0,0.957,0.1421331914832892,1.0,0.0530291481117617,0.997,0.1732122549019606,1.0,0.053533088235294
balanced,400.0,Bayes-MAP,0.0618660088705118,0.0031676121806603,0.4250609958959884,0.1293339295641681,0.0384639686961166,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0899849222488706,0.0057819397142571,0.5452273252096738,0.1277462775010789,0.0653394470962184,1.0,,,,,,,,
balanced,400.0,Avg,0.1890392139280391,0.0093273949026426,1.799337801675696,0.2784821415422449,0.1688823511829411,,,,,,,,,
balanced,800.0,BayPIRE,0.0248373689693353,0.0018093283329669,0.2632356858618739,0.0781639453913597,0.0170793694420015,1.0,0.8779999999999999,0.104993446207122,0.9,0.0347951987022745,0.983,0.142995588235294,0.9,0.0363083333333333
balanced,800.0,Bayes-MAP,0.0519627568212457,0.0020816749432,0.3555751136651831,0.1025576610603196,0.0284593314475455,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0782267821376771,0.005197259927557,0.4329324821467395,0.1098225960079485,0.0563165066190686,1.0,,,,,,,,
balanced,800.0,Avg,0.1325857840464706,0.0065621436314359,0.8782679310607359,0.2544238694751063,0.1096936271837254,,,,,,,,,
balanced,1600.0,BayPIRE,0.0232988316883211,0.001710417076365,0.245428951849998,0.0744348695975716,0.0116749233419254,1.0,0.827,0.0894139898128139,1.0,0.0222598874500888,0.978,0.129179656862745,1.0,0.0239620098039215
balanced,1600.0,Bayes-MAP,0.040823399781398,0.0028787554353198,0.3039207584043405,0.0860336478918626,0.0204046266608902,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0554199152257353,0.003639200526666,0.3171047124374794,0.0913148794089891,0.0367753108996559,1.0,,,,,,,,
balanced,1600.0,Avg,0.0893774509803921,0.0055401579201317,0.6801884401141207,0.2399533066860465,0.0686813725490196,,,,,,,,,
random,200.0,BayPIRE,0.0397587630148268,0.0157324465308428,0.4110073365208549,0.1269960759280935,0.0333072471775754,1.0,0.975,0.2609988005635035,0.9,0.1091362636271488,0.996,0.28565931372549,0.9,0.1098340686274508
random,200.0,Bayes-MAP,0.0727473777942983,0.0116646509369192,0.5257432318761504,0.1735162677912633,0.0523930376554962,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1287352990725486,0.0216765509312506,0.6352525670106539,0.1714395883342842,0.1050090272588609,1.0,,,,,,,,
random,200.0,Avg,0.2709633983545798,0.0261953738363607,4.30895865122743,0.3369767748420612,0.2474888885506582,,,,,,,,,
random,400.0,BayPIRE,0.0298873140348376,0.0074943653645369,0.3156241213672137,0.0921957154122272,0.0233273678383653,1.0,0.924,0.1583538521693361,0.9,0.0648133490650616,0.982,0.1902987745098038,0.9,0.0658906862745097
random,400.0,Bayes-MAP,0.0620005618227113,0.0037697073214593,0.4416907598592334,0.1372114024512591,0.0397358786048386,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1045033736287953,0.013219569915492,0.5845269274549458,0.1412674464554209,0.0812339890392898,1.0,,,,,,,,
random,400.0,Avg,0.203047824140915,0.0113146372800228,2.55544691050672,0.2951240082862369,0.1794644347851727,,,,,,,,,
random,800.0,BayPIRE,0.0259791832569642,0.0034810263047093,0.2679664361043004,0.0795505662527878,0.0205651806417614,1.0,0.834,0.092675867977366,0.9,0.0384374908642742,0.983,0.1351453431372548,0.9,0.039417156862745
random,800.0,Bayes-MAP,0.0487997448617449,0.0058681457045033,0.3597527402465321,0.1043052969945476,0.026948007198453,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0766619203365468,0.0079031366942794,0.4194263589041319,0.1081031861917518,0.0569632044961853,1.0,,,,,,,,
random,800.0,Avg,0.127891146441539,0.0141545821003321,1.0129528996935122,0.2536720875114494,0.1053548435287655,,,,,,,,,
random,1600.0,BayPIRE,0.0229725172557662,0.0007573658492608,0.2471829429162936,0.0750055643523548,0.013848748052421,1.0,0.782,0.0744566357354446,1.0,0.0229775999165141,0.984,0.119542156862745,1.0,0.0249431372549019
random,1600.0,Bayes-MAP,0.0394443588186871,0.002696562756413,0.3063756702886844,0.086860205371682,0.0188287098594962,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0537829897682206,0.0037314981642046,0.3130648980406426,0.0906431183081771,0.0351249941677518,1.0,,,,,,,,
random,1600.0,Avg,0.0898330663027468,0.0062197045359105,0.6945630519493367,0.2406616646525579,0.068268408106962,,,,,,,,,
