benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,google_gemma_7b,200.0,0,random_uniform,Avg,100,102,200,10200,0.2625263256047619,0.32720370142452315,0.23847142364397764,4.169645110167363,0.3344506362641633,0.38691102165496305,0.13386904761904767,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,0,random_uniform,PE-Rasch,100,102,200,10200,0.1473483117754591,0.19809287530852387,0.1270267951629173,0.7557497909582169,0.19823010828527027,0.03140080955647279,0.0021632078355165157,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,0,random_uniform,Bayes-MAP,100,102,200,10200,0.06442505757914474,0.07746632511109225,0.04157253975178497,0.5299286150237379,0.17528712160301635,0.36858999331520115,0.10399670762261104,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,93.20843502275582,0.009342432003837105,-0.7877990240075865,0.3359837719833116,0.5246898967273802,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,0,random_uniform,BayPIRE,100,102,200,10200,0.026324593916416585,0.03247891572301131,0.014076635368507666,0.42988213831234096,0.13282401369476388,0.2837605970344682,0.07563875766253177,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1171.0,0.0,1000.0,1000.0,4.0,0.97,-1.268,0.444,2.477,1.0,0.281555633595596,0.2821087392883418,1.0,0.3077009803921566,0.30416666666666625,1.0,0.11842519806248125,1.0,0.1189240196078431
mmlu:college_physics,google_gemma_7b,200.0,1,random_uniform,Avg,100,102,200,10200,0.23319215233921567,0.277514658703862,0.2124078386137255,3.5088814202182803,0.3037491832606667,0.3893822423901001,0.1365,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,1,random_uniform,PE-Rasch,100,102,200,10200,0.09103905023758319,0.11472154510482185,0.062137158780683766,0.5476935720119229,0.14886655681913982,0.022374110006658753,0.0011835819410275527,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,1,random_uniform,Bayes-MAP,100,102,200,10200,0.07957764769434825,0.09256428806373783,0.07109008323153816,0.5274334301476717,0.17601101420204368,0.3194322081022111,0.08628461919693192,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,83.87425293781678,0.0004595378584132589,-1.080523409451193,0.28011443788101614,0.5647015938169025,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,1,random_uniform,BayPIRE,100,102,200,10200,0.052199522696478186,0.05995205216821552,0.05163615594416031,0.4119311557525971,0.13054814548934682,0.16474885342979434,0.03548139975083055,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2185.0,0.0,1000.0,1000.0,4.0,0.97,-2.218,0.358,3.356,0.89,0.17776443823627963,0.17825997013803158,0.98,0.207860294117647,0.2058823529411765,1.0,0.10510202229645277,1.0,0.10520588235294112
mmlu:college_physics,google_gemma_7b,200.0,2,random_uniform,Avg,100,102,200,10200,0.2636333289098039,0.3285842670328611,0.24069999557647065,4.041469668731015,0.33521981602400003,0.4001473276034829,0.14158333333333337,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,2,random_uniform,PE-Rasch,100,102,200,10200,0.12699240509350923,0.16390275805412768,0.10358142091806691,0.6014835672379566,0.16238011746831443,0.02840528104429166,0.0018793413747355623,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,2,random_uniform,Bayes-MAP,100,102,200,10200,0.06521120984476486,0.08211602981366324,0.04126939731950181,0.5180741780284323,0.16861168745410615,0.36341381473049894,0.09947929349974775,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,93.95013941352761,0.0015795725432750964,-0.5712896628111985,0.3242140735786087,0.5640061016241849,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,2,random_uniform,BayPIRE,100,102,200,10200,0.03650061247884908,0.04424734898870466,0.03187009431631616,0.4038445113821195,0.1232323539486863,0.2362488403204256,0.058343245936987594,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1797.0,0.0,1000.0,1000.0,4.0,0.97,-1.147,0.401,2.92,0.99,0.23625200527518558,0.23732619190214452,1.0,0.262767156862745,0.2647058823529411,1.0,0.11275084067198432,1.0,0.11267156862745092
mmlu:college_physics,google_gemma_7b,200.0,3,random_uniform,Avg,100,102,200,10200,0.2710186222294118,0.33991014862721186,0.24732254379803925,4.558940738448585,0.3431158637273334,0.3800135806190093,0.1329166666666667,0.0196078431372549,0.87,0.9019607843137255,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,3,random_uniform,PE-Rasch,100,102,200,10200,0.11691595262108839,0.15637970611838425,0.09242964355123584,0.5841752416120162,0.16015605172053762,0.029083276723720665,0.0020623092439677328,0.0196078431372549,0.87,0.9019607843137255,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,3,random_uniform,Bayes-MAP,100,102,200,10200,0.059422743690930264,0.0722590929417782,0.03570252791420397,0.511250729222292,0.1669180317952815,0.35835379937280915,0.09911968091883068,0.0196078431372549,0.87,0.9019607843137255,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,91.88323433305536,0.0019026173399726428,-0.7747490862727047,0.31923225649556264,0.5480472515538654,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,3,random_uniform,BayPIRE,100,102,200,10200,0.025069234862428576,0.030682858384061908,0.017801662621966592,0.38677327654299987,0.11650701860822155,0.23913216424924152,0.05951569622693503,0.0196078431372549,0.87,0.9019607843137255,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1257.0,0.0,1000.0,1000.0,4.0,0.97,-1.421,0.389,2.806,1.0,0.22973024074763695,0.2316507519727144,1.0,0.25611519607843125,0.2549019607843137,1.0,0.10649524090210477,1.0,0.10843137254901952
mmlu:college_physics,google_gemma_7b,200.0,4,random_uniform,Avg,100,102,200,10200,0.31338234645882357,0.3627578210097859,0.2929901895960785,5.319386413740425,0.3604096111466667,0.24970004769345877,0.08700000000000006,0.0196078431372549,0.9,0.8235294117647058,False,0,6,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,4,random_uniform,PE-Rasch,100,102,200,10200,0.1600560452859241,0.19852507363661234,0.1367735580654814,0.6043137171380337,0.17856603131010992,0.02094203676852959,0.0008946151705871711,0.0196078431372549,0.9,0.8235294117647058,False,0,6,0,7,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,4,random_uniform,Bayes-MAP,100,102,200,10200,0.08931677014152499,0.10107286422325323,0.07236549593458469,0.5406049652075499,0.18205063765862342,0.3132027411767885,0.08373901954704141,0.0196078431372549,0.9,0.8235294117647058,False,0,6,0,7,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,82.96828286825564,0.0037408204755295235,-1.0081101176725111,0.3889597019327035,0.5042177935838666,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,google_gemma_7b,200.0,4,random_uniform,BayPIRE,100,102,200,10200,0.04258413054834565,0.04979251095131378,0.032134724127193794,0.41520170506089016,0.1298985086708384,0.21250017810605965,0.050726188265045706,0.0196078431372549,0.9,0.8235294117647058,False,0,6,0,7,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,911.0,0.0,1000.0,1000.0,4.0,0.97,-1.759,0.71,2.826,1.0,0.3467963498005217,0.3475991966736778,1.0,0.36310784313725447,0.36274509803921573,1.0,0.10961271084247737,1.0,0.10893137254901947
