experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.029497653127617,0.0040664816594872,0.3786720807714122,0.1130418851836623,0.0206772611902441,1.0,0.997,0.2447121479541825,1.0,0.0875122766339637,1.0,0.2696162499999998,1.0,0.0883402499999999
balanced,200.0,Bayes-MAP,0.0686811466983629,0.0043969417239757,0.4899507687258399,0.1588181105000795,0.0440359780004442,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1187983615627215,0.0171507285923098,0.5945029174496237,0.1548130557417618,0.0941391705220341,1.0,,,,,,,,
balanced,200.0,Avg,0.2895399942572,0.0142495375784488,4.14271216173877,0.3128163223442857,0.2664599942572,,,,,,,,,
balanced,400.0,BayPIRE,0.0278120391812102,0.002939799724493,0.3210237788702608,0.095580316564339,0.0187667673082892,1.0,0.978,0.1671382222568596,0.9,0.0567341749156644,0.996,0.1990167499999999,0.9,0.0576669999999999
balanced,400.0,Bayes-MAP,0.0613527787286317,0.0040805539036383,0.4233216399545131,0.1303746815389594,0.0359927792297604,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1069135104281022,0.0098439845302616,0.6652592179012327,0.1527146038818405,0.0836436325023725,1.0,,,,,,,,
balanced,400.0,Avg,0.1746599977728,0.0110803327771479,1.872208835963987,0.2603749985375,0.1550599977728,,,,,,,,,
balanced,800.0,BayPIRE,0.0258593131125328,0.0027951653284523,0.2929424751832309,0.0886693123466991,0.0163441376108547,1.0,0.909,0.1181401793551483,0.9,0.0374903411889443,0.99,0.1572472499999999,0.9,0.0389359999999999
balanced,800.0,Bayes-MAP,0.0526143230808363,0.0044315539834522,0.3663540874989148,0.1087764255982943,0.029974867571449,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0878863642988267,0.0042663321450644,0.4786630934496209,0.1237147569201516,0.0666633412065296,1.0,,,,,,,,
balanced,800.0,Avg,0.1242549995492,0.0116644151203101,0.9097152507926228,0.2348919833952173,0.1050949995492,,,,,,,,,
balanced,1600.0,BayPIRE,0.0239048002591746,0.0016666652321203,0.2738306131829014,0.0843785492472247,0.0141127652573315,1.0,0.812,0.0824795376120826,0.8,0.023921054041908,0.984,0.1290242499999999,0.9,0.0261422499999999
balanced,1600.0,Bayes-MAP,0.0401877803181168,0.0028100422833836,0.3213531127540905,0.0941180417742614,0.0207554274212717,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0545680032194457,0.0052750381818075,0.3338387257980805,0.0983305188916016,0.0360472490470401,1.0,,,,,,,,
balanced,1600.0,Avg,0.0827649999916,0.0051713177807522,0.648570700167826,0.2217771577319047,0.0624949999916,,,,,,,,,
random,200.0,BayPIRE,0.0318060196805563,0.0098248668510703,0.4132137001079778,0.1274162501106332,0.0250462069379013,1.0,0.992,0.2351304908892372,1.0,0.1080448415024434,0.999,0.2620199999999998,1.0,0.1085817499999999
random,200.0,Bayes-MAP,0.062156622599716,0.0102926725781762,0.502859183034121,0.1641494561360711,0.0407579006319189,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1200041565705209,0.0136648286338044,0.6789192313451042,0.1760229903482094,0.0941192478284519,1.0,,,,,,,,
random,200.0,Avg,0.2518499948283,0.0173012413638665,3.920274328010707,0.3076513736371428,0.2288766614949666,,,,,,,,,
random,400.0,BayPIRE,0.0301896425048653,0.0077356269883178,0.3452679441111954,0.1039756439702926,0.0223101568209599,1.0,0.945,0.1675355537470484,0.9,0.0682727045606002,0.993,0.1990072499999999,0.9,0.0690077499999999
random,400.0,Bayes-MAP,0.0616685119432623,0.0056293527332142,0.4397415259123094,0.1374575456042612,0.0361716942025203,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1114761692937592,0.0079975871064328,0.713903727571796,0.1645434831311741,0.0858110605735427,1.0,,,,,,,,
random,400.0,Avg,0.2031817862032893,0.017443171588604,2.5853486437377513,0.2782959034841452,0.1793070242985274,,,,,,,,,
random,800.0,BayPIRE,0.0265587572252463,0.0029922340095075,0.2992756332068628,0.0905332511121847,0.0167656877351625,1.0,0.908,0.1242077801623954,0.9,0.0406544618699609,0.992,0.1628574999999999,0.9,0.0420654999999999
random,800.0,Bayes-MAP,0.0523111220057261,0.0055652864167708,0.3766648805900239,0.1134050620951007,0.0315506821835031,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0855626939935085,0.0064801976077464,0.4932798139135037,0.1257130230273,0.0649662547896048,1.0,,,,,,,,
random,800.0,Avg,0.1298531269162863,0.0115767037780638,1.1550020939227983,0.2391189061969025,0.1092773293804887,,,,,,,,,
random,1600.0,BayPIRE,0.0230789734304732,0.0010518551257878,0.2735886873006468,0.0843369350698348,0.0146125699293918,1.0,0.765,0.0710497207258634,1.0,0.0246019518415508,0.984,0.1225172499999999,1.0,0.0266132499999999
random,1600.0,Bayes-MAP,0.0389885628266023,0.0034244177916848,0.3217956258568683,0.0941597665945665,0.0178775922850207,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0556189261973407,0.0035031536948366,0.3363893385431591,0.0998457331255353,0.0358667180349763,1.0,,,,,,,,
random,1600.0,Avg,0.0799958942042523,0.0071512668711494,0.6495848863470977,0.2204420940890719,0.0593839758603357,,,,,,,,,
