benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,135,200,13500,0.28248147665407414,0.3211482681748988,0.26440740258000006,3.997475819046944,0.32531954491578946,0.3535050669855721,0.12750000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,135,200,13500,0.1288518545152851,0.16312981771342394,0.10868781034991055,0.4612352521113725,0.12890919722464206,0.02334737856686285,0.0007711902701645501,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,135,200,13500,0.07285938596124084,0.08676173283430733,0.054460430585025574,0.5021976612230131,0.1619482910428719,0.37951515924027746,0.10576233817256796,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.8484246722067,0.00026486382791770916,0.6793709855084015,0.36531469766659397,0.4626235828605273,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,135,200,13500,0.027493742061049393,0.0332287215386085,0.021544786948003065,0.3297666357979966,0.09028450858503072,0.2315496287192977,0.05036139469243053,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1613.0,0.0,1000.0,1000.0,4.0,0.97,1.378,0.398,2.903,0.99,0.23173292948067167,0.23123445052717168,1.0,0.2517518518518517,0.2518518518518519,1.0,0.09434886711590285,1.0,0.09415370370370402
mmlu:anatomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,135,200,13500,0.28607406875407415,0.3227874926948032,0.2711111057911112,4.216275947236504,0.32657894313684216,0.3188477084575749,0.11500000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,135,200,13500,0.11218968685003401,0.14887657347050484,0.09360303489519953,0.4389377365026102,0.12051709601823264,0.022422092495395684,0.0007190887647056254,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,135,200,13500,0.0665241993013933,0.08001712113599256,0.049922937665935,0.5028123417129976,0.16325091769678668,0.3642479725916891,0.10077738388814883,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,93.60865627657014,0.0006542895144352376,0.7953684180701426,0.3720644377800523,0.4555901607596666,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,135,200,13500,0.02050788933823815,0.024934272801518977,0.014198671319022207,0.3228959445996517,0.08777106349971982,0.20835653085805123,0.04293118456412401,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1694.0,0.0,1000.0,1000.0,4.0,0.97,1.628,0.41,3.054,1.0,0.21928061533368656,0.2198480855662559,1.0,0.23863148148148142,0.23703703703703705,1.0,0.08907170323394964,1.0,0.0903018518518518
mmlu:anatomy,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,135,200,13500,0.30918517947111124,0.35072293863854115,0.2911111053970371,4.727320346534553,0.34582706285263165,0.2911218216351771,0.10500000000000004,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,135,200,13500,0.14692177712487417,0.1963406812141737,0.12802955074389621,0.4734428173873485,0.14092720407671175,0.020723242679227493,0.000601610882661072,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
