experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0281209535998058,0.0062273337215576,0.3354808828080928,0.0930274201547429,0.0223942783550468,1.0,0.998,0.2436003190236021,1.0,0.0906528908679331,1.0,0.2617887037037035,1.0,0.0912237037037037
balanced,200.0,Bayes-MAP,0.0731963159228276,0.0055208888696283,0.5064662277564369,0.1646699419864092,0.0542276328888931,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.122508739838143,0.0138582718814549,0.4588158733343778,0.1277033489631766,0.1025656436943003,1.0,,,,,,,,
balanced,200.0,Avg,0.2925148094652593,0.0130467302223742,4.315579500441164,0.3313327024252632,0.2744555502060001,,,,,,,,,
balanced,400.0,BayPIRE,0.0229203975435381,0.0029874129251488,0.244315483033533,0.0671114961482735,0.018776173501797,1.0,0.965,0.1190098327921495,0.9,0.0502235201283489,0.996,0.1441407407407406,0.9,0.0510188888888889
balanced,400.0,Bayes-MAP,0.0645388678511407,0.0062491509223358,0.4231913569707846,0.1285952380153292,0.0435496300641755,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0807981737173045,0.0092918875210392,0.424500648353924,0.1052290309416565,0.0607224677444024,1.0,,,,,,,,
balanced,400.0,Avg,0.1914870349992593,0.0163823181048525,1.948455544988899,0.2764041015441221,0.1719611090733334,,,,,,,,,
balanced,800.0,BayPIRE,0.0204637991083095,0.0010610505012961,0.1999959994085628,0.0570801018175751,0.0151955988544347,1.0,0.893,0.0849193314547612,1.0,0.0314014631070949,0.984,0.1134735185185184,1.0,0.0323903703703704
balanced,800.0,Bayes-MAP,0.0518057763696955,0.0039714778364037,0.3377304975397509,0.0942083859347045,0.0313930855988054,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0657403277480399,0.0056712844232681,0.3473263281124644,0.0858985497827685,0.0467631027131668,1.0,,,,,,,,
balanced,800.0,Avg,0.1370425921504444,0.0105845318155958,0.9603189582682956,0.2505556099149606,0.1185388884467407,,,,,,,,,
balanced,1600.0,BayPIRE,0.0190978440180667,0.0008506502344748,0.1770079664483973,0.0533059773401448,0.013467455389364,1.0,0.8230000000000001,0.0655788893379838,1.0,0.0201835923694068,0.982,0.0967059259259259,1.0,0.0215727777777777
balanced,1600.0,Bayes-MAP,0.0351396864518987,0.0024724727570627,0.2675908505735008,0.0699776074837773,0.0179963352015149,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0470589680048798,0.0029059753630102,0.2366779218361813,0.0686815848825113,0.0322194691298446,1.0,,,,,,,,
balanced,1600.0,Avg,0.0864412037037037,0.0059359864486455,0.668192137868716,0.2341361278886554,0.0690634259259259,,,,,,,,,
random,200.0,BayPIRE,0.0300062992511817,0.0101352330741407,0.3855068616854766,0.1162633912403871,0.0245313791886675,1.0,0.996,0.2239536030874574,1.0,0.1114414984185526,1.0,0.2445762962962962,1.0,0.111887037037037
random,200.0,Bayes-MAP,0.0646696860465799,0.0062281369938696,0.51901999658796,0.1699914886290887,0.0450969813181009,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1293590788697918,0.0188821667341987,0.5641079362512934,0.1618064239379046,0.1081474982907967,1.0,,,,,,,,
random,200.0,Avg,0.2657006035256085,0.020019366275774,4.201221564875009,0.3314711872885468,0.2443539368589419,,,,,,,,,
random,400.0,BayPIRE,0.0209685724759904,0.0010895174361571,0.2702481485530431,0.0761443304783704,0.0162011157361431,1.0,0.989,0.1370679167356047,1.0,0.0666506040663477,0.998,0.1608607407407407,1.0,0.0669844444444444
random,400.0,Bayes-MAP,0.059948134358914,0.0067400795783829,0.4400190754488083,0.1368629931148261,0.0407746989658647,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0878261252449109,0.0093875995738454,0.4467747069063668,0.1149125490593942,0.0674853439760336,1.0,,,,,,,,
random,400.0,Avg,0.2035996146768399,0.0215111802653608,2.549834847485937,0.2874547230822325,0.1841270749943002,,,,,,,,,
random,800.0,BayPIRE,0.020335032035032,0.0011867836048655,0.2080924261525762,0.0591325415683816,0.015409329062952,1.0,0.906,0.0888879341351979,1.0,0.0362586514072726,0.987,0.1163981481481481,1.0,0.0371824074074074
random,800.0,Bayes-MAP,0.0516610709179643,0.0041997344976146,0.3477474877459262,0.0986099814978963,0.0316128602077423,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0694768241765838,0.0073152959397994,0.3586302184940255,0.0892726080325325,0.0512558228319533,1.0,,,,,,,,
random,800.0,Avg,0.1436733392634816,0.0127150705861763,1.1693946137838391,0.2560875438966578,0.1243191545592969,,,,,,,,,
random,1600.0,BayPIRE,0.0197433216766697,0.001828257262298,0.1788981562537544,0.0537561362967513,0.0137779004662182,1.0,0.8119999999999999,0.0649660555297728,0.9,0.0212627444203813,0.968,0.0960559259259258,0.9,0.0226322222222222
random,1600.0,Bayes-MAP,0.036405563545983,0.0036538444316282,0.2724950377600521,0.0719739646331135,0.0193571520029736,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0475965601247754,0.0035470205378501,0.2438981901390228,0.0693315676125162,0.0314256993061911,1.0,,,,,,,,
random,1600.0,Avg,0.0896484020919552,0.0079528407950246,0.7046436280307,0.2355921327237578,0.0722373635984595,,,,,,,,,
