experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0230292922498915,0.0079101987742011,0.3535711781875684,0.098009613429203,0.0163788844668816,1.0,1.0,0.2772917181207351,1.0,0.0965816960341015,1.0,0.2931120065789472,1.0,0.0973378289473683
balanced,200.0,Bayes-MAP,0.0763673525119622,0.0058139286790126,0.5328861133995657,0.1759745104173811,0.0628734724852562,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1358606275132924,0.012985608974531,0.4673094433982686,0.1333702862928861,0.1225060237041761,1.0,,,,,,,,
balanced,200.0,Avg,0.2964999946611842,0.0163638753757393,4.643207592336704,0.3495433286374667,0.2834605209769737,,,,,,,,,
balanced,400.0,BayPIRE,0.0173558151448974,0.0025615254966331,0.2482240079454823,0.0671564478335583,0.0135938759686611,1.0,0.992,0.1258142986337522,1.0,0.052811188694924,1.0,0.1489546052631578,1.0,0.0533541118421051
balanced,400.0,Bayes-MAP,0.0661954056208166,0.0044772655161544,0.4461383195689007,0.1369936462063581,0.0529197898950763,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0792553694554385,0.0109934341601572,0.3979360428585297,0.0992180134147968,0.065621463196693,1.0,,,,,,,,
balanced,400.0,Avg,0.1923157880423684,0.0116452858093083,1.6522508503922473,0.2831165529394595,0.1793552617265789,,,,,,,,,
balanced,800.0,BayPIRE,0.0135409643555039,0.0006351166593257,0.2037744046753666,0.05682664225823,0.0086270904965348,1.0,0.964,0.0837074484067865,1.0,0.0322269404657141,0.999,0.1111508223684209,1.0,0.0331560855263157
balanced,800.0,Bayes-MAP,0.0523594056434909,0.004061174917631,0.356462347501947,0.0999671364684662,0.0399606485779467,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0638757655579658,0.0036495084665193,0.3361617575213882,0.0827878138542926,0.0513980598606803,1.0,,,,,,,,
balanced,800.0,Avg,0.1313026313421052,0.0115195178320513,0.8761040907508683,0.2604184025891666,0.1192499997631579,,,,,,,,,
balanced,1600.0,BayPIRE,0.0134301626118398,0.0007418931039715,0.1791013063731393,0.0523650607001848,0.008075871754181,0.9,0.874,0.0564143838199953,1.0,0.0206078591534711,0.997,0.0879374999999999,1.0,0.0216136513157893
balanced,1600.0,Bayes-MAP,0.0372719752325642,0.0027936909524119,0.2802670080889299,0.0728768182872055,0.0253856284471537,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0475410610480986,0.0035545896765683,0.2407955184881167,0.067047016345517,0.036321416916594,1.0,,,,,,,,
balanced,1600.0,Avg,0.0910625,0.0065119403803266,0.6899224448528121,0.2455227481617647,0.0791282894736842,,,,,,,,,
random,200.0,BayPIRE,0.0195166390237929,0.003837987119481,0.3998046642731338,0.1221309696718691,0.0149613105751186,1.0,1.0,0.2321921001667375,1.0,0.1144974592147805,1.0,0.2500447368421051,1.0,0.1150699013157894
random,200.0,Bayes-MAP,0.0650631567116078,0.0041490894837623,0.5444255705331366,0.181208822698521,0.0535777042706106,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1293649556835229,0.0198453185432399,0.5465567985281505,0.1605866484968639,0.1169789227153735,1.0,,,,,,,,
random,200.0,Avg,0.2703486417501597,0.0200611589869981,4.3333414352266715,0.3445264873889938,0.2587554838554229,,,,,,,,,
random,400.0,BayPIRE,0.0203167025807269,0.0083464461558109,0.2842693209105259,0.0809299230552851,0.0174610596439771,1.0,0.979,0.1283800975809415,0.9,0.0682578429882873,0.997,0.1515021381578946,0.9,0.0685690789473683
random,400.0,Bayes-MAP,0.0633793057093076,0.0041872247892308,0.4653885110818005,0.1466852809131364,0.0519390661702322,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0878223031899455,0.0089442283807172,0.4359663798262135,0.1139652905136363,0.0762404735864919,1.0,,,,,,,,
random,400.0,Avg,0.2087473283544362,0.0115923347205039,2.631887329699878,0.3034796900095896,0.1973389073018047,,,,,,,,,
random,800.0,BayPIRE,0.015154491625781,0.0025710506123525,0.2148325975043881,0.0597220678115113,0.0121269509003574,1.0,0.954,0.0754019827840607,0.9,0.0374091193371426,0.997,0.1039133223684209,1.0,0.0381407894736841
random,800.0,Bayes-MAP,0.0509768819857002,0.0044226047842354,0.3678873320797541,0.1050884639660949,0.0388564576712545,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0603653122272135,0.0076735236523051,0.3546693974018732,0.0860018883440952,0.0482732949920126,1.0,,,,,,,,
random,800.0,Avg,0.1384512257250342,0.0092824273753509,1.0506729043572105,0.2647876095165666,0.126240756369828,,,,,,,,,
random,1600.0,BayPIRE,0.0144807627148329,0.0011383708832695,0.1844841121135845,0.0533601944945611,0.0085946560944957,1.0,0.891,0.0618876456954087,0.9,0.021702392659768,0.995,0.091750822368421,1.0,0.0228840460526314
random,1600.0,Bayes-MAP,0.0387532117091718,0.0021449832018813,0.2891129329583647,0.0764111818269281,0.0272256219504157,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0484340940649033,0.005121302728549,0.2592816079171869,0.0694225484614071,0.0370079812091189,1.0,,,,,,,,
random,1600.0,Avg,0.0942503947099882,0.0073214521721438,0.7015933155847601,0.2472814302651717,0.0820036905885163,,,,,,,,,
