experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.029806335165098,0.0033383990010789,0.3550574046906261,0.10291659829374,0.0224121674885031,1.0,0.992,0.2208267009062351,1.0,0.086450438867635,0.999,0.2478677499999998,1.0,0.0874917499999999
balanced,200.0,Bayes-MAP,0.0733920622735873,0.0052601579945591,0.5183279701872225,0.168198708167196,0.0461470045650774,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1156623303678785,0.0163123215352932,0.5349718285453954,0.1427247552893725,0.0884386977297117,1.0,,,,,,,,
balanced,200.0,Avg,0.2799599950608,0.0148728085922129,4.66683402833304,0.3586836687757143,0.2572999950608,,,,,,,,,
balanced,400.0,BayPIRE,0.0272103939228694,0.0026337768043533,0.2878675784987125,0.0837324059740526,0.0208417836898189,1.0,0.943,0.1412367607746266,1.0,0.0541094080425948,0.99,0.1740624999999999,1.0,0.0550462499999999
balanced,400.0,Bayes-MAP,0.0660738499417235,0.0063893869249678,0.4340093187917612,0.1316410576225534,0.0400832995711648,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0955531476298191,0.0131930953960966,0.5398314972869356,0.128617246326629,0.0697724238354921,1.0,,,,,,,,
balanced,400.0,Avg,0.2006799985408,0.011434819881461,1.861840889363536,0.300708332006875,0.1774999985407999,,,,,,,,,
balanced,800.0,BayPIRE,0.0249208808030628,0.0010856172747518,0.2545529653866999,0.0764920357677326,0.0153610766821967,1.0,0.918,0.1173437713366196,1.0,0.0349601826752742,0.99,0.1527294999999999,1.0,0.0361537499999999
balanced,800.0,Bayes-MAP,0.0511578334974476,0.0045089870292754,0.3572181296781862,0.1019798393943733,0.0282138672513845,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0798995526519761,0.006940555839478,0.4356994517662875,0.1097870534626031,0.0587395983005706,1.0,,,,,,,,
balanced,800.0,Avg,0.132489999862,0.0090124543093482,0.847406108619009,0.270577445525,0.110659999862,,,,,,,,,
balanced,1600.0,BayPIRE,0.0234835463952471,0.0009592729221248,0.2397923092244647,0.0731842781965994,0.0145347147438273,1.0,0.794,0.0783027973990502,0.9,0.0220546991705015,0.973,0.1212739999999999,1.0,0.023972
balanced,1600.0,Bayes-MAP,0.0385232065486413,0.0031624198049762,0.3015682958931837,0.0844848687176211,0.0180646561016225,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0511935398024479,0.0039170908034002,0.300227557265607,0.0874128997242462,0.0331751734702642,1.0,,,,,,,,
balanced,1600.0,Avg,0.088245,0.008242073633363,0.70843442767236,0.2554877232142857,0.0663899999999999,,,,,,,,,
random,200.0,BayPIRE,0.035361917302913,0.0089379137624601,0.4064026400476241,0.1245192497098961,0.0299749939841792,1.0,0.987,0.237874300374095,1.0,0.1125710068035172,0.997,0.2643639999999999,1.0,0.11275325
random,200.0,Bayes-MAP,0.0704455535132344,0.0087316976706837,0.5380240519068626,0.1776849935190499,0.046689553170257,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1260967740952622,0.0167047281132594,0.648270461315669,0.1743370229603381,0.099819734879952,1.0,,,,,,,,
random,200.0,Avg,0.2789649952558,0.0242313833153865,4.54975919407976,0.360615723918254,0.2552083285891334,,,,,,,,,
random,400.0,BayPIRE,0.02773732081741,0.0022721094029595,0.3126269792785083,0.0922392849217566,0.0198650785544934,1.0,0.984,0.1656252191685376,1.0,0.0677401128197918,0.999,0.1956592499999999,1.0,0.0686082499999999
random,400.0,Bayes-MAP,0.0647880218719148,0.0046424841562698,0.4548208496585973,0.1417188082237674,0.0413386169793924,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1001204958457152,0.0151861311350889,0.5857697603292258,0.1409298825244702,0.0774507501939093,1.0,,,,,,,,
random,400.0,Avg,0.2164163287508311,0.0136376821892052,2.6846890424138588,0.3180363666537888,0.1939658525603549,,,,,,,,,
random,800.0,BayPIRE,0.0246459795558147,0.0017736776532119,0.2609567116436336,0.0785419794229497,0.0183002179669054,1.0,0.8709999999999999,0.0991490153100716,1.0,0.039130105485573,0.986,0.1402169999999999,1.0,0.0401845
random,800.0,Bayes-MAP,0.0519907283610306,0.0057647045886326,0.3684657617455648,0.1069915746718814,0.0287858821971419,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0793514250874914,0.0081734804977657,0.426866075672819,0.1116024016757515,0.0582044045659654,1.0,,,,,,,,
random,800.0,Avg,0.1426050147593753,0.0128467739539236,1.165322199295685,0.2780168959425179,0.1207875461169067,,,,,,,,,
random,1600.0,BayPIRE,0.0236847898285106,0.0011575078740151,0.2392791963789576,0.0734909462749367,0.0141207905037816,1.0,0.799,0.0829771998365479,1.0,0.0230559147249225,0.969,0.1251244999999999,1.0,0.02509325
random,1600.0,Bayes-MAP,0.0408123289280454,0.0012212287274457,0.30649141352483,0.0863161399366738,0.019770417180897,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0544693577057589,0.0027432489493951,0.3092627326425888,0.089872381377958,0.0347751087556808,1.0,,,,,,,,
random,1600.0,Avg,0.0943612681408961,0.0034859300977032,0.722234685104383,0.2582358043960994,0.0719933994470946,,,,,,,,,
