benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,100,200,10000,0.243299995958,0.3123820607337681,0.21583332929133336,3.928150226015481,0.3401315154580499,0.4597037351236291,0.16183333333333338,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.13522338267855036,0.18968748699277066,0.1072921860943985,0.7147761065305571,0.1885542031882074,0.03557844673495456,0.003389971255809805,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06205891994178148,0.07651381044919253,0.03545046648385995,0.5367522960471034,0.17709987076118688,0.37768857022264885,0.10500381576465335,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,96.45819597832728,0.003351489236281084,0.5106375800202041,0.30354819471863753,0.5748865034982636,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.02866579234443711,0.036092011317848734,0.02266088549980299,0.4231614781843057,0.1321592077179801,0.26436325977664543,0.06849134869775102,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1743.0,0.0,1000.0,1000.0,4.0,0.97,0.974,0.359,2.719,1.0,0.23109978756164865,0.23121672181830033,1.0,0.26093999999999984,0.26,1.0,0.12032765428448544,1.0,0.12051500000000004
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,100,200,10000,0.2772333291023334,0.34259677681291106,0.2494333291023334,4.299162452459193,0.3605685898818594,0.42539248399084156,0.1499166666666667,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.12955466704379137,0.17022882943435386,0.10414748676027631,0.6485736749970862,0.1756071175224515,0.02636507948349286,0.0013086993871942144,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.07475583059081298,0.09231626852344457,0.05051359801131988,0.5388165107592457,0.17694469976651783,0.3727374625804529,0.1012511057316493,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.7109175048771,0.0004817307660139594,0.2470706930186748,0.3180965019442276,0.5886939568331047,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.04447064636646709,0.05332431832538214,0.042091199531503136,0.4043401305593832,0.12356784019175736,0.22652390404918318,0.05419363267104199,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1903.0,0.0,1000.0,1000.0,4.0,0.97,0.559,0.348,3.125,0.95,0.21295185289198948,0.21244747005172546,0.99,0.24332749999999995,0.24024999999999863,1.0,0.11979117437475478,1.0,0.11701
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,100,200,10000,0.24248332939933334,0.3050565919587017,0.2169833293993334,3.7532074164686358,0.335762779836508,0.42718099953546124,0.14975000000000002,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10238157610795341,0.14369795486423956,0.07312907074373737,0.6488448581403587,0.16855639943534637,0.024816729922420223,0.001480888845572867,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
