benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,Avg,0.29741320168177354,0.010765999966121455,0.3289906451007828,0.012362283488511828,0.28735282432328296,0.00938838024331256,4.3033379980681445,0.3182777876643844,0.3204743302362738,0.008242717386777777,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,BayPIRE,0.03748470366398269,0.012946566467590145,0.04410237748504173,0.013956551546562083,0.028597630595942336,0.012185962580192436,0.5462907183336327,0.011914441839716093,0.18201224178023032,0.005855267752577839,1.0,1.0,0.0,0.4384447596664641,0.06578553058475352,0.42186934076050875,0.05308687206812973,1.0,0.0,0.44720132075471686,0.06386173589326376,0.43137264150943383,0.0518966564380423,1.0,0.0,0.11480159573675115,0.0025286882444291677,1.0,0.0,0.11536943396226415,0.0023525774175396927
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,Bayes-MAP,0.076012691306637,0.00398053118224766,0.08738036348680202,0.00494377381878114,0.06585780257405652,0.0026569224574166544,0.5499553432496935,0.0060450619874350756,0.1844405851988709,0.0030112917924759687,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,two_way_balanced,PE-Rasch,0.17913852343868458,0.011074322163710947,0.21265591139310763,0.013436626781797804,0.16901022155189216,0.009682070008876865,0.5917247855175002,0.039104444936025294,0.17912187184466344,0.011876379084468116,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,Avg,0.18065660139996226,0.012940014875231077,0.22428439128721073,0.010812719822224315,0.1713962240414717,0.012134613092558916,1.9192929093878213,0.2195786392220592,0.26243821687425284,0.004981227209328416,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,BayPIRE,0.013912371414286232,0.0028299075045392814,0.017260962252553105,0.003315258146988633,0.009526935084210184,0.003082104976774907,0.2783054953929354,0.014879359601547569,0.07368013488210087,0.005445251388693225,1.0,1.0,0.0,0.15686208430882526,0.031536222793623406,0.15632674815593045,0.03110941943249934,1.0,0.0,0.1686148113207547,0.02993682388828869,0.16833018867924526,0.030186355059903143,1.0,0.0,0.05760817908450104,0.001944066799498559,1.0,0.0,0.0581732075471698,0.002012539956389694
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,Bayes-MAP,0.06979303359723477,0.005623879869145864,0.0849731551179418,0.0048700671081010624,0.060164717147933734,0.005174826402152833,0.4831478167422542,0.006389993593677088,0.15608263430709618,0.003293484626150701,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,two_way_balanced,PE-Rasch,0.0830617897408114,0.015142032760893112,0.11672034808091473,0.016984805229463558,0.07186764000916901,0.015456800413546542,0.3691531344790518,0.026855664599861006,0.09597521012536003,0.009268819694831622,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,Avg,0.13187122586230188,0.009517325016025268,0.16145509359969196,0.010552648955912548,0.12116179190003773,0.009385541818319052,0.9575983057989925,0.08458241781407627,0.23828678223525293,0.0036053514044706177,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,BayPIRE,0.012093089599666632,0.0016799446960854005,0.015084578557079628,0.0018260826226047854,0.009360579461953674,0.002346153503121814,0.20169350137961883,0.007702142870230826,0.05358108897483601,0.002622283345900163,1.0,0.978,0.01813529401164726,0.07619436172539405,0.009245627033939992,0.07611061840427726,0.00918225182895908,0.9970000000000001,0.004830458915396477,0.09252462264150942,0.007548293973536094,0.09245754716981133,0.008385102340474735,1.0,0.0,0.031498369960229256,0.0011184164932198373,1.0,0.0,0.031995188679245314,0.0013305995358474459
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,Bayes-MAP,0.05875180784244396,0.004999798636735944,0.07289053687370377,0.005188877388102443,0.04780966491578295,0.004948654942198212,0.3933930294889926,0.0044941200014090325,0.11748063335003775,0.002009089645803923,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,two_way_balanced,PE-Rasch,0.0601396802760593,0.004516181924547423,0.08961076438704221,0.007543202422655881,0.04942503396555622,0.004665534602349889,0.3206041120240659,0.01697693641241714,0.07714027619682219,0.004495110499128111,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,Avg,0.08964811316056605,0.006443092633840009,0.1137322460661142,0.0074106732271338755,0.07967264146245281,0.006964984035514064,0.675187120982271,0.024919635953733515,0.2250344188936546,0.0018793033897361062,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,BayPIRE,0.01177778113974489,0.0015977725004384692,0.014588519404041373,0.0017135346268528733,0.008535393346850032,0.002267824728663239,0.16832833723259644,0.004274940971871303,0.046624044589684346,0.001405129170842129,0.6,0.922,0.048488257455915174,0.055400737055522196,0.010382441049863784,0.055360839121690944,0.010379875708635624,0.9879999999999999,0.010327955589886462,0.07330075471698108,0.008080182539243115,0.07321698113207545,0.008008002257383908,0.8,0.4216370213557839,0.019826401024226115,0.0009632530815388839,0.8,0.4216370213557839,0.020533773584905535,0.0009092148104468958
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,Bayes-MAP,0.04017480564909176,0.001954414301759768,0.05119069252359967,0.0026376556901856426,0.03028228450296483,0.0028930958305189883,0.3035672956012399,0.002943559426788433,0.08113367942406614,0.0013448104411038456,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,1600.0,two_way_balanced,PE-Rasch,0.044708900044798036,0.0032651116043929474,0.05822030217253142,0.004802276880938582,0.03555067622076723,0.0031177833523533065,0.24438234120002997,0.00860616324527162,0.06108522475007281,0.0018611995752820993,1.0,,,,,,,,,,,,,,,,,,,,
