experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0374847036639826,0.0129465664675901,0.5462907183336327,0.1820122417802303,0.0285976305959423,1.0,1.0,0.4384447596664641,1.0,0.1148015957367511,1.0,0.4472013207547168,1.0,0.1153694339622641
balanced,200.0,Bayes-MAP,0.076012691306637,0.0039805311822476,0.5499553432496935,0.1844405851988709,0.0658578025740565,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1791385234386845,0.0110743221637109,0.5917247855175002,0.1791218718446634,0.1690102215518921,1.0,,,,,,,,
balanced,200.0,Avg,0.2974132016817735,0.0107659999661214,4.3033379980681445,0.3204743302362738,0.2873528243232829,,,,,,,,,
balanced,400.0,BayPIRE,0.0139123714142862,0.0028299075045392,0.2783054953929354,0.0736801348821008,0.0095269350842101,1.0,1.0,0.1568620843088252,1.0,0.057608179084501,1.0,0.1686148113207547,1.0,0.0581732075471698
balanced,400.0,Bayes-MAP,0.0697930335972347,0.0056238798691458,0.4831478167422542,0.1560826343070961,0.0601647171479337,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0830617897408114,0.0151420327608931,0.3691531344790518,0.09597521012536,0.071867640009169,1.0,,,,,,,,
balanced,400.0,Avg,0.1806566013999622,0.012940014875231,1.9192929093878213,0.2624382168742528,0.1713962240414717,,,,,,,,,
balanced,800.0,BayPIRE,0.0120930895996666,0.0016799446960854,0.2016935013796188,0.053581088974836,0.0093605794619536,1.0,0.978,0.076194361725394,1.0,0.0314983699602292,0.997,0.0925246226415094,1.0,0.0319951886792453
balanced,800.0,Bayes-MAP,0.0587518078424439,0.0049997986367359,0.3933930294889926,0.1174806333500377,0.0478096649157829,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0601396802760593,0.0045161819245474,0.3206041120240659,0.0771402761968221,0.0494250339655562,1.0,,,,,,,,
balanced,800.0,Avg,0.1318712258623018,0.0095173250160252,0.9575983057989924,0.2382867822352529,0.1211617919000377,,,,,,,,,
balanced,1600.0,BayPIRE,0.0117777811397448,0.0015977725004384,0.1683283372325964,0.0466240445896843,0.00853539334685,0.6,0.922,0.0554007370555221,0.8,0.0198264010242261,0.988,0.073300754716981,0.8,0.0205337735849055
balanced,1600.0,Bayes-MAP,0.0401748056490917,0.0019544143017597,0.3035672956012399,0.0811336794240661,0.0302822845029648,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.044708900044798,0.0032651116043929,0.2443823412000299,0.0610852247500728,0.0355506762207672,1.0,,,,,,,,
balanced,1600.0,Avg,0.089648113160566,0.00644309263384,0.675187120982271,0.2250344188936546,0.0796726414624528,,,,,,,,,
random,200.0,BayPIRE,0.0251657437751825,0.0144037068347903,0.4610457403857354,0.14690539280658,0.0202143581530326,1.0,1.0,0.2770912043412595,0.9,0.1184723220174138,1.0,0.2858773584905659,0.9,0.1184661320754715
random,200.0,Bayes-MAP,0.0654591126749936,0.0098081457066892,0.5562578670587068,0.1868614650564557,0.0551646151523684,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1705206154805227,0.0143384098702234,0.6288815627859601,0.1965482678236496,0.1598411274044272,1.0,,,,,,,,
random,200.0,Avg,0.2602982696379352,0.02583838349701,4.131814756246703,0.3183506099712492,0.2494997790718975,,,,,,,,,
random,400.0,BayPIRE,0.017032635916169,0.005240437941723,0.3312785941413749,0.0970343273637316,0.0142823080836123,1.0,1.0,0.156807601728791,1.0,0.0761000584994654,1.0,0.1686971698113207,1.0,0.0763074528301886
random,400.0,Bayes-MAP,0.0654985846420528,0.0035156675423114,0.4959661525711366,0.1608028522463319,0.0548551632289402,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1146577707886834,0.0077174611579845,0.4883803172580442,0.1372899241093026,0.1037718279148933,1.0,,,,,,,,
random,400.0,Avg,0.2097232665749206,0.009789469670851,2.6305176538090707,0.2835329648312615,0.1994149242568613,,,,,,,,,
random,800.0,BayPIRE,0.0141971335138245,0.0030043421200035,0.230105275289156,0.0629881115361593,0.0116748389450794,1.0,0.974,0.0852605046449344,1.0,0.042388160381762,0.996,0.1007352830188678,1.0,0.0426264150943397
random,800.0,Bayes-MAP,0.05419761788916,0.0041221103464464,0.4077500117521578,0.1234237156145082,0.0440734155294386,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0697700743552697,0.0085730129749243,0.3601325118104845,0.090025375666051,0.0593035236326555,1.0,,,,,,,,
random,800.0,Avg,0.134446616741734,0.011774033288611,1.093956516140065,0.2413944229696413,0.1248875255739303,,,,,,,,,
random,1600.0,BayPIRE,0.0112725379639066,0.0007208585926792,0.1734375315173122,0.0478857395638746,0.0082409624406068,0.9,0.924,0.0524420010890357,1.0,0.0229280656044571,0.991,0.0722466037735848,1.0,0.023629716981132
random,1600.0,Bayes-MAP,0.0410581167977539,0.0031668848194017,0.3167156274065336,0.087074877159973,0.0300983331853861,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0450292494223096,0.0036408187411904,0.2432876232384674,0.0628932625550321,0.0349771273818927,1.0,,,,,,,,
random,1600.0,Avg,0.0893151988242888,0.0051168306951401,0.692535393357246,0.224365101292479,0.0783415362583556,,,,,,,,,
