benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,random_uniform,Avg,0.26029826963793523,0.02583838349701,0.3253925613389604,0.023269527824477852,0.24949977907189752,0.026917640796312474,4.131814756246703,0.529327089846768,0.31835060997124925,0.015724924525110737,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,random_uniform,BayPIRE,0.025165743775182547,0.014403706834790368,0.029321327549747016,0.013721080346254013,0.020214358153032626,0.017302847051606226,0.4610457403857354,0.01600486846659639,0.14690539280658005,0.007095874341453211,1.0,1.0,0.0,0.2770912043412595,0.05386897652036521,0.2765099424521174,0.05363132563532324,1.0,0.0,0.28587735849056595,0.0527393311706907,0.28513207547169805,0.05233412468724196,0.9,0.31622776601683794,0.11847232201741383,0.005709561157884601,0.9,0.31622776601683794,0.11846613207547159,0.006072587770312974
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,random_uniform,Bayes-MAP,0.06545911267499363,0.009808145706689284,0.07927010045866695,0.007613510529375897,0.05516461515236846,0.011779404983685187,0.5562578670587068,0.00785144031479448,0.18686146505645573,0.0036105729366823726,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,200.0,random_uniform,PE-Rasch,0.17052061548052275,0.014338409870223414,0.21177533441817098,0.014408683156041279,0.15984112740442727,0.014500301378618427,0.6288815627859601,0.03928673817801312,0.1965482678236496,0.011078037067806181,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,random_uniform,Avg,0.2097232665749206,0.009789469670851056,0.26647777145165286,0.015463689325979973,0.19941492425686133,0.010607105546917347,2.6305176538090707,0.2908647334141909,0.28353296483126156,0.008521383368304068,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,random_uniform,BayPIRE,0.017032635916169,0.0052404379417230074,0.020368926217356104,0.005601841937377034,0.014282308083612338,0.006798398371829628,0.3312785941413749,0.008221636000490914,0.09703432736373166,0.003599831799363162,1.0,1.0,0.0,0.15680760172879102,0.015523820306533837,0.15672640789476114,0.015591245858221471,1.0,0.0,0.16869716981132074,0.014184595388351281,0.16851415094339622,0.01365997069741133,1.0,0.0,0.07610005849946544,0.0023117085462184815,1.0,0.0,0.07630745283018867,0.002471266443733702
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,random_uniform,Bayes-MAP,0.0654985846420528,0.0035156675423114766,0.08130967295061822,0.004304671358443182,0.0548551632289402,0.004495316633077229,0.49596615257113663,0.003765649555280822,0.1608028522463319,0.0021352836493560637,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,400.0,random_uniform,PE-Rasch,0.1146577707886834,0.007717461157984577,0.1579126375357995,0.011721404345273688,0.10377182791489332,0.007844861978061071,0.48838031725804426,0.02417425058045921,0.13728992410930269,0.006613624073073839,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,random_uniform,Avg,0.13444661674173405,0.011774033288611029,0.17055870560303066,0.016771476900585863,0.12488752557393035,0.011351862726257734,1.093956516140065,0.16162984348896542,0.24139442296964134,0.006062484991123102,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b,800.0,random_uniform,BayPIRE,0.014197133513824577,0.0030043421200035615,0.017382844646960903,0.003122682329161327,0.01167483894507944,0.00375189605066908,0.230105275289156,0.006415996305975094,0.0629881115361593,0.0031877733091086793,1.0,0.974,0.025905812303633924,0.08526050464493448,0.014176140652707447,0.0850964494927682,0.014290175788064569,0.9960000000000001,0.009660917830792974,0.10073528301886789,0.012602528828866146,0.10001415094339623,0.012119817721679665,1.0,0.0,0.04238816038176204,0.0018278075425780845,1.0,0.0,0.042626415094339745,0.0020585058905247654
