benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_biology,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,144,200,14400,0.29152777097361116,0.31703650976473374,0.26972221541805563,4.244075234830101,0.2962323899915493,0.2148756328735831,0.07750000000000005,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,144,200,14400,0.13115554979733365,0.17377081609840478,0.11029705567290832,0.4531741561046328,0.12185900030908348,0.019806662554399876,0.0005528492007540521,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,144,200,14400,0.07687904787977862,0.08761243672858499,0.055427508278312256,0.4834284283711264,0.1589871776377539,0.3103354506606324,0.08692827346595529,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,79.64533851462022,0.001176404119849597,1.3316495888696893,0.3872883417758757,0.3768405930092484,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,144,200,14400,0.03645003975766719,0.04348416266491059,0.026563862461918702,0.3582644971861036,0.10525044315952098,0.2408898769125093,0.05949740392099676,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,638.0,0.0,1000.0,1000.0,4.0,0.97,2.138,0.659,2.2,1.0,0.3388400004022789,0.32640506430299865,1.0,0.3512395833333332,0.3402777777777778,1.0,0.09642736225400428,1.0,0.09632118055555505
mmlu:college_biology,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,144,200,14400,0.27749999447777784,0.3029226788098668,0.26055555003333336,3.563629130843006,0.2869014049126761,0.30498476504637595,0.11000000000000004,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,144,200,14400,0.12395257375821547,0.1618219294939487,0.1068918892285172,0.3605055636517406,0.10420213664371766,0.022416462787702273,0.0006892422239314093,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,144,200,14400,0.06408694065178534,0.07573115512260163,0.047005305879212984,0.45508528794098646,0.14431814374589236,0.35180177283060826,0.09917595021938375,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,89.3365328494943,0.003639545841941909,1.0501296205621873,0.36597915209186205,0.415539276260835,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,144,200,14400,0.022876727718519695,0.02841475728682017,0.013589270039872967,0.31233273866758815,0.08497568359547432,0.2552525972649178,0.06156200590553709,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1222.0,0.0,1000.0,1000.0,4.0,0.97,1.846,0.469,2.41,1.0,0.26315324259215667,0.2624019904459472,1.0,0.2814947916666666,0.2777777777777778,1.0,0.09593789577374368,1.0,0.09576909722222238
mmlu:college_biology,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,144,200,14400,0.26583332731805565,0.280794377933207,0.2480555495402778,3.5211883859789914,0.2739788697098592,0.2703274065183787,0.09750000000000003,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,144,200,14400,0.09821387209668732,0.12092562729509061,0.07999496405016221,0.3237369076062139,0.0856658656458919,0.019655644442607957,0.000499463789185119,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
