experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0240549488207443,0.0054074331530875,0.3136599946911086,0.0865326093310758,0.0168994374470558,1.0,1.0,0.2480552482423767,1.0,0.0896533224168222,1.0,0.2645677083333332,1.0,0.0906545138888886
balanced,200.0,Bayes-MAP,0.0649214528875626,0.0059520839135177,0.4648225374564288,0.1496960388148907,0.0470760458345401,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1104194293565357,0.0196750270396069,0.379139780521131,0.1050355545726814,0.0925522215662511,1.0,,,,,,,,
balanced,200.0,Avg,0.2784166607105556,0.011924185771536,3.7291422650565913,0.2865422497702817,0.2609861051550001,,,,,,,,,
balanced,400.0,BayPIRE,0.0204139625104266,0.0017364852736652,0.2079559482485514,0.05465888971734,0.0170620192956518,1.0,0.973,0.1100075261792972,1.0,0.0488059002022716,0.998,0.1334656249999999,1.0,0.0491717013888889
balanced,400.0,Bayes-MAP,0.0562603490145905,0.0044190761156344,0.385460293158938,0.1164528835656048,0.0384466932194479,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0610283208857136,0.0118936090278517,0.3128891489915703,0.0792813941020583,0.0420144622134925,1.0,,,,,,,,
balanced,400.0,Avg,0.16226388605,0.0115896282272587,1.9446664706319725,0.2419089269588571,0.1446666638277777,,,,,,,,,
balanced,800.0,BayPIRE,0.0188897377939376,0.0005870394659131,0.1665884143345677,0.0455321736136078,0.0154837883239613,1.0,0.853,0.0685808112753186,1.0,0.0294597662909287,0.988,0.0965619791666666,1.0,0.0304602430555555
balanced,800.0,Bayes-MAP,0.0450567740865313,0.0020837128356066,0.301031940354834,0.0825704247099553,0.0261619301281949,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0520041722786496,0.005731578963098,0.2656814051294294,0.0652135263826207,0.0341264971582702,1.0,,,,,,,,
balanced,800.0,Avg,0.1212638881994444,0.0071642527090022,0.9514472448276092,0.2180477937155882,0.1029861104216666,,,,,,,,,
balanced,1600.0,BayPIRE,0.0178781349944299,0.0005481044905844,0.1481538986318163,0.0420247754207618,0.014282853776542,1.0,0.728,0.0495893948705141,0.9,0.0184222106213995,0.971,0.0798090277777777,1.0,0.0194335069444444
balanced,1600.0,Bayes-MAP,0.0316862797315032,0.0028458898602294,0.2342470625794431,0.0592758838314083,0.0151874430895573,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0385118398155041,0.0026335027731998,0.1993633218676512,0.0535799251160613,0.0239196963536791,1.0,,,,,,,,
balanced,1600.0,Avg,0.0825555555111111,0.0069766843690974,0.6337511852085418,0.2060058593475,0.0654305555111111,,,,,,,,,
random,200.0,BayPIRE,0.0331784602375863,0.0145001619037821,0.3473809130088139,0.1024520680513708,0.0304563914052818,1.0,0.986,0.1949418084284147,0.9,0.1050471957372642,0.998,0.2141218749999998,0.9,0.1059138888888888
random,200.0,Bayes-MAP,0.0615270342216486,0.0108151176637877,0.4772800227471284,0.1534079302565144,0.0456108454888947,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1168802216184942,0.0162645193364192,0.4547564735128419,0.1332652215792104,0.0981638897171141,1.0,,,,,,,,
random,200.0,Avg,0.2546984865028671,0.0134872150374701,3.888973823025009,0.2959077427954441,0.2367112642806449,,,,,,,,,
random,400.0,BayPIRE,0.022204084855668,0.0031420793864236,0.2513393242522164,0.070677417598719,0.018222064618177,1.0,0.974,0.1284543024977961,1.0,0.0630532800599106,0.994,0.1504432291666665,1.0,0.0638265624999999
random,400.0,Bayes-MAP,0.0570429763611924,0.0056470250286018,0.4089041581463506,0.1270779564398038,0.0402187322409412,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0795987063054864,0.017862181645748,0.3974044324900795,0.1036264317583415,0.06160461567693,1.0,,,,,,,,
random,400.0,Avg,0.1939735822260858,0.0119173015423167,2.519937411401955,0.2558513229861164,0.1756047727022763,,,,,,,,,
random,800.0,BayPIRE,0.0187264334809907,0.0009401858972575,0.1740920119579806,0.0470601597474766,0.0145218053287942,1.0,0.929,0.0850885956801753,1.0,0.035174608139396,0.995,0.1102022569444443,1.0,0.0359633680555555
random,800.0,Bayes-MAP,0.046366087795425,0.0013610900429225,0.3143786281054866,0.0884827123429535,0.0289656698364664,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0613494070599158,0.003935615708288,0.2974248197575174,0.0731315602930343,0.0446165516659296,1.0,,,,,,,,
random,800.0,Avg,0.1322745438811136,0.007448451484181,1.1943582866427402,0.2233204417533142,0.1152296304612002,,,,,,,,,
random,1600.0,BayPIRE,0.0170586928615881,0.0012125015742803,0.1503436650794632,0.0428547861305364,0.0127777478176299,0.9,0.828,0.0600874163966774,1.0,0.0200560464364904,0.983,0.087206423611111,1.0,0.0210921874999999
random,1600.0,Bayes-MAP,0.031695118324773,0.0026417062346058,0.241111268346718,0.0621996298037308,0.0163941540260333,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.038382321766391,0.0026076719037975,0.2051393064767027,0.054720114170763,0.024673323891988,1.0,,,,,,,,
random,1600.0,Avg,0.0831573234280584,0.0092635777191177,0.658095370495017,0.2062509312829004,0.0659951849267249,,,,,,,,,
