benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,two_way_balanced,Avg,0.27893999505100003,0.010024325717865828,0.3448000797728299,0.009882663983305014,0.25479999505100004,0.010033831409685928,4.798657002977963,0.22939133341749723,0.3656275461828572,0.007039051485769686,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,two_way_balanced,BayPIRE,0.028969908447633363,0.001115383686893423,0.03556632072784843,0.0014366649938341556,0.021329018063223223,0.0019252490396023554,0.3377790550929412,0.016619073390964342,0.09590559477782731,0.006605177820509476,1.0,0.9970000000000001,0.004830458915396488,0.21863158443920977,0.023718517069341007,0.21817453915299273,0.02374799912799466,1.0,0.0,0.2456439999999999,0.021553532650640427,0.24700000000000003,0.020027758514399713,1.0,0.0,0.08741609734741033,0.003957992920944486,1.0,0.0,0.08840999999999996,0.004347852758674228
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,two_way_balanced,Bayes-MAP,0.07435926151816354,0.0034727850296217963,0.09109357954285847,0.004105824446284462,0.045167668138304,0.002758853153742808,0.5169102124742803,0.007295836178306247,0.1670797216921433,0.0036224956064949457,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,200.0,two_way_balanced,PE-Rasch,0.11945077290781447,0.013694547748022309,0.15793528328230386,0.015233103281996552,0.08981860094492752,0.014055787270081374,0.5226099554319238,0.045595488475292066,0.13993006177856288,0.011549489406720303,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,400.0,two_way_balanced,Avg,0.2048999987424,0.014575245069973184,0.24270405307167117,0.015802304166989044,0.1810399987424,0.013029982192690493,1.7574531525201398,0.2942726127056522,0.305822915486875,0.008513205980240529,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,400.0,two_way_balanced,BayPIRE,0.029254011471442437,0.00281306013432042,0.03604018367675506,0.0032497800049322307,0.0233523454709341,0.003994855801592823,0.2745440154686003,0.005948401505306599,0.07874060092782423,0.0018320560723338807,1.0,0.9179999999999999,0.04962078417580907,0.135849390053978,0.025888916569032912,0.13585225916949967,0.02610423348982861,0.986,0.018973665961010293,0.1695657499999999,0.021107308866111823,0.169,0.020248456731316585,0.9,0.31622776601683794,0.05427447755131139,0.0024371973511176288,0.9,0.31622776601683794,0.05531699999999999,0.0023706406775853115
mmlu:college_chemistry,meta_llama_llama_3_8b,400.0,two_way_balanced,Bayes-MAP,0.06667051307290744,0.007462577468808733,0.08164218099265633,0.007644577727486141,0.03908521703227043,0.005985565353776203,0.42974810300535654,0.007227390273180232,0.12898308985109613,0.00360649900265443,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,400.0,two_way_balanced,PE-Rasch,0.09064988454645598,0.014055631572712736,0.12620495469753265,0.014383081800866029,0.06330732824661153,0.012809134056885944,0.5065111516064791,0.045010021167441024,0.12139078030763577,0.010888910434197388,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,800.0,two_way_balanced,Avg,0.13382499988040003,0.011296564123353808,0.16816637121705685,0.011090361072522838,0.11213499988040002,0.009847872004112928,0.8454105429596369,0.07324515194381248,0.2751324727152174,0.0043370401380045075,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,800.0,two_way_balanced,BayPIRE,0.026614159218394384,0.0014568044229185434,0.032470794733824436,0.0018410396151975477,0.020025908560326634,0.002769555974220494,0.240314733489926,0.006296679055287233,0.07118803582396535,0.0013524115090872517,1.0,0.85,0.07916228058025278,0.09633837829812703,0.01504108552930886,0.09644424696742748,0.015047718204056005,0.974,0.012649110640673507,0.13458699999999996,0.012115032776128435,0.13599999999999998,0.011737877907772682,0.9,0.31622776601683794,0.03379294968732431,0.0017120495022732195,0.9,0.31622776601683794,0.035422999999999975,0.0015963625319247597
mmlu:college_chemistry,meta_llama_llama_3_8b,800.0,two_way_balanced,Bayes-MAP,0.05026302249598404,0.004741298494070871,0.06296977145398398,0.005689561011716202,0.02453792874086129,0.0035216438591163064,0.34761700605068596,0.004965577394396783,0.09736318853248672,0.0023256432382927164,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,800.0,two_way_balanced,PE-Rasch,0.0741580432976316,0.006365498685697263,0.09495255620420558,0.009213314614351672,0.051713641564708965,0.006231666304146861,0.41583951398521224,0.025370941369988177,0.10337738567827755,0.004759350964789873,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,1600.0,two_way_balanced,Avg,0.08827750000000001,0.007785951112241978,0.10976267444097546,0.009416979320144977,0.06363250000000001,0.008977974978926046,0.7143671537199664,0.006897898285021975,0.25849200148809526,0.002938487187374125,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,1600.0,two_way_balanced,BayPIRE,0.024556722735133183,0.0017097847648394821,0.03007355577043245,0.0019266825535026947,0.015794181464482547,0.0030982993154369965,0.2191340733754732,0.002501611314548114,0.06672810777075167,0.000785373296207874,1.0,0.76,0.13466006584482768,0.0760371747887594,0.01607241482261801,0.07605404196235004,0.016033650276714394,0.962,0.03224903099319418,0.11671349999999994,0.010027536060490855,0.11600000000000002,0.010749676997731382,0.9,0.31622776601683794,0.021225231793304107,0.0006198255516073063,1.0,0.0,0.023102749999999977,0.0005991712447668877
mmlu:college_chemistry,meta_llama_llama_3_8b,1600.0,two_way_balanced,Bayes-MAP,0.03787926849367335,0.0032691465673162527,0.04722138110256494,0.0038834791970782144,0.014760321458713319,0.0025682374621982733,0.28753662470185126,0.002308498008772137,0.07846789905271077,0.0009149773946852327,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b,1600.0,two_way_balanced,PE-Rasch,0.049954496545392246,0.004000893372842814,0.06363360694560516,0.005278773312389862,0.0297598824603638,0.005047417971661205,0.27760433341591934,0.011788372847411138,0.08074131121645489,0.002151497417644829,1.0,,,,,,,,,,,,,,,,,,,,
