experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0289699084476333,0.0011153836868934,0.3377790550929412,0.0959055947778273,0.0213290180632232,1.0,0.997,0.2186315844392097,1.0,0.0874160973474103,1.0,0.2456439999999999,1.0,0.0884099999999999
balanced,200.0,Bayes-MAP,0.0743592615181635,0.0034727850296217,0.5169102124742803,0.1670797216921433,0.045167668138304,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1194507729078144,0.0136945477480223,0.5226099554319238,0.1399300617785628,0.0898186009449275,1.0,,,,,,,,
balanced,200.0,Avg,0.278939995051,0.0100243257178658,4.798657002977963,0.3656275461828572,0.254799995051,,,,,,,,,
balanced,400.0,BayPIRE,0.0292540114714424,0.0028130601343204,0.2745440154686003,0.0787406009278242,0.0233523454709341,1.0,0.918,0.135849390053978,0.9,0.0542744775513113,0.986,0.1695657499999999,0.9,0.0553169999999999
balanced,400.0,Bayes-MAP,0.0666705130729074,0.0074625774688087,0.4297481030053565,0.1289830898510961,0.0390852170322704,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0906498845464559,0.0140556315727127,0.5065111516064791,0.1213907803076357,0.0633073282466115,1.0,,,,,,,,
balanced,400.0,Avg,0.2048999987424,0.0145752450699731,1.7574531525201398,0.305822915486875,0.1810399987424,,,,,,,,,
balanced,800.0,BayPIRE,0.0266141592183943,0.0014568044229185,0.240314733489926,0.0711880358239653,0.0200259085603266,1.0,0.85,0.096338378298127,0.9,0.0337929496873243,0.974,0.1345869999999999,0.9,0.0354229999999999
balanced,800.0,Bayes-MAP,0.050263022495984,0.0047412984940708,0.3476170060506859,0.0973631885324867,0.0245379287408612,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0741580432976316,0.0063654986856972,0.4158395139852122,0.1033773856782775,0.0517136415647089,1.0,,,,,,,,
balanced,800.0,Avg,0.1338249998804,0.0112965641233538,0.8454105429596369,0.2751324727152174,0.1121349998804,,,,,,,,,
balanced,1600.0,BayPIRE,0.0245567227351331,0.0017097847648394,0.2191340733754732,0.0667281077707516,0.0157941814644825,1.0,0.76,0.0760371747887594,0.9,0.0212252317933041,0.962,0.1167134999999999,1.0,0.0231027499999999
balanced,1600.0,Bayes-MAP,0.0378792684936733,0.0032691465673162,0.2875366247018512,0.0784678990527107,0.0147603214587133,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0499544965453922,0.0040008933728428,0.2776043334159193,0.0807413112164548,0.0297598824603638,1.0,,,,,,,,
balanced,1600.0,Avg,0.0882775,0.0077859511122419,0.7143671537199664,0.2584920014880952,0.0636325,,,,,,,,,
random,200.0,BayPIRE,0.0313894075208191,0.0025028372023003,0.3836360436803029,0.1160654784348892,0.0254971638555218,1.0,0.994,0.2169751159769118,1.0,0.1103068300592355,0.997,0.2446197499999998,1.0,0.1110097499999999
random,200.0,Bayes-MAP,0.0678531105899157,0.0059000298866191,0.5312370596317123,0.1744140175422601,0.040933919528897,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1152377919947972,0.0158999402350276,0.5638061593216537,0.1572541075238064,0.0861899397084397,1.0,,,,,,,,
random,200.0,Avg,0.2751666620984667,0.015802841612899,4.491991653218536,0.3620324105045578,0.2481166620984666,,,,,,,,,
random,400.0,BayPIRE,0.0291385638750149,0.0024776026215214,0.2889276817948662,0.0845727986607926,0.0231328563341156,1.0,0.943,0.145053744119163,1.0,0.0664139956217113,0.994,0.1784207499999999,1.0,0.0672589999999999
random,400.0,Bayes-MAP,0.0631948258853899,0.0051613200785438,0.4450983671025917,0.1365717232097295,0.0373456428614399,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0990370296512407,0.0092966617642272,0.5325363152310347,0.1315022692002947,0.0725920746839042,1.0,,,,,,,,
random,400.0,Avg,0.2184194782463805,0.0101776604957922,2.641963089736214,0.3221962541126061,0.1930347163416186,,,,,,,,,
random,800.0,BayPIRE,0.0275995600748476,0.0013711465880395,0.2408662051477548,0.07104382936201,0.0206778773236093,1.0,0.833,0.0972033288019017,0.9,0.0377741634635622,0.966,0.1361332499999999,0.9,0.0392124999999999
random,800.0,Bayes-MAP,0.0526441011407569,0.0036118615029547,0.3554421226198401,0.1004832337949674,0.0266739419084591,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0744999322865444,0.0081704485251668,0.3919917878801237,0.1006297915182136,0.0501819437341449,1.0,,,,,,,,
random,800.0,Avg,0.1372873812397453,0.0062879530229374,1.0523480777153211,0.278056631951207,0.11251326591063,,,,,,,,,
random,1600.0,BayPIRE,0.0249197911444239,0.0012448858133853,0.2199611014789528,0.0669402727352982,0.0170229878581405,1.0,0.73,0.0714987703739244,1.0,0.0227985688516115,0.954,0.1150249999999999,1.0,0.0248324999999999
random,1600.0,Bayes-MAP,0.0378048234292315,0.0026660431590235,0.291398368994252,0.0799280684941642,0.0144221009038807,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0520328094244435,0.0044206545042905,0.2832139586161605,0.0826514210639901,0.0310673796343736,1.0,,,,,,,,
random,1600.0,Avg,0.090305379157269,0.0068217927830977,0.7195069745130236,0.2602018701867455,0.0678676620489933,,,,,,,,,
