benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.28219999461000006,0.36865158979318136,0.25959999461000005,5.435872938102701,0.3906632597428572,0.3119162367519754,0.11250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.13944511723535954,0.16916857134190796,0.11782621877984852,0.5750956915846368,0.15100096251024858,0.025875814461835733,0.0014386515904315402,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.08143805770004724,0.0982131232079791,0.06073629843480917,0.5352169921004143,0.17479009764347944,0.38154180037155444,0.10318308840000494,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.14807709363855,0.0002859980624669094,0.11461125781301294,0.39350473731262325,0.5536808163059217,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.031451272706869086,0.039609129692948025,0.02803295298111586,0.3470979556405889,0.09909603552851945,0.21938974484638984,0.04848030022535801,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1754.0,0.0,1000.0,1000.0,4.0,0.97,0.246,0.352,3.25,0.97,0.19656034711766154,0.1971798082457619,1.0,0.22622999999999988,0.22999999999999998,1.0,0.08386373366490213,1.0,0.08501249999999988
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.218799995884,0.3187538171792144,0.19939999588399998,4.270368322553315,0.3549999958,0.4020253689247683,0.14500000000000002,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.12395972271238462,0.15777365433492174,0.099160482004755,0.6558442836753848,0.16773802583161113,0.024948047405225732,0.0009574638582545579,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06499033844372339,0.08334212625277534,0.042671538524662246,0.544728176607545,0.17898561815860567,0.4023080269390843,0.11183680622566561,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,102.51094453327316,0.0002831620789419157,-0.04442659779417732,0.3589480328651196,0.5626699783707696,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.02399268850953932,0.02943001993868751,0.015927463007100632,0.4045674641718144,0.12161199163217239,0.2627980227941107,0.06329638517992368,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1543.0,0.0,1000.0,1000.0,4.0,0.97,-0.085,0.382,2.844,1.0,0.23495102778121654,0.23372855496470998,1.0,0.26434749999999985,0.2602499999999991,1.0,0.09347847692435779,1.0,0.09460500000000005
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.291799994414,0.3728323946470854,0.268599994414,5.574262560003045,0.3939285657,0.29805329334077646,0.10750000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.1691153602467116,0.20184549117764794,0.14883738453386028,0.6605826056322087,0.1808487543787221,0.02291544961253644,0.0008331197774082083,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
