benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,100,200,10000,0.3020999949840001,0.3656605826655462,0.2788999949840001,5.089931150169599,0.38807686561156457,0.3695946029508362,0.1294166666666667,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.13269493185464004,0.17525197206011825,0.10804808261797894,0.7164163755732037,0.19304593247514745,0.02650546876029318,0.0017210306738602694,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.0782190261344537,0.0933568475733177,0.05646371979733114,0.5635284703707644,0.1886112425245696,0.35813769847523913,0.09452291840275608,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,94.82436324039668,0.0005695225603084327,-0.17014491203101634,0.3635296503124484,0.5800593859179428,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.04101281109239783,0.04685277112104733,0.0371406091198317,0.4294625212294775,0.1340675190642668,0.21334969152074046,0.04950177154690733,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1634.0,0.0,1000.0,1000.0,4.0,0.97,-0.388,0.445,3.283,1.0,0.2516829614493118,0.25059064631475025,1.0,0.27544749999999973,0.2702499999999991,1.0,0.11676544500265268,1.0,0.11750499999999992
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,100,200,10000,0.27199999557400006,0.34523807572837817,0.25159999557400003,4.6014086481321925,0.3729646212850341,0.40891329991081987,0.14400000000000004,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.129918253515709,0.17594254119218958,0.10740735320529066,0.6041960610526869,0.16708239827762852,0.02648326843636343,0.0015655183020681761,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06802133315670003,0.08419021640079741,0.04702735601302076,0.5461035908123337,0.1803339562853472,0.372558115973507,0.10054894302667991,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,97.06481886183738,0.0003153780768830403,0.07684633441487465,0.344938417798931,0.5802047935082804,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.026166421017040555,0.03232451950637203,0.016066218201903754,0.39685601728276737,0.1202129378712764,0.24096640281795356,0.058600998814331236,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1566.0,0.0,1000.0,1000.0,4.0,0.97,0.094,0.431,3.011,1.0,0.25481276648684487,0.2544291870952717,1.0,0.2804374999999999,0.28,1.0,0.11754825537269942,1.0,0.11812249999999963
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,100,200,10000,0.24709999615800005,0.327278163280076,0.22649999615800004,4.106546370826123,0.3603710844578231,0.4495848795935478,0.15716666666666668,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10465121218339349,0.14559064929465282,0.07973654992580424,0.5640369783621869,0.15189214740830856,0.02594774389652625,0.001504412154315537,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
