benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.28439999490400003,0.330112095666972,0.265999994904,4.451048558427021,0.3435714241,0.3327106518687738,0.12000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1442002729643741,0.17763897673521173,0.12341074948803961,0.6503016188087618,0.17570389543464904,0.026486918716406623,0.0012074895226454583,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06926584461238652,0.08479270750006394,0.04820095542458491,0.5252102219790105,0.1726889718086741,0.38119133284912626,0.10687327766121807,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.80782304181356,0.00016807306089894523,-0.6462098228149301,0.37475600185418945,0.5245040843166606,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.02336530914054299,0.028923550606097186,0.013098348653908156,0.3952609578374873,0.11990730135237218,0.28076419283123943,0.07155278842565967,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1619.0,0.0,1000.0,1000.0,4.0,0.97,-1.132,0.392,2.53,1.0,0.24523751543105538,0.244910713453812,1.0,0.2737499999999999,0.27024999999999866,1.0,0.0931312171741584,1.0,0.09390749999999998
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.273799995198,0.3199593661420151,0.253799995198,4.20681073038877,0.3366836692857143,0.3535050669855721,0.12750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.10295565677674558,0.14315064391974275,0.07997885077896541,0.6229554195887931,0.1605379533539592,0.02523133524243039,0.0011802479011426962,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06584294763022504,0.08329987626840527,0.04300524358400135,0.5198557076885603,0.17014311915007496,0.3718757620681915,0.10276040776299453,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,95.51937991233481,0.00048438570066950613,-0.6717433812774116,0.35638347822782346,0.5478566669406759,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.02303273945528937,0.02910392023389193,0.015863342074179637,0.38633761982846104,0.11649939929820416,0.23162911652935755,0.05415161985109083,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1680.0,0.0,1000.0,1000.0,4.0,0.97,-1.322,0.393,2.97,1.0,0.21722587866195778,0.21768485680128113,1.0,0.2453399999999998,0.24024999999999952,1.0,0.08698476835482921,1.0,0.08760749999999995
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.29199999470800003,0.33566947364203387,0.270399994708,4.600716148062647,0.34744897494285715,0.3188477084575749,0.11500000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.10853323690087967,0.15049608876703024,0.08887268047782446,0.5592789728042252,0.1482138392092399,0.02078356058345978,0.0006617337993051893,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
